666,Date,DecryptedData
0,2018-01-01,4594
1,2018-01-02,3167
2,2018-01-03,3290
3,2018-01-04,3127
4,2018-01-05,3169
5,2018-01-06,3499
6,2018-01-07,3518
7,2018-01-08,3184
8,2018-01-09,3070
9,2018-01-10,3029
10,2018-01-11,3093
11,2018-01-12,3154
12,2018-01-13,3252
13,2018-01-14,3339
14,2018-01-15,3150
15,2018-01-16,3249
16,2018-01-17,3231
17,2018-01-18,3243
18,2018-01-19,3587
19,2018-01-20,3981
20,2018-01-21,3999
21,2018-01-22,3650
22,2018-01-23,3730
23,2018-01-24,3925
24,2018-01-25,3633
25,2018-01-26,3665
26,2018-01-27,3807
27,2018-01-28,3656
28,2018-01-29,3585
29,2018-01-30,3620
30,2018-01-31,3598
31,2018-02-01,3610
32,2018-02-02,3771
33,2018-02-03,3606
34,2018-02-04,3719
35,2018-02-05,3749
36,2018-02-06,3847
37,2018-02-07,3791
38,2018-02-08,3801
39,2018-02-09,3891
40,2018-02-10,3882
41,2018-02-11,4109
42,2018-02-12,4160
43,2018-02-13,4057
44,2018-02-14,4610
45,2018-02-15,6694
46,2018-02-16,6099
47,2018-02-17,4197
48,2018-02-18,3857
49,2018-02-19,3664
50,2018-02-20,4097
51,2018-02-21,4848
52,2018-02-22,4222
53,2018-02-23,4119
54,2018-02-24,4146
55,2018-02-25,3994
56,2018-02-26,3890
57,2018-02-27,3846
58,2018-02-28,3774
59,2018-03-01,3872
60,2018-03-02,4068
61,2018-03-03,3927
62,2018-03-04,3774
63,2018-03-05,3429
64,2018-03-06,3476
65,2018-03-07,3614
66,2018-03-08,3924
67,2018-03-09,3547
68,2018-03-10,3839
69,2018-03-11,3699
70,2018-03-12,3391
71,2018-03-13,3314
72,2018-03-14,3501
73,2018-03-15,3578
74,2018-03-16,3585
75,2018-03-17,3943
76,2018-03-18,4043
77,2018-03-19,3430
78,2018-03-20,3367
79,2018-03-21,3261
80,2018-03-22,3354
81,2018-03-23,3372
82,2018-03-24,3625
83,2018-03-25,3653
84,2018-03-26,3343
85,2018-03-27,3242
86,2018-03-28,3351
87,2018-03-29,3350
88,2018-03-30,3481
89,2018-03-31,3804
90,2018-04-01,3599
91,2018-04-02,3338
92,2018-04-03,3290
