LSP,Date,DecryptedData
0,2020-01-01,282
1,2020-01-02,405
2,2020-01-03,418
3,2020-01-04,318
4,2020-01-05,333
5,2020-01-06,418
6,2020-01-07,457
7,2020-01-08,405
8,2020-01-09,416
9,2020-01-10,364
10,2020-01-11,296
11,2020-01-12,287
12,2020-01-13,407
13,2020-01-14,404
14,2020-01-15,471
15,2020-01-16,367
16,2020-01-17,343
17,2020-01-18,264
18,2020-01-19,314
19,2020-01-20,334
20,2020-01-21,289
21,2020-01-22,280
22,2020-01-23,226
23,2020-01-24,232
24,2020-01-25,246
25,2020-01-26,261
26,2020-01-27,300
27,2020-01-28,316
28,2020-01-29,288
29,2020-01-30,349
30,2020-01-31,305
31,2020-02-01,330
32,2020-02-02,351
33,2020-02-03,358
34,2020-02-04,394
35,2020-02-05,407
36,2020-02-06,370
37,2020-02-07,396
38,2020-02-08,380
39,2020-02-09,386
40,2020-02-10,371
41,2020-02-11,457
42,2020-02-12,398
43,2020-02-13,462
44,2020-02-14,492
45,2020-02-15,414
46,2020-02-16,419
47,2020-02-17,449
48,2020-02-18,433
49,2020-02-19,474
50,2020-02-20,447
51,2020-02-21,489
52,2020-02-22,409
53,2020-02-23,434
54,2020-02-24,439
55,2020-02-25,545
56,2020-02-26,566
57,2020-02-27,481
58,2020-02-28,513
59,2020-02-29,454
60,2020-03-01,452
61,2020-03-02,561
62,2020-03-03,431
63,2020-03-04,537
64,2020-03-05,495
65,2020-03-06,579
66,2020-03-07,437
67,2020-03-08,405
68,2020-03-09,538
69,2020-03-10,520
70,2020-03-11,625
71,2020-03-12,478
72,2020-03-13,564
73,2020-03-14,437
74,2020-03-15,500
75,2020-03-16,563
76,2020-03-17,596
77,2020-03-18,649
78,2020-03-19,562
79,2020-03-20,603
80,2020-03-21,476
81,2020-03-22,436
82,2020-03-23,668
83,2020-03-24,739
84,2020-03-25,726
85,2020-03-26,613
86,2020-03-27,571
87,2020-03-28,425
88,2020-03-29,426
89,2020-03-30,529
90,2020-03-31,527
91,2020-04-01,594
92,2020-04-02,521
93,2020-04-03,515
94,2020-04-04,484
95,2020-04-05,410
96,2020-04-06,439
97,2020-04-07,557
98,2020-04-08,603
99,2020-04-09,611
100,2020-04-10,703
101,2020-04-11,461
102,2020-04-12,466
103,2020-04-13,606
104,2020-04-14,630
105,2020-04-15,569
106,2020-04-16,530
107,2020-04-17,512
108,2020-04-18,448
109,2020-04-19,403
110,2020-04-20,622
111,2020-04-21,571
112,2020-04-22,588
113,2020-04-23,543
114,2020-04-24,552
115,2020-04-25,454
116,2020-04-26,510
117,2020-04-27,531
118,2020-04-28,511
119,2020-04-29,571
120,2020-04-30,500
121,2020-05-01,423
122,2020-05-02,473
123,2020-05-03,466
124,2020-05-04,572
125,2020-05-05,554
126,2020-05-06,721
127,2020-05-07,617
128,2020-05-08,670
129,2020-05-09,666
130,2020-05-10,489
131,2020-05-11,662
132,2020-05-12,571
133,2020-05-13,602
134,2020-05-14,673
135,2020-05-15,641
136,2020-05-16,438
137,2020-05-17,485
138,2020-05-18,649
139,2020-05-19,614
140,2020-05-20,618
141,2020-05-21,610
142,2020-05-22,959
143,2020-05-23,1289
144,2020-05-24,911
145,2020-05-25,1528
146,2020-05-26,1904
147,2020-05-27,1649
148,2020-05-28,1167
149,2020-05-29,893
150,2020-05-30,758
151,2020-05-31,683
152,2020-06-01,785
153,2020-06-02,775
154,2020-06-03,702
155,2020-06-04,710
156,2020-06-05,817
157,2020-06-06,594
158,2020-06-07,619
159,2020-06-08,762
160,2020-06-09,780
161,2020-06-10,766
162,2020-06-11,775
163,2020-06-12,814
164,2020-06-13,710
165,2020-06-14,665
166,2020-06-15,830
167,2020-06-16,816
168,2020-06-17,781
169,2020-06-18,1008
170,2020-06-19,918
171,2020-06-20,708
172,2020-06-21,740
173,2020-06-22,951
174,2020-06-23,1017
175,2020-06-24,958
176,2020-06-25,810
177,2020-06-26,1067
178,2020-06-27,890
179,2020-06-28,1134
180,2020-06-29,1125
181,2020-06-30,1167
182,2020-07-01,1146
183,2020-07-02,1180
184,2020-07-03,1192
185,2020-07-04,1104
186,2020-07-05,1104
187,2020-07-06,1215
188,2020-07-07,1201
189,2020-07-08,1431
190,2020-07-09,1453
191,2020-07-10,1365
192,2020-07-11,1240
193,2020-07-12,1239
194,2020-07-13,1497
195,2020-07-14,1467
196,2020-07-15,1549
197,2020-07-16,1494
198,2020-07-17,1720
199,2020-07-18,1427
200,2020-07-19,1430
201,2020-07-20,1554
202,2020-07-21,1729
203,2020-07-22,1704
204,2020-07-23,1853
205,2020-07-24,1814
206,2020-07-25,1539
207,2020-07-26,1617
208,2020-07-27,2024
209,2020-07-28,2040
210,2020-07-29,1928
211,2020-07-30,2185
212,2020-07-31,2360
213,2020-08-01,2014
214,2020-08-02,2128
215,2020-08-03,2391
216,2020-08-04,2466
217,2020-08-05,2461
218,2020-08-06,2502
219,2020-08-07,2767
220,2020-08-08,2962
221,2020-08-09,2607
222,2020-08-10,2724
223,2020-08-11,2691
224,2020-08-12,2741
225,2020-08-13,2996
