chatgpt,Date,DecryptedData
0,2023-07-22,21938
1,2023-07-23,21236
2,2023-07-24,31997
3,2023-07-25,31765
4,2023-07-26,32866
5,2023-07-27,31995
6,2023-07-28,30368
7,2023-07-29,22390
8,2023-07-30,21613
9,2023-07-31,31025
10,2023-08-01,31759
11,2023-08-02,32747
12,2023-08-03,31332
13,2023-08-04,28995
14,2023-08-05,20525
15,2023-08-06,19812
16,2023-08-07,29964
17,2023-08-08,30079
18,2023-08-09,30330
19,2023-08-10,29949
20,2023-08-11,27337
21,2023-08-12,20233
22,2023-08-13,20398
23,2023-08-14,29024
24,2023-08-15,29002
25,2023-08-16,28420
26,2023-08-17,28786
27,2023-08-18,26739
28,2023-08-19,19791
29,2023-08-20,19730
30,2023-08-21,28237
31,2023-08-22,26999
32,2023-08-23,28145
33,2023-08-24,29060
34,2023-08-25,26743
35,2023-08-26,20277
36,2023-08-27,21005
37,2023-08-28,31849
38,2023-08-29,35758
39,2023-08-30,33756
40,2023-08-31,37433
41,2023-09-01,28735
42,2023-09-02,20986
43,2023-09-03,22490
44,2023-09-04,31482
45,2023-09-05,32025
46,2023-09-06,31467
47,2023-09-07,31453
48,2023-09-08,28996
49,2023-09-09,23655
50,2023-09-10,26060
51,2023-09-11,30646
52,2023-09-12,24261
53,2023-09-13,31835
54,2023-09-14,32399
55,2023-09-15,29195
56,2023-09-16,23106
57,2023-09-17,25975
58,2023-09-18,33897
59,2023-09-19,34272
60,2023-09-20,35300
61,2023-09-21,33282
62,2023-09-22,26893
63,2023-09-23,23580
64,2023-09-24,26582
65,2023-09-25,30229
66,2023-09-26,31200
67,2023-09-27,29720
68,2023-09-28,25188
69,2023-09-29,20241
70,2023-09-30,18059
71,2023-10-01,25126
72,2023-10-02,22301
73,2023-10-03,22890
74,2023-10-04,21186
75,2023-10-05,25833
76,2023-10-06,30164
77,2023-10-07,33243
78,2023-10-08,36515
79,2023-10-09,38396
80,2023-10-10,38017
81,2023-10-11,37744
82,2023-10-12,37281
83,2023-10-13,34070
84,2023-10-14,24999
85,2023-10-15,32256
86,2023-10-16,38152
87,2023-10-17,40035
88,2023-10-18,38198
89,2023-10-19,37037
90,2023-10-20,32365
91,2023-10-21,24745
92,2023-10-22,27263
93,2023-10-23,33102
94,2023-10-24,35684
95,2023-10-25,29863
96,2023-10-26,32712
97,2023-10-27,27869
98,2023-10-28,24890
99,2023-10-29,27297
100,2023-10-30,35345
101,2023-10-31,34730
102,2023-11-01,40012
103,2023-11-02,34200
104,2023-11-03,32279
105,2023-11-04,24582
106,2023-11-05,25797
107,2023-11-06,35241
108,2023-11-07,43272
109,2023-11-08,58478
110,2023-11-09,66867
111,2023-11-10,49205
112,2023-11-11,34805
113,2023-11-12,38395
114,2023-11-13,52523
115,2023-11-14,55314
116,2023-11-15,38241
117,2023-11-16,50787
118,2023-11-17,46593
119,2023-11-18,30014
120,2023-11-19,38465
121,2023-11-20,51608
122,2023-11-21,49209
123,2023-11-22,49309
124,2023-11-23,44890
125,2023-11-24,40068
126,2023-11-25,30414
127,2023-11-26,35263
128,2023-11-27,44991
129,2023-11-28,43211
130,2023-11-29,46337
131,2023-11-30,41501
132,2023-12-01,37773
133,2023-12-02,29547
134,2023-12-03,33787
135,2023-12-04,40985
136,2023-12-05,42733
137,2023-12-06,41677
138,2023-12-07,40948
139,2023-12-08,36002
