c位,Date,DecryptedData
0,2017-01-01,575
1,2017-01-02,517
2,2017-01-03,467
3,2017-01-04,454
4,2017-01-05,435
5,2017-01-06,443
6,2017-01-07,506
7,2017-01-08,489
8,2017-01-09,452
9,2017-01-10,378
10,2017-01-11,397
11,2017-01-12,433
12,2017-01-13,449
13,2017-01-14,528
14,2017-01-15,425
15,2017-01-16,482
16,2017-01-17,470
17,2017-01-18,615
18,2017-01-19,623
19,2017-01-20,609
20,2017-01-21,535
21,2017-01-22,613
22,2017-01-23,667
23,2017-01-24,561
24,2017-01-25,496
25,2017-01-26,468
26,2017-01-27,444
27,2017-01-28,501
28,2017-01-29,485
29,2017-01-30,587
30,2017-01-31,523
31,2017-02-01,522
32,2017-02-02,505
33,2017-02-03,575
34,2017-02-04,518
35,2017-02-05,489
36,2017-02-06,533
37,2017-02-07,524
38,2017-02-08,555
39,2017-02-09,544
40,2017-02-10,488
41,2017-02-11,431
42,2017-02-12,422
43,2017-02-13,407
44,2017-02-14,389
45,2017-02-15,434
46,2017-02-16,450
47,2017-02-17,377
48,2017-02-18,429
49,2017-02-19,431
50,2017-02-20,445
51,2017-02-21,439
52,2017-02-22,381
53,2017-02-23,421
54,2017-02-24,436
55,2017-02-25,370
56,2017-02-26,360
57,2017-02-27,349
58,2017-02-28,330
59,2017-03-01,359
60,2017-03-02,418
61,2017-03-03,399
62,2017-03-04,425
63,2017-03-05,390
64,2017-03-06,387
65,2017-03-07,362
66,2017-03-08,414
67,2017-03-09,459
68,2017-03-10,861
69,2017-03-11,581
70,2017-03-12,800
71,2017-03-13,576
72,2017-03-14,510
73,2017-03-15,450
74,2017-03-16,518
75,2017-03-17,484
76,2017-03-18,488
77,2017-03-19,507
78,2017-03-20,447
79,2017-03-21,508
80,2017-03-22,498
81,2017-03-23,492
82,2017-03-24,580
83,2017-03-25,593
84,2017-03-26,595
85,2017-03-27,532
86,2017-03-28,471
87,2017-03-29,451
88,2017-03-30,525
89,2017-03-31,525
90,2017-04-01,517
91,2017-04-02,580
92,2017-04-03,539
93,2017-04-04,659
94,2017-04-05,570
95,2017-04-06,567
96,2017-04-07,661
97,2017-04-08,747
98,2017-04-09,753
99,2017-04-10,669
100,2017-04-11,509
101,2017-04-12,475
102,2017-04-13,488
103,2017-04-14,478
104,2017-04-15,513
105,2017-04-16,571
106,2017-04-17,544
107,2017-04-18,535
108,2017-04-19,511
