skr,Date,DecryptedData
0,2018-01-01,739
1,2018-01-02,873
2,2018-01-03,720
3,2018-01-04,887
4,2018-01-05,1094
5,2018-01-06,1033
6,2018-01-07,1518
7,2018-01-08,1296
8,2018-01-09,1059
9,2018-01-10,813
10,2018-01-11,688
11,2018-01-12,672
12,2018-01-13,719
13,2018-01-14,538
14,2018-01-15,557
15,2018-01-16,503
16,2018-01-17,530
17,2018-01-18,667
18,2018-01-19,592
19,2018-01-20,594
20,2018-01-21,507
21,2018-01-22,515
22,2018-01-23,459
23,2018-01-24,465
24,2018-01-25,461
25,2018-01-26,490
26,2018-01-27,454
27,2018-01-28,468
28,2018-01-29,487
29,2018-01-30,489
30,2018-01-31,450
31,2018-02-01,470
32,2018-02-02,445
33,2018-02-03,473
34,2018-02-04,503
35,2018-02-05,578
36,2018-02-06,571
37,2018-02-07,551
38,2018-02-08,606
39,2018-02-09,532
40,2018-02-10,615
41,2018-02-11,651
42,2018-02-12,672
43,2018-02-13,705
44,2018-02-14,654
45,2018-02-15,703
46,2018-02-16,624
47,2018-02-17,660
48,2018-02-18,692
49,2018-02-19,645
50,2018-02-20,719
51,2018-02-21,769
52,2018-02-22,882
53,2018-02-23,824
54,2018-02-24,857
55,2018-02-25,743
56,2018-02-26,770
57,2018-02-27,646
58,2018-02-28,588
59,2018-03-01,587
60,2018-03-02,573
61,2018-03-03,529
62,2018-03-04,513
63,2018-03-05,595
64,2018-03-06,656
65,2018-03-07,660
66,2018-03-08,686
67,2018-03-09,681
68,2018-03-10,687
69,2018-03-11,737
70,2018-03-12,683
71,2018-03-13,702
72,2018-03-14,648
73,2018-03-15,693
74,2018-03-16,707
75,2018-03-17,831
76,2018-03-18,775
77,2018-03-19,703
78,2018-03-20,661
79,2018-03-21,626
80,2018-03-22,663
81,2018-03-23,816
82,2018-03-24,1104
83,2018-03-25,1037
84,2018-03-26,981
85,2018-03-27,987
86,2018-03-28,884
87,2018-03-29,837
88,2018-03-30,907
89,2018-03-31,956
90,2018-04-01,967
91,2018-04-02,833
92,2018-04-03,857
93,2018-04-04,934
94,2018-04-05,959
95,2018-04-06,1024
96,2018-04-07,988
97,2018-04-08,902
98,2018-04-09,777
99,2018-04-10,786
100,2018-04-11,755
101,2018-04-12,755
102,2018-04-13,825
103,2018-04-14,803
104,2018-04-15,814
105,2018-04-16,671
106,2018-04-17,719
107,2018-04-18,680
108,2018-04-19,687
109,2018-04-20,742
110,2018-04-21,840
111,2018-04-22,860
112,2018-04-23,787
113,2018-04-24,742
114,2018-04-25,758
115,2018-04-26,750
116,2018-04-27,811
117,2018-04-28,757
118,2018-04-29,875
119,2018-04-30,949
120,2018-05-01,929
121,2018-05-02,786
122,2018-05-03,691
123,2018-05-04,750
124,2018-05-05,835
125,2018-05-06,844
126,2018-05-07,786
127,2018-05-08,754
128,2018-05-09,705
129,2018-05-10,712
130,2018-05-11,647
131,2018-05-12,753
132,2018-05-13,750
133,2018-05-14,641
134,2018-05-15,639
135,2018-05-16,656
136,2018-05-17,641
137,2018-05-18,973
138,2018-05-19,867
139,2018-05-20,764
140,2018-05-21,691
141,2018-05-22,651
142,2018-05-23,672
143,2018-05-24,628
144,2018-05-25,627
145,2018-05-26,619
146,2018-05-27,690
147,2018-05-28,594
148,2018-05-29,540
149,2018-05-30,560
150,2018-05-31,571
151,2018-06-01,562
152,2018-06-02,580
153,2018-06-03,581
154,2018-06-04,542
155,2018-06-05,652
156,2018-06-06,674
157,2018-06-07,603
158,2018-06-08,608
159,2018-06-09,619
160,2018-06-10,591
161,2018-06-11,542
162,2018-06-12,571
163,2018-06-13,556
164,2018-06-14,524
165,2018-06-15,560
166,2018-06-16,510
167,2018-06-17,554
168,2018-06-18,478
169,2018-06-19,509
170,2018-06-20,491
171,2018-06-21,1145
172,2018-06-22,871
173,2018-06-23,836
174,2018-06-24,773
175,2018-06-25,679
176,2018-06-26,647
177,2018-06-27,660
178,2018-06-28,696
179,2018-06-29,639
180,2018-06-30,565
181,2018-07-01,580
182,2018-07-02,559
183,2018-07-03,1103
184,2018-07-04,2593
185,2018-07-05,1423
186,2018-07-06,1249
187,2018-07-07,1064
188,2018-07-08,1068
189,2018-07-09,1035
190,2018-07-10,1244
191,2018-07-11,2240
192,2018-07-12,3535
193,2018-07-13,3359
194,2018-07-14,31144
195,2018-07-15,79497
196,2018-07-16,36135
197,2018-07-17,29333
198,2018-07-18,23520
199,2018-07-19,19085
200,2018-07-20,16764
201,2018-07-21,32443
202,2018-07-22,53284
203,2018-07-23,39458
204,2018-07-24,32696
205,2018-07-25,192014
206,2018-07-26,453099
207,2018-07-27,474602
208,2018-07-28,309476
209,2018-07-29,229419
210,2018-07-30,207008
211,2018-07-31,217668
212,2018-08-01,170506
213,2018-08-02,166882
214,2018-08-03,143253
215,2018-08-04,103443
216,2018-08-05,89857
217,2018-08-06,84756
218,2018-08-07,80858
219,2018-08-08,73540
220,2018-08-09,72185
221,2018-08-10,68522
222,2018-08-11,45705
223,2018-08-12,44161
224,2018-08-13,41917
225,2018-08-14,39967
226,2018-08-15,39165
227,2018-08-16,36366
228,2018-08-17,37112
229,2018-08-18,27012
230,2018-08-19,26063
231,2018-08-20,33429
232,2018-08-21,32936
233,2018-08-22,25266
234,2018-08-23,24210
235,2018-08-24,23582
236,2018-08-25,18980
237,2018-08-26,19475
238,2018-08-27,22603
239,2018-08-28,20061
240,2018-08-29,18066
241,2018-08-30,18350
242,2018-08-31,19057
243,2018-09-01,15428
244,2018-09-02,14985
245,2018-09-03,14903
246,2018-09-04,15069
247,2018-09-05,14240
248,2018-09-06,14456
249,2018-09-07,15145
250,2018-09-08,15554
251,2018-09-09,14522
252,2018-09-10,15588
253,2018-09-11,14239
254,2018-09-12,12817
255,2018-09-13,12816
256,2018-09-14,12044
257,2018-09-15,11990
258,2018-09-16,11830
259,2018-09-17,11382
260,2018-09-18,11815
261,2018-09-19,10674
262,2018-09-20,9387
263,2018-09-21,10147
264,2018-09-22,9700
265,2018-09-23,9948
266,2018-09-24,14585
267,2018-09-25,9434
268,2018-09-26,9183
269,2018-09-27,8387
270,2018-09-28,7612
271,2018-09-29,7133
272,2018-09-30,7886
273,2018-10-01,13214
274,2018-10-02,10216
275,2018-10-03,9135
276,2018-10-04,8883
277,2018-10-05,9071
278,2018-10-06,8679
279,2018-10-07,8195
280,2018-10-08,7099
281,2018-10-09,7180
282,2018-10-10,7380
283,2018-10-11,7120
284,2018-10-12,7868
285,2018-10-13,7846
286,2018-10-14,8019
287,2018-10-15,7034
288,2018-10-16,6543
289,2018-10-17,6354
290,2018-10-18,6149
291,2018-10-19,8542
292,2018-10-20,6329
293,2018-10-21,7020
294,2018-10-22,7010
295,2018-10-23,6164
296,2018-10-24,5969
297,2018-10-25,5680
298,2018-10-26,5571
299,2018-10-27,5392
300,2018-10-28,5432
301,2018-10-29,5565
302,2018-10-30,5646
303,2018-10-31,5414
304,2018-11-01,5237
305,2018-11-02,6464
306,2018-11-03,7377
307,2018-11-04,9101
308,2018-11-05,11414
309,2018-11-06,10840
310,2018-11-07,10393
311,2018-11-08,10760
312,2018-11-09,10176
313,2018-11-10,9235
314,2018-11-11,8923
315,2018-11-12,8465
316,2018-11-13,8248
317,2018-11-14,8288
318,2018-11-15,7981
319,2018-11-16,7900
320,2018-11-17,9185
321,2018-11-18,8373
322,2018-11-19,7658
323,2018-11-20,8457
324,2018-11-21,7889
325,2018-11-22,7003
326,2018-11-23,7234
327,2018-11-24,7512
328,2018-11-25,7402
329,2018-11-26,7015
330,2018-11-27,6260
331,2018-11-28,5687
332,2018-11-29,5453
333,2018-11-30,5638
334,2018-12-01,6055
335,2018-12-02,6002
336,2018-12-03,5653
337,2018-12-04,5321
338,2018-12-05,5895
339,2018-12-06,6142
340,2018-12-07,6514
341,2018-12-08,6590
342,2018-12-09,6292
343,2018-12-10,5815
344,2018-12-11,5938
345,2018-12-12,4988
346,2018-12-13,6153
347,2018-12-14,12926
348,2018-12-15,6269
349,2018-12-16,6549
350,2018-12-17,6238
351,2018-12-18,6162
352,2018-12-19,8640
353,2018-12-20,19390
354,2018-12-21,11132
355,2018-12-22,9580
356,2018-12-23,7470
357,2018-12-24,6941
358,2018-12-25,6802
359,2018-12-26,8783
360,2018-12-27,9511
361,2018-12-28,7877
362,2018-12-29,9130
363,2018-12-30,7706
364,2018-12-31,8173
