yyds,Date,DecryptedData
0,2021-01-01,9796
1,2021-01-02,8985
2,2021-01-03,8877
3,2021-01-04,11981
4,2021-01-05,11042
5,2021-01-06,10409
6,2021-01-07,11160
7,2021-01-08,9435
8,2021-01-09,9114
9,2021-01-10,9514
10,2021-01-11,9893
11,2021-01-12,9249
12,2021-01-13,9334
13,2021-01-14,9576
14,2021-01-15,9874
15,2021-01-16,10269
16,2021-01-17,10288
17,2021-01-18,10799
18,2021-01-19,10434
19,2021-01-20,9647
20,2021-01-21,10442
21,2021-01-22,11700
22,2021-01-23,11101
23,2021-01-24,12302
24,2021-01-25,14340
25,2021-01-26,12010
26,2021-01-27,12823
27,2021-01-28,12710
28,2021-01-29,12728
29,2021-01-30,12168
30,2021-01-31,14462
31,2021-02-01,13957
32,2021-02-02,14070
33,2021-02-03,14179
34,2021-02-04,16949
35,2021-02-05,16586
36,2021-02-06,14999
37,2021-02-07,17386
38,2021-02-08,17369
39,2021-02-09,17401
40,2021-02-10,16993
41,2021-02-11,15805
42,2021-02-12,20790
43,2021-02-13,23154
44,2021-02-14,18414
45,2021-02-15,20176
46,2021-02-16,18483
47,2021-02-17,20787
48,2021-02-18,24268
49,2021-02-19,22318
50,2021-02-20,22701
51,2021-02-21,19681
52,2021-02-22,21411
53,2021-02-23,19957
54,2021-02-24,20243
55,2021-02-25,18396
56,2021-02-26,19070
57,2021-02-27,17442
58,2021-02-28,16755
59,2021-03-01,16631
60,2021-03-02,16397
61,2021-03-03,16524
62,2021-03-04,15434
63,2021-03-05,13545
64,2021-03-06,15462
65,2021-03-07,16909
66,2021-03-08,21329
67,2021-03-09,18958
68,2021-03-10,19292
69,2021-03-11,20213
70,2021-03-12,19915
71,2021-03-13,23488
72,2021-03-14,22151
73,2021-03-15,21935
74,2021-03-16,20859
75,2021-03-17,21951
76,2021-03-18,22384
77,2021-03-19,22607
78,2021-03-20,22298
79,2021-03-21,24384
80,2021-03-22,23391
81,2021-03-23,21439
82,2021-03-24,22226
83,2021-03-25,21888
84,2021-03-26,19857
85,2021-03-27,25913
86,2021-03-28,25625
87,2021-03-29,23974
88,2021-03-30,22513
89,2021-03-31,19696
90,2021-04-01,19115
91,2021-04-02,19275
92,2021-04-03,20404
93,2021-04-04,24354
94,2021-04-05,23806
95,2021-04-06,23361
96,2021-04-07,23557
97,2021-04-08,21383
98,2021-04-09,21257
99,2021-04-10,23939
100,2021-04-11,23660
101,2021-04-12,25186
102,2021-04-13,21673
103,2021-04-14,34250
104,2021-04-15,25873
105,2021-04-16,22985
106,2021-04-17,31112
107,2021-04-18,31401
108,2021-04-19,25004
109,2021-04-20,25047
110,2021-04-21,24809
111,2021-04-22,23356
112,2021-04-23,32146
113,2021-04-24,28257
114,2021-04-25,27585
115,2021-04-26,25049
116,2021-04-27,23877
117,2021-04-28,25295
118,2021-04-29,25009
119,2021-04-30,24480
120,2021-05-01,25265
121,2021-05-02,27070
122,2021-05-03,27089
123,2021-05-04,33693
124,2021-05-05,28271
125,2021-05-06,24984
126,2021-05-07,22080
127,2021-05-08,23697
128,2021-05-09,22900
129,2021-05-10,28269
130,2021-05-11,27558
131,2021-05-12,25846
132,2021-05-13,24918
133,2021-05-14,27706
134,2021-05-15,27808
135,2021-05-16,29742
136,2021-05-17,30022
137,2021-05-18,27734
138,2021-05-19,27027
139,2021-05-20,37843
140,2021-05-21,37527
141,2021-05-22,31038
142,2021-05-23,28266
143,2021-05-24,30878
144,2021-05-25,29692
145,2021-05-26,28941
146,2021-05-27,33811
147,2021-05-28,36055
148,2021-05-29,32164
149,2021-05-30,34668
150,2021-05-31,36635
151,2021-06-01,52909
152,2021-06-02,49987
153,2021-06-03,43117
154,2021-06-04,36299
155,2021-06-05,31402
156,2021-06-06,32753
157,2021-06-07,52957
158,2021-06-08,48103
159,2021-06-09,47484
160,2021-06-10,41797
161,2021-06-11,43003
162,2021-06-12,40902
163,2021-06-13,43713
164,2021-06-14,42864
165,2021-06-15,40878
166,2021-06-16,61557
167,2021-06-17,42883
168,2021-06-18,37644
169,2021-06-19,36336
170,2021-06-20,45806
171,2021-06-21,44642
172,2021-06-22,38904
173,2021-06-23,38710
174,2021-06-24,39407
175,2021-06-25,42589
176,2021-06-26,39616
177,2021-06-27,35359
178,2021-06-28,34342
179,2021-06-29,37254
180,2021-06-30,32588
181,2021-07-01,29085
182,2021-07-02,28721
183,2021-07-03,27110
184,2021-07-04,26723
