上头条,Date,DecryptedData
0,2014-01-01,407
1,2014-01-02,434
2,2014-01-03,455
3,2014-01-04,771
4,2014-01-05,751
5,2014-01-06,423
6,2014-01-07,337
7,2014-01-08,306
8,2014-01-09,327
9,2014-01-10,293
10,2014-01-11,323
11,2014-01-12,226
12,2014-01-13,352
13,2014-01-14,330
14,2014-01-15,340
15,2014-01-16,295
16,2014-01-17,281
17,2014-01-18,256
18,2014-01-19,231
19,2014-01-20,233
20,2014-01-21,207
21,2014-01-22,245
22,2014-01-23,229
23,2014-01-24,209
24,2014-01-25,181
25,2014-01-26,212
26,2014-01-27,240
27,2014-01-28,182
28,2014-01-29,170
29,2014-01-30,194
30,2014-01-31,218
31,2014-02-01,187
32,2014-02-02,193
33,2014-02-03,217
34,2014-02-04,185
35,2014-02-05,194
36,2014-02-06,229
37,2014-02-07,303
38,2014-02-08,292
39,2014-02-09,233
40,2014-02-10,242
41,2014-02-11,215
42,2014-02-12,214
43,2014-02-13,224
44,2014-02-14,215
45,2014-02-15,193
46,2014-02-16,182
47,2014-02-17,181
48,2014-02-18,166
49,2014-02-19,159
50,2014-02-20,180
51,2014-02-21,178
52,2014-02-22,159
53,2014-02-23,177
54,2014-02-24,139
55,2014-02-25,155
56,2014-02-26,173
57,2014-02-27,144
58,2014-02-28,147
59,2014-03-01,157
60,2014-03-02,159
61,2014-03-03,155
62,2014-03-04,158
63,2014-03-05,166
64,2014-03-06,183
65,2014-03-07,175
66,2014-03-08,254
67,2014-03-09,199
68,2014-03-10,196
69,2014-03-11,168
70,2014-03-12,187
71,2014-03-13,176
72,2014-03-14,185
73,2014-03-15,175
74,2014-03-16,182
75,2014-03-17,179
76,2014-03-18,174
77,2014-03-19,188
78,2014-03-20,174
79,2014-03-21,171
80,2014-03-22,192
81,2014-03-23,167
82,2014-03-24,164
83,2014-03-25,175
84,2014-03-26,178
85,2014-03-27,181
86,2014-03-28,160
87,2014-03-29,230
88,2014-03-30,311
89,2014-03-31,497
90,2014-04-01,342
91,2014-04-02,226
92,2014-04-03,229
93,2014-04-04,277
94,2014-04-05,254
95,2014-04-06,251
96,2014-04-07,228
97,2014-04-08,192
98,2014-04-09,146
99,2014-04-10,168
100,2014-04-11,191
101,2014-04-12,189
102,2014-04-13,189
103,2014-04-14,188
104,2014-04-15,186
105,2014-04-16,164
106,2014-04-17,156
107,2014-04-18,172
108,2014-04-19,184
109,2014-04-20,179
110,2014-04-21,170
111,2014-04-22,187
112,2014-04-23,183
113,2014-04-24,141
114,2014-04-25,171
115,2014-04-26,143
116,2014-04-27,144
117,2014-04-28,144
118,2014-04-29,139
119,2014-04-30,153
120,2014-05-01,147
121,2014-05-02,135
122,2014-05-03,165
123,2014-05-04,149
124,2014-05-05,169
125,2014-05-06,166
126,2014-05-07,156
127,2014-05-08,155
128,2014-05-09,161
129,2014-05-10,157
130,2014-05-11,142
131,2014-05-12,151
132,2014-05-13,132
133,2014-05-14,148
134,2014-05-15,147
135,2014-05-16,197
136,2014-05-17,206
137,2014-05-18,190
138,2014-05-19,152
139,2014-05-20,144
140,2014-05-21,144
141,2014-05-22,138
142,2014-05-23,186
143,2014-05-24,257
144,2014-05-25,156
145,2014-05-26,142
146,2014-05-27,181
147,2014-05-28,182
148,2014-05-29,141
149,2014-05-30,163
150,2014-05-31,74
151,2014-06-01,138
152,2014-06-02,145
153,2014-06-03,140
154,2014-06-04,169
155,2014-06-05,144
156,2014-06-06,171
157,2014-06-07,141
158,2014-06-08,150
159,2014-06-09,245
160,2014-06-10,217
161,2014-06-11,175
162,2014-06-12,162
163,2014-06-13,158
164,2014-06-14,156
165,2014-06-15,137
166,2014-06-16,133
167,2014-06-17,152
168,2014-06-18,135
169,2014-06-19,151
170,2014-06-20,140
171,2014-06-21,142
172,2014-06-22,148
173,2014-06-23,152
174,2014-06-24,166
175,2014-06-25,154
176,2014-06-26,156
177,2014-06-27,165
178,2014-06-28,159
179,2014-06-29,137
180,2014-06-30,204
181,2014-07-01,245
182,2014-07-02,181
183,2014-07-03,169
184,2014-07-04,189
185,2014-07-05,159
186,2014-07-06,187
187,2014-07-07,172
188,2014-07-08,179
189,2014-07-09,221
190,2014-07-10,221
191,2014-07-11,191
192,2014-07-12,159
193,2014-07-13,173
194,2014-07-14,161
195,2014-07-15,159
196,2014-07-16,190
197,2014-07-17,176
198,2014-07-18,200
199,2014-07-19,176
200,2014-07-20,151
201,2014-07-21,175
202,2014-07-22,200
203,2014-07-23,208
204,2014-07-24,166
205,2014-07-25,168
206,2014-07-26,214
207,2014-07-27,171
208,2014-07-28,172
209,2014-07-29,201
210,2014-07-30,255
211,2014-07-31,194
212,2014-08-01,202
213,2014-08-02,280
214,2014-08-03,319
215,2014-08-04,269
216,2014-08-05,190
217,2014-08-06,191
218,2014-08-07,200
219,2014-08-08,197
220,2014-08-09,181
221,2014-08-10,162
222,2014-08-11,170
223,2014-08-12,184
224,2014-08-13,172
225,2014-08-14,170
226,2014-08-15,190
227,2014-08-16,185
228,2014-08-17,172
229,2014-08-18,229
230,2014-08-19,298
231,2014-08-20,311
232,2014-08-21,281
233,2014-08-22,233
234,2014-08-23,220
235,2014-08-24,204
236,2014-08-25,199
237,2014-08-26,178
238,2014-08-27,212
239,2014-08-28,187
240,2014-08-29,174
241,2014-08-30,175
242,2014-08-31,193
243,2014-09-01,162
244,2014-09-02,154
245,2014-09-03,160
246,2014-09-04,144
247,2014-09-05,165
248,2014-09-06,173
249,2014-09-07,141
250,2014-09-08,158
251,2014-09-09,172
252,2014-09-10,189
253,2014-09-11,174
254,2014-09-12,447
255,2014-09-13,265
256,2014-09-14,244
257,2014-09-15,208
258,2014-09-16,231
259,2014-09-17,218
260,2014-09-18,225
261,2014-09-19,251
262,2014-09-20,299
263,2014-09-21,815
264,2014-09-22,302
265,2014-09-23,236
266,2014-09-24,182
267,2014-09-25,204
268,2014-09-26,172
269,2014-09-27,176
270,2014-09-28,170
271,2014-09-29,166
272,2014-09-30,180
273,2014-10-01,161
274,2014-10-02,147
275,2014-10-03,147
276,2014-10-04,147
277,2014-10-05,168
278,2014-10-06,155
279,2014-10-07,158
280,2014-10-08,150
281,2014-10-09,196
282,2014-10-10,153
283,2014-10-11,158
284,2014-10-12,151
285,2014-10-13,160
286,2014-10-14,132
287,2014-10-15,167
288,2014-10-16,140
289,2014-10-17,147
290,2014-10-18,151
291,2014-10-19,161
292,2014-10-20,148
293,2014-10-21,141
294,2014-10-22,151
295,2014-10-23,145
296,2014-10-24,144
297,2014-10-25,146
298,2014-10-26,153
299,2014-10-27,148
300,2014-10-28,153
301,2014-10-29,148
302,2014-10-30,146
303,2014-10-31,136
304,2014-11-01,148
305,2014-11-02,162
306,2014-11-03,148
307,2014-11-04,142
308,2014-11-05,134
309,2014-11-06,131
310,2014-11-07,137
311,2014-11-08,122
312,2014-11-09,133
313,2014-11-10,128
314,2014-11-11,136
315,2014-11-12,66
316,2014-11-13,154
317,2014-11-14,131
318,2014-11-15,149
319,2014-11-16,143
320,2014-11-17,159
321,2014-11-18,154
322,2014-11-19,137
323,2014-11-20,152
324,2014-11-21,134
325,2014-11-22,132
326,2014-11-23,131
327,2014-11-24,143
328,2014-11-25,156
329,2014-11-26,161
330,2014-11-27,131
331,2014-11-28,155
332,2014-11-29,159
333,2014-11-30,144
334,2014-12-01,142
335,2014-12-02,152
336,2014-12-03,150
337,2014-12-04,142
338,2014-12-05,152
339,2014-12-06,127
340,2014-12-07,138
341,2014-12-08,132
342,2014-12-09,176
343,2014-12-10,148
344,2014-12-11,136
345,2014-12-12,135
346,2014-12-13,137
347,2014-12-14,142
348,2014-12-15,144
349,2014-12-16,178
350,2014-12-17,156
351,2014-12-18,146
352,2014-12-19,140
353,2014-12-20,146
354,2014-12-21,134
355,2014-12-22,132
356,2014-12-23,132
357,2014-12-24,153
358,2014-12-25,156
359,2014-12-26,137
360,2014-12-27,125
361,2014-12-28,138
362,2014-12-29,150
363,2014-12-30,162
364,2014-12-31,184
