不作死就不会死,Date,DecryptedData
0,2014-01-01,1733
1,2014-01-02,1792
2,2014-01-03,1814
3,2014-01-04,1766
4,2014-01-05,1797
5,2014-01-06,1834
6,2014-01-07,1760
7,2014-01-08,1724
8,2014-01-09,1619
9,2014-01-10,1511
10,2014-01-11,1698
11,2014-01-12,1697
12,2014-01-13,1738
13,2014-01-14,1720
14,2014-01-15,1711
15,2014-01-16,1713
16,2014-01-17,1619
17,2014-01-18,1411
18,2014-01-19,1274
19,2014-01-20,1633
20,2014-01-21,1399
21,2014-01-22,1545
22,2014-01-23,1436
23,2014-01-24,1396
24,2014-01-25,1485
25,2014-01-26,1685
26,2014-01-27,1493
27,2014-01-28,1540
28,2014-01-29,1332
29,2014-01-30,1054
30,2014-01-31,1115
31,2014-02-01,1201
32,2014-02-02,1517
33,2014-02-03,1420
34,2014-02-04,1423
35,2014-02-05,1429
36,2014-02-06,1459
37,2014-02-07,1587
38,2014-02-08,1635
39,2014-02-09,1498
40,2014-02-10,1502
41,2014-02-11,1608
42,2014-02-12,1629
43,2014-02-13,1710
44,2014-02-14,1550
45,2014-02-15,1427
46,2014-02-16,1526
47,2014-02-17,1697
48,2014-02-18,1660
49,2014-02-19,1392
50,2014-02-20,1405
51,2014-02-21,1525
52,2014-02-22,1643
53,2014-02-23,1398
54,2014-02-24,1418
55,2014-02-25,1501
56,2014-02-26,1465
57,2014-02-27,1371
58,2014-02-28,1335
59,2014-03-01,1442
60,2014-03-02,1315
61,2014-03-03,1302
62,2014-03-04,1394
63,2014-03-05,1407
64,2014-03-06,1340
65,2014-03-07,1396
66,2014-03-08,1339
67,2014-03-09,1171
68,2014-03-10,1326
69,2014-03-11,1379
70,2014-03-12,1539
71,2014-03-13,1559
72,2014-03-14,1594
73,2014-03-15,1483
74,2014-03-16,1401
75,2014-03-17,1471
76,2014-03-18,1548
77,2014-03-19,1623
78,2014-03-20,1549
79,2014-03-21,1527
80,2014-03-22,1625
81,2014-03-23,1459
82,2014-03-24,1670
83,2014-03-25,1538
84,2014-03-26,1481
85,2014-03-27,1564
86,2014-03-28,1516
87,2014-03-29,1477
88,2014-03-30,1533
89,2014-03-31,1774
90,2014-04-01,1634
91,2014-04-02,1592
92,2014-04-03,1576
93,2014-04-04,1548
94,2014-04-05,1387
95,2014-04-06,1429
96,2014-04-07,1447
97,2014-04-08,1528
98,2014-04-09,1571
99,2014-04-10,1648
100,2014-04-11,1668
101,2014-04-12,1506
102,2014-04-13,1535
103,2014-04-14,1549
104,2014-04-15,1675
105,2014-04-16,1741
106,2014-04-17,1908
107,2014-04-18,40297
108,2014-04-19,26164
109,2014-04-20,7121
110,2014-04-21,7889
111,2014-04-22,3525
112,2014-04-23,8081
113,2014-04-24,3582
114,2014-04-25,3300
115,2014-04-26,2337
116,2014-04-27,2223
117,2014-04-28,2169
118,2014-04-29,2150
119,2014-04-30,1933
120,2014-05-01,1858
121,2014-05-02,1915
122,2014-05-03,2125
123,2014-05-04,2239
124,2014-05-05,2241
125,2014-05-06,2316
126,2014-05-07,2635
127,2014-05-08,3234
128,2014-05-09,3422
129,2014-05-10,2712
130,2014-05-11,2221
131,2014-05-12,2301
132,2014-05-13,2178
133,2014-05-14,2089
134,2014-05-15,2090
135,2014-05-16,2218
136,2014-05-17,2074
137,2014-05-18,1956
138,2014-05-19,2058
139,2014-05-20,1952
140,2014-05-21,1920
141,2014-05-22,2041
142,2014-05-23,2093
143,2014-05-24,2041
144,2014-05-25,2018
145,2014-05-26,1878
146,2014-05-27,1901
147,2014-05-28,1931
148,2014-05-29,1939
149,2014-05-30,1872
150,2014-05-31,1633
151,2014-06-01,1647
152,2014-06-02,1873
153,2014-06-03,1884
154,2014-06-04,1940
155,2014-06-05,1932
156,2014-06-06,1849
157,2014-06-07,1830
158,2014-06-08,1841
159,2014-06-09,1834
160,2014-06-10,1810
161,2014-06-11,1821
162,2014-06-12,1830
163,2014-06-13,1667
164,2014-06-14,1682
165,2014-06-15,1808
166,2014-06-16,1859
167,2014-06-17,1887
168,2014-06-18,1844
169,2014-06-19,1911
170,2014-06-20,1876
171,2014-06-21,1868
172,2014-06-22,1877
173,2014-06-23,1834
174,2014-06-24,1800
175,2014-06-25,1842
176,2014-06-26,1843
177,2014-06-27,1812
178,2014-06-28,1771
179,2014-06-29,1791
180,2014-06-30,1793
181,2014-07-01,1852
182,2014-07-02,1842
183,2014-07-03,1854
184,2014-07-04,1805
185,2014-07-05,1731
186,2014-07-06,1770
187,2014-07-07,1782
188,2014-07-08,1830
189,2014-07-09,1822
190,2014-07-10,1875
191,2014-07-11,1892
192,2014-07-12,1845
193,2014-07-13,1846
194,2014-07-14,1862
195,2014-07-15,1885
196,2014-07-16,1823
197,2014-07-17,1798
198,2014-07-18,1764
199,2014-07-19,1688
200,2014-07-20,1724
201,2014-07-21,1788
202,2014-07-22,1837
203,2014-07-23,1815
204,2014-07-24,1799
205,2014-07-25,1808
206,2014-07-26,1674
207,2014-07-27,1754
208,2014-07-28,1789
209,2014-07-29,1814
210,2014-07-30,1834
211,2014-07-31,1795
212,2014-08-01,1812
213,2014-08-02,1717
214,2014-08-03,1729
215,2014-08-04,1979
216,2014-08-05,1951
217,2014-08-06,1918
218,2014-08-07,1857
219,2014-08-08,1799
220,2014-08-09,1799
221,2014-08-10,1785
222,2014-08-11,1832
223,2014-08-12,2508
224,2014-08-13,1997
225,2014-08-14,1904
226,2014-08-15,1889
227,2014-08-16,1840
228,2014-08-17,1829
229,2014-08-18,1894
230,2014-08-19,1926
231,2014-08-20,1828
232,2014-08-21,1842
233,2014-08-22,1796
234,2014-08-23,1742
235,2014-08-24,1730
236,2014-08-25,1785
237,2014-08-26,1817
238,2014-08-27,1787
239,2014-08-28,1781
240,2014-08-29,1787
241,2014-08-30,1647
242,2014-08-31,1492
243,2014-09-01,1533
244,2014-09-02,1549
245,2014-09-03,1610
246,2014-09-04,1645
247,2014-09-05,1604
248,2014-09-06,1583
249,2014-09-07,1637
250,2014-09-08,1552
251,2014-09-09,1553
252,2014-09-10,1624
253,2014-09-11,1584
254,2014-09-12,1590
255,2014-09-13,1641
256,2014-09-14,1583
257,2014-09-15,1393
258,2014-09-16,1512
259,2014-09-17,1457
260,2014-09-18,1543
261,2014-09-19,1355
262,2014-09-20,1309
263,2014-09-21,1437
264,2014-09-22,1425
265,2014-09-23,1322
266,2014-09-24,1374
267,2014-09-25,1245
268,2014-09-26,1280
269,2014-09-27,1381
270,2014-09-28,1461
271,2014-09-29,1434
272,2014-09-30,1451
273,2014-10-01,1334
274,2014-10-02,1330
275,2014-10-03,1475
276,2014-10-04,1372
277,2014-10-05,1329
278,2014-10-06,1440
279,2014-10-07,1386
280,2014-10-08,1118
281,2014-10-09,1264
282,2014-10-10,1216
283,2014-10-11,1252
284,2014-10-12,1274
285,2014-10-13,1435
286,2014-10-14,1440
287,2014-10-15,1059
288,2014-10-16,1137
289,2014-10-17,1241
290,2014-10-18,1333
291,2014-10-19,1395
292,2014-10-20,1249
293,2014-10-21,1395
294,2014-10-22,1648
295,2014-10-23,1509
296,2014-10-24,1329
297,2014-10-25,1367
298,2014-10-26,1372
299,2014-10-27,1265
300,2014-10-28,1265
301,2014-10-29,1517
302,2014-10-30,1309
303,2014-10-31,1338
304,2014-11-01,1302
305,2014-11-02,1491
306,2014-11-03,1223
307,2014-11-04,1252
308,2014-11-05,1254
309,2014-11-06,1315
310,2014-11-07,1275
311,2014-11-08,1417
312,2014-11-09,1235
313,2014-11-10,1045
314,2014-11-11,1003
315,2014-11-12,1059
316,2014-11-13,1178
317,2014-11-14,1160
318,2014-11-15,1140
319,2014-11-16,1130
320,2014-11-17,1067
321,2014-11-18,1125
322,2014-11-19,1253
323,2014-11-20,1059
324,2014-11-21,1239
325,2014-11-22,1351
326,2014-11-23,1399
327,2014-11-24,1262
328,2014-11-25,1287
329,2014-11-26,1274
330,2014-11-27,1229
331,2014-11-28,1307
332,2014-11-29,1406
333,2014-11-30,1304
334,2014-12-01,1218
335,2014-12-02,1241
336,2014-12-03,1253
337,2014-12-04,1170
338,2014-12-05,1120
339,2014-12-06,1192
340,2014-12-07,1271
341,2014-12-08,1319
342,2014-12-09,1306
343,2014-12-10,1308
344,2014-12-11,1328
345,2014-12-12,1198
346,2014-12-13,1166
347,2014-12-14,1224
348,2014-12-15,1199
349,2014-12-16,1136
350,2014-12-17,1077
351,2014-12-18,1083
352,2014-12-19,1037
353,2014-12-20,902
354,2014-12-21,1057
355,2014-12-22,993
356,2014-12-23,978
357,2014-12-24,908
358,2014-12-25,1011
359,2014-12-26,1020
360,2014-12-27,1088
361,2014-12-28,1063
362,2014-12-29,1189
363,2014-12-30,1151
364,2014-12-31,1018
