不明觉厉,Date,DecryptedData
0,2013-01-01,849
1,2013-01-02,902
2,2013-01-03,1079
3,2013-01-04,1076
4,2013-01-05,1011
5,2013-01-06,1114
6,2013-01-07,1080
7,2013-01-08,1055
8,2013-01-09,1113
9,2013-01-10,991
10,2013-01-11,1001
11,2013-01-12,1001
12,2013-01-13,978
13,2013-01-14,1004
14,2013-01-15,1041
15,2013-01-16,1221
16,2013-01-17,1113
17,2013-01-18,1133
18,2013-01-19,936
19,2013-01-20,1127
20,2013-01-21,1159
21,2013-01-22,1128
22,2013-01-23,1257
23,2013-01-24,1193
24,2013-01-25,1140
25,2013-01-26,1053
26,2013-01-27,1047
27,2013-01-28,1134
28,2013-01-29,1192
29,2013-01-30,1283
30,2013-01-31,1244
31,2013-02-01,1348
32,2013-02-02,1297
33,2013-02-03,1357
34,2013-02-04,1369
35,2013-02-05,1416
36,2013-02-06,1332
37,2013-02-07,1352
38,2013-02-08,1305
39,2013-02-09,919
40,2013-02-10,1057
41,2013-02-11,1008
42,2013-02-12,1126
43,2013-02-13,1163
44,2013-02-14,1213
45,2013-02-15,1357
46,2013-02-16,1380
47,2013-02-17,1333
48,2013-02-18,1339
49,2013-02-19,1312
50,2013-02-20,1315
51,2013-02-21,1335
52,2013-02-22,1342
53,2013-02-23,1216
54,2013-02-24,1192
55,2013-02-25,1217
56,2013-02-26,1266
57,2013-02-27,1232
58,2013-02-28,1150
59,2013-03-01,1201
60,2013-03-02,1324
61,2013-03-03,1322
62,2013-03-04,1221
63,2013-03-05,1262
64,2013-03-06,1327
65,2013-03-07,1348
66,2013-03-08,1377
67,2013-03-09,1394
68,2013-03-10,1468
69,2013-03-11,1431
70,2013-03-12,1397
71,2013-03-13,1421
72,2013-03-14,1392
73,2013-03-15,1416
74,2013-03-16,1464
75,2013-03-17,1459
76,2013-03-18,1372
77,2013-03-19,1483
78,2013-03-20,1546
79,2013-03-21,1795
80,2013-03-22,2066
81,2013-03-23,1829
82,2013-03-24,1779
83,2013-03-25,1691
84,2013-03-26,1679
85,2013-03-27,1635
86,2013-03-28,1696
87,2013-03-29,1619
88,2013-03-30,1493
89,2013-03-31,1938
90,2013-04-01,1719
91,2013-04-02,1806
92,2013-04-03,1671
93,2013-04-04,1637
94,2013-04-05,1718
95,2013-04-06,1680
96,2013-04-07,1768
97,2013-04-08,1782
98,2013-04-09,1771
99,2013-04-10,1718
100,2013-04-11,1720
101,2013-04-12,1835
102,2013-04-13,1593
103,2013-04-14,1701
104,2013-04-15,1773
105,2013-04-16,1638
106,2013-04-17,1731
107,2013-04-18,1653
108,2013-04-19,1762
109,2013-04-20,1623
110,2013-04-21,2072
111,2013-04-22,1771
112,2013-04-23,1745
113,2013-04-24,1727
114,2013-04-25,1733
115,2013-04-26,2107
116,2013-04-27,1960
117,2013-04-28,1795
118,2013-04-29,1708
119,2013-04-30,1721
120,2013-05-01,1848
121,2013-05-02,1906
122,2013-05-03,1827
123,2013-05-04,2332
124,2013-05-05,2202
125,2013-05-06,2075
126,2013-05-07,1953
127,2013-05-08,6220
128,2013-05-09,5024
129,2013-05-10,2906
130,2013-05-11,2244
131,2013-05-12,2016
132,2013-05-13,1955
133,2013-05-14,2010
134,2013-05-15,2090
135,2013-05-16,1941
136,2013-05-17,1911
137,2013-05-18,1866
138,2013-05-19,1868
139,2013-05-20,1893
140,2013-05-21,1903
141,2013-05-22,2075
142,2013-05-23,1901
143,2013-05-24,1853
144,2013-05-25,1789
145,2013-05-26,1847
146,2013-05-27,1854
147,2013-05-28,1896
148,2013-05-29,1848
149,2013-05-30,1842
150,2013-05-31,1869
151,2013-06-01,2260
152,2013-06-02,2081
153,2013-06-03,2014
154,2013-06-04,2047
155,2013-06-05,2157
156,2013-06-06,2043
157,2013-06-07,2114
158,2013-06-08,1965
159,2013-06-09,1850
160,2013-06-10,1779
161,2013-06-11,1857
162,2013-06-12,1853
163,2013-06-13,1908
164,2013-06-14,1865
165,2013-06-15,1844
166,2013-06-16,1819
167,2013-06-17,1889
168,2013-06-18,1900
169,2013-06-19,1834
170,2013-06-20,1996
171,2013-06-21,1895
172,2013-06-22,1764
173,2013-06-23,2065
174,2013-06-24,2053
175,2013-06-25,2130
176,2013-06-26,2045
177,2013-06-27,2233
178,2013-06-28,2180
179,2013-06-29,2285
180,2013-06-30,2070
181,2013-07-01,2676
182,2013-07-02,2470
183,2013-07-03,2549
184,2013-07-04,2587
185,2013-07-05,2803
186,2013-07-06,2243
187,2013-07-07,4650
188,2013-07-08,5956
189,2013-07-09,5236
190,2013-07-10,4344
191,2013-07-11,4046
192,2013-07-12,3783
193,2013-07-13,2825
194,2013-07-14,3605
195,2013-07-15,4510
196,2013-07-16,4416
197,2013-07-17,4734
198,2013-07-18,4327
199,2013-07-19,3678
200,2013-07-20,3174
201,2013-07-21,2852
202,2013-07-22,3679
203,2013-07-23,3642
204,2013-07-24,3971
205,2013-07-25,3642
206,2013-07-26,3704
207,2013-07-27,2820
208,2013-07-28,2865
209,2013-07-29,4184
210,2013-07-30,4369
211,2013-07-31,4218
212,2013-08-01,3878
213,2013-08-02,3699
214,2013-08-03,2880
215,2013-08-04,3799
216,2013-08-05,5737
217,2013-08-06,5070
218,2013-08-07,5268
219,2013-08-08,4445
220,2013-08-09,4543
221,2013-08-10,3261
222,2013-08-11,3965
223,2013-08-12,4278
224,2013-08-13,4130
225,2013-08-14,4045
226,2013-08-15,4145
227,2013-08-16,4381
228,2013-08-17,3836
229,2013-08-18,3541
230,2013-08-19,4715
231,2013-08-20,5508
232,2013-08-21,5649
233,2013-08-22,4544
234,2013-08-23,4070
235,2013-08-24,3284
236,2013-08-25,3263
237,2013-08-26,4733
238,2013-08-27,4212
239,2013-08-28,4145
240,2013-08-29,4110
241,2013-08-30,3929
242,2013-08-31,3687
243,2013-09-01,4278
244,2013-09-02,5820
245,2013-09-03,5365
246,2013-09-04,5320
247,2013-09-05,4833
248,2013-09-06,4941
249,2013-09-07,4021
250,2013-09-08,4235
251,2013-09-09,4581
252,2013-09-10,4788
253,2013-09-11,4919
254,2013-09-12,5630
255,2013-09-13,5103
256,2013-09-14,4918
257,2013-09-15,7866
258,2013-09-16,7307
259,2013-09-17,7059
260,2013-09-18,7448
261,2013-09-19,5381
262,2013-09-20,5701
263,2013-09-21,5908
264,2013-09-22,6395
265,2013-09-23,7929
266,2013-09-24,6654
267,2013-09-25,6133
268,2013-09-26,6287
269,2013-09-27,5913
270,2013-09-28,4718
271,2013-09-29,5626
272,2013-09-30,6015
273,2013-10-01,5475
274,2013-10-02,6215
275,2013-10-03,5969
276,2013-10-04,5648
277,2013-10-05,5602
278,2013-10-06,5705
279,2013-10-07,5343
280,2013-10-08,5272
281,2013-10-09,5722
282,2013-10-10,5967
283,2013-10-11,6125
284,2013-10-12,6783
285,2013-10-13,5641
286,2013-10-14,6611
287,2013-10-15,6301
288,2013-10-16,6276
289,2013-10-17,5960
290,2013-10-18,5436
291,2013-10-19,4795
292,2013-10-20,4852
293,2013-10-21,5525
294,2013-10-22,5107
295,2013-10-23,5680
296,2013-10-24,7392
297,2013-10-25,6040
298,2013-10-26,5083
299,2013-10-27,5469
300,2013-10-28,6068
301,2013-10-29,6923
302,2013-10-30,5818
303,2013-10-31,5963
304,2013-11-01,6507
305,2013-11-02,5534
306,2013-11-03,5956
307,2013-11-04,5803
308,2013-11-05,6114
309,2013-11-06,5877
310,2013-11-07,6561
311,2013-11-08,5812
312,2013-11-09,4851
313,2013-11-10,4647
314,2013-11-11,4564
315,2013-11-12,5138
316,2013-11-13,6463
317,2013-11-14,5874
318,2013-11-15,5461
319,2013-11-16,4361
320,2013-11-17,4524
321,2013-11-18,5320
322,2013-11-19,4989
323,2013-11-20,4593
324,2013-11-21,4814
325,2013-11-22,4915
326,2013-11-23,4014
327,2013-11-24,4717
328,2013-11-25,5130
329,2013-11-26,4923
330,2013-11-27,4913
331,2013-11-28,4627
332,2013-11-29,4368
333,2013-11-30,3432
334,2013-12-01,4161
335,2013-12-02,5107
336,2013-12-03,5032
337,2013-12-04,4811
338,2013-12-05,4931
339,2013-12-06,4507
340,2013-12-07,3672
341,2013-12-08,8052
342,2013-12-09,10349
343,2013-12-10,6918
344,2013-12-11,6034
345,2013-12-12,7815
346,2013-12-13,7492
347,2013-12-14,5662
348,2013-12-15,6661
349,2013-12-16,6901
350,2013-12-17,6384
351,2013-12-18,5747
352,2013-12-19,6427
353,2013-12-20,6171
354,2013-12-21,4623
355,2013-12-22,4556
356,2013-12-23,6714
357,2013-12-24,5508
358,2013-12-25,6026
359,2013-12-26,5500
360,2013-12-27,5092
361,2013-12-28,4739
362,2013-12-29,5399
363,2013-12-30,6567
364,2013-12-31,6874
