且行且珍惜,Date,DecryptedData
0,2014-01-01,1280
1,2014-01-02,1110
2,2014-01-03,955
3,2014-01-04,959
4,2014-01-05,913
5,2014-01-06,1006
6,2014-01-07,952
7,2014-01-08,897
8,2014-01-09,851
9,2014-01-10,895
10,2014-01-11,780
11,2014-01-12,814
12,2014-01-13,824
13,2014-01-14,854
14,2014-01-15,856
15,2014-01-16,789
16,2014-01-17,858
17,2014-01-18,709
18,2014-01-19,777
19,2014-01-20,879
20,2014-01-21,778
21,2014-01-22,831
22,2014-01-23,832
23,2014-01-24,724
24,2014-01-25,781
25,2014-01-26,767
26,2014-01-27,781
27,2014-01-28,786
28,2014-01-29,811
29,2014-01-30,806
30,2014-01-31,767
31,2014-02-01,706
32,2014-02-02,787
33,2014-02-03,788
34,2014-02-04,864
35,2014-02-05,885
36,2014-02-06,908
37,2014-02-07,877
38,2014-02-08,913
39,2014-02-09,960
40,2014-02-10,865
41,2014-02-11,857
42,2014-02-12,863
43,2014-02-13,937
44,2014-02-14,1056
45,2014-02-15,990
46,2014-02-16,883
47,2014-02-17,947
48,2014-02-18,890
49,2014-02-19,946
50,2014-02-20,899
51,2014-02-21,816
52,2014-02-22,871
53,2014-02-23,892
54,2014-02-24,920
55,2014-02-25,867
56,2014-02-26,837
57,2014-02-27,851
58,2014-02-28,992
59,2014-03-01,942
60,2014-03-02,1135
61,2014-03-03,949
62,2014-03-04,914
63,2014-03-05,853
64,2014-03-06,891
65,2014-03-07,926
66,2014-03-08,1256
67,2014-03-09,1402
68,2014-03-10,1345
69,2014-03-11,1249
70,2014-03-12,1151
71,2014-03-13,1028
72,2014-03-14,936
73,2014-03-15,941
74,2014-03-16,985
75,2014-03-17,896
76,2014-03-18,977
77,2014-03-19,1011
78,2014-03-20,1016
79,2014-03-21,974
80,2014-03-22,955
81,2014-03-23,1115
82,2014-03-24,1292
83,2014-03-25,1560
84,2014-03-26,1306
85,2014-03-27,1280
86,2014-03-28,1108
87,2014-03-29,1086
88,2014-03-30,1161
89,2014-03-31,297624
90,2014-04-01,488798
91,2014-04-02,225604
92,2014-04-03,119853
93,2014-04-04,83693
94,2014-04-05,61467
95,2014-04-06,53459
96,2014-04-07,48936
97,2014-04-08,45117
98,2014-04-09,41667
99,2014-04-10,35439
100,2014-04-11,28364
101,2014-04-12,29736
102,2014-04-13,29184
103,2014-04-14,23356
104,2014-04-15,21038
105,2014-04-16,19351
106,2014-04-17,17679
107,2014-04-18,17465
108,2014-04-19,17796
109,2014-04-20,16938
110,2014-04-21,14546
111,2014-04-22,13194
112,2014-04-23,12456
113,2014-04-24,12196
114,2014-04-25,11896
115,2014-04-26,11757
116,2014-04-27,11588
117,2014-04-28,9743
118,2014-04-29,9601
119,2014-04-30,8895
120,2014-05-01,9656
121,2014-05-02,9694
122,2014-05-03,10192
123,2014-05-04,9529
124,2014-05-05,9175
125,2014-05-06,9176
126,2014-05-07,10410
127,2014-05-08,10207
128,2014-05-09,9172
129,2014-05-10,8952
130,2014-05-11,8194
131,2014-05-12,7246
132,2014-05-13,6993
133,2014-05-14,6687
134,2014-05-15,6914
135,2014-05-16,7812
136,2014-05-17,8973
137,2014-05-18,8113
138,2014-05-19,7003
139,2014-05-20,6935
140,2014-05-21,7172
141,2014-05-22,6534
142,2014-05-23,5842
143,2014-05-24,6442
144,2014-05-25,6516
145,2014-05-26,5604
146,2014-05-27,5279
147,2014-05-28,6407
148,2014-05-29,5639
149,2014-05-30,5017
150,2014-05-31,4453
151,2014-06-01,4784
152,2014-06-02,5813
153,2014-06-03,5252
154,2014-06-04,5187
155,2014-06-05,5191
156,2014-06-06,5481
157,2014-06-07,5311
158,2014-06-08,5357
159,2014-06-09,5022
160,2014-06-10,4782
161,2014-06-11,4579
162,2014-06-12,4617
163,2014-06-13,3959
164,2014-06-14,4025
165,2014-06-15,4526
166,2014-06-16,4360
167,2014-06-17,4200
168,2014-06-18,4318
169,2014-06-19,4473
170,2014-06-20,4540
171,2014-06-21,4325
172,2014-06-22,4305
173,2014-06-23,4033
174,2014-06-24,3922
175,2014-06-25,4247
176,2014-06-26,4013
177,2014-06-27,4297
178,2014-06-28,3920
179,2014-06-29,4430
180,2014-06-30,5678
181,2014-07-01,6593
182,2014-07-02,6107
183,2014-07-03,5379
184,2014-07-04,4879
185,2014-07-05,4193
186,2014-07-06,3936
187,2014-07-07,3673
188,2014-07-08,3624
189,2014-07-09,3680
190,2014-07-10,3327
191,2014-07-11,3277
192,2014-07-12,3139
193,2014-07-13,6162
194,2014-07-14,6839
195,2014-07-15,4972
196,2014-07-16,3814
197,2014-07-17,3439
198,2014-07-18,3556
199,2014-07-19,2967
200,2014-07-20,2980
201,2014-07-21,2957
202,2014-07-22,2951
203,2014-07-23,2828
204,2014-07-24,2810
205,2014-07-25,2868
206,2014-07-26,2662
207,2014-07-27,2606
208,2014-07-28,2682
209,2014-07-29,2494
210,2014-07-30,2469
211,2014-07-31,2483
212,2014-08-01,2577
213,2014-08-02,2852
214,2014-08-03,2692
215,2014-08-04,2706
216,2014-08-05,2692
217,2014-08-06,2711
218,2014-08-07,2703
219,2014-08-08,2614
220,2014-08-09,2548
221,2014-08-10,2644
222,2014-08-11,2684
223,2014-08-12,2595
224,2014-08-13,2518
225,2014-08-14,2575
226,2014-08-15,2552
227,2014-08-16,2578
228,2014-08-17,2735
229,2014-08-18,2646
230,2014-08-19,2573
231,2014-08-20,2468
232,2014-08-21,2387
233,2014-08-22,2415
234,2014-08-23,2482
235,2014-08-24,2647
236,2014-08-25,2480
237,2014-08-26,2449
238,2014-08-27,2496
239,2014-08-28,2485
240,2014-08-29,2395
241,2014-08-30,2391
242,2014-08-31,2344
243,2014-09-01,2260
244,2014-09-02,2360
245,2014-09-03,2270
246,2014-09-04,2205
247,2014-09-05,2167
248,2014-09-06,2152
249,2014-09-07,2369
250,2014-09-08,2568
251,2014-09-09,2438
252,2014-09-10,2244
253,2014-09-11,2296
254,2014-09-12,2111
255,2014-09-13,2255
256,2014-09-14,2299
257,2014-09-15,2318
258,2014-09-16,2248
259,2014-09-17,2411
260,2014-09-18,2306
261,2014-09-19,2441
262,2014-09-20,2549
263,2014-09-21,2747
264,2014-09-22,2388
265,2014-09-23,2430
266,2014-09-24,2239
267,2014-09-25,2200
268,2014-09-26,2055
269,2014-09-27,2107
270,2014-09-28,2074
271,2014-09-29,2062
272,2014-09-30,2093
273,2014-10-01,1743
274,2014-10-02,1836
275,2014-10-03,1919
276,2014-10-04,1931
277,2014-10-05,1972
278,2014-10-06,1901
279,2014-10-07,1987
280,2014-10-08,1855
