中二病,Date,DecryptedData
0,2016-01-01,2051
1,2016-01-02,2205
2,2016-01-03,2102
3,2016-01-04,1888
4,2016-01-05,1982
5,2016-01-06,1897
6,2016-01-07,1858
7,2016-01-08,2079
8,2016-01-09,2173
9,2016-01-10,2181
10,2016-01-11,1879
11,2016-01-12,1885
12,2016-01-13,1907
13,2016-01-14,1969
14,2016-01-15,1941
15,2016-01-16,2283
16,2016-01-17,2257
17,2016-01-18,1956
18,2016-01-19,1944
19,2016-01-20,2035
20,2016-01-21,2043
21,2016-01-22,2102
22,2016-01-23,2129
23,2016-01-24,2130
24,2016-01-25,2046
25,2016-01-26,2062
26,2016-01-27,2130
27,2016-01-28,2134
28,2016-01-29,2032
29,2016-01-30,2058
30,2016-01-31,3012
31,2016-02-01,3322
32,2016-02-02,2836
33,2016-02-03,2789
34,2016-02-04,2583
35,2016-02-05,2492
36,2016-02-06,2163
37,2016-02-07,1769
38,2016-02-08,1920
39,2016-02-09,1960
40,2016-02-10,2035
41,2016-02-11,2153
42,2016-02-12,2130
43,2016-02-13,2264
44,2016-02-14,2278
45,2016-02-15,2259
46,2016-02-16,2291
47,2016-02-17,2176
48,2016-02-18,2238
49,2016-02-19,2283
50,2016-02-20,2514
51,2016-02-21,2538
52,2016-02-22,2237
53,2016-02-23,2063
54,2016-02-24,1956
55,2016-02-25,1966
56,2016-02-26,1926
57,2016-02-27,2080
58,2016-02-28,2167
59,2016-02-29,1819
60,2016-03-01,1783
61,2016-03-02,1837
62,2016-03-03,1836
63,2016-03-04,1827
64,2016-03-05,1963
65,2016-03-06,1984
66,2016-03-07,1848
67,2016-03-08,1869
68,2016-03-09,1926
69,2016-03-10,1886
70,2016-03-11,1860
71,2016-03-12,2240
72,2016-03-13,2295
73,2016-03-14,1856
74,2016-03-15,1875
75,2016-03-16,1866
76,2016-03-17,1866
77,2016-03-18,1831
78,2016-03-19,2074
79,2016-03-20,2182
80,2016-03-21,2171
81,2016-03-22,1930
82,2016-03-23,1864
83,2016-03-24,1858
84,2016-03-25,1846
85,2016-03-26,2103
86,2016-03-27,2170
87,2016-03-28,1849
88,2016-03-29,1821
89,2016-03-30,1815
90,2016-03-31,1819
91,2016-04-01,1816
92,2016-04-02,2205
93,2016-04-03,2172
94,2016-04-04,2170
95,2016-04-05,1774
96,2016-04-06,1718
97,2016-04-07,1751
98,2016-04-08,1821
99,2016-04-09,2110
100,2016-04-10,2282
101,2016-04-11,1808
102,2016-04-12,1847
103,2016-04-13,1833
104,2016-04-14,1758
105,2016-04-15,1777
106,2016-04-16,1831
107,2016-04-17,1738
108,2016-04-18,1736
109,2016-04-19,1702
110,2016-04-20,1770
111,2016-04-21,1740
112,2016-04-22,1954
113,2016-04-23,2681
114,2016-04-24,2889
115,2016-04-25,2652
116,2016-04-26,2444
117,2016-04-27,2514
118,2016-04-28,2556
119,2016-04-29,2364
