互联网+,Date,DecryptedData
0,2015-01-01,3240
1,2015-01-02,3413
2,2015-01-03,3505
3,2015-01-04,3763
4,2015-01-05,4523
5,2015-01-06,3755
6,2015-01-07,3659
7,2015-01-08,3546
8,2015-01-09,3402
9,2015-01-10,3317
10,2015-01-11,3459
11,2015-01-12,3321
12,2015-01-13,3427
13,2015-01-14,3369
14,2015-01-15,3359
15,2015-01-16,3382
16,2015-01-17,3260
17,2015-01-18,3537
18,2015-01-19,3434
19,2015-01-20,3532
20,2015-01-21,3258
21,2015-01-22,3363
22,2015-01-23,3286
23,2015-01-24,3385
24,2015-01-25,3381
25,2015-01-26,3451
26,2015-01-27,3386
27,2015-01-28,3199
28,2015-01-29,3394
29,2015-01-30,3228
30,2015-01-31,3225
31,2015-02-01,3237
32,2015-02-02,3290
33,2015-02-03,3394
34,2015-02-04,3470
35,2015-02-05,3437
36,2015-02-06,3338
37,2015-02-07,3257
38,2015-02-08,3103
39,2015-02-09,3253
40,2015-02-10,3333
41,2015-02-11,3383
42,2015-02-12,3411
43,2015-02-13,3169
44,2015-02-14,3072
45,2015-02-15,3079
46,2015-02-16,2891
47,2015-02-17,2937
48,2015-02-18,2291
49,2015-02-19,2625
50,2015-02-20,2688
51,2015-02-21,2696
52,2015-02-22,2960
53,2015-02-23,3058
54,2015-02-24,3134
55,2015-02-25,3398
56,2015-02-26,3628
57,2015-02-27,3701
58,2015-02-28,4040
59,2015-03-01,3669
60,2015-03-02,4095
61,2015-03-03,3954
62,2015-03-04,4245
63,2015-03-05,30607
64,2015-03-06,58291
65,2015-03-07,7481
66,2015-03-08,4978
67,2015-03-09,5299
68,2015-03-10,5575
69,2015-03-11,5362
70,2015-03-12,5947
71,2015-03-13,5027
72,2015-03-14,6745
73,2015-03-15,8006
74,2015-03-16,9231
75,2015-03-17,7970
76,2015-03-18,8165
77,2015-03-19,7154
78,2015-03-20,6798
79,2015-03-21,6417
80,2015-03-22,7465
81,2015-03-23,8190
82,2015-03-24,8270
83,2015-03-25,8898
84,2015-03-26,8676
85,2015-03-27,7671
86,2015-03-28,7401
87,2015-03-29,7131
88,2015-03-30,7615
89,2015-03-31,7372
90,2015-04-01,8042
91,2015-04-02,8119
92,2015-04-03,6754
93,2015-04-04,6031
94,2015-04-05,5744
95,2015-04-06,5890
96,2015-04-07,6773
97,2015-04-08,6558
98,2015-04-09,6404
99,2015-04-10,6532
100,2015-04-11,6420
101,2015-04-12,6433
102,2015-04-13,7385
103,2015-04-14,7234
104,2015-04-15,7945
105,2015-04-16,8064
106,2015-04-17,7698
107,2015-04-18,7075
108,2015-04-19,7275
109,2015-04-20,7530
110,2015-04-21,8036
111,2015-04-22,8498
112,2015-04-23,9365
113,2015-04-24,9255
114,2015-04-25,7574
115,2015-04-26,7812
116,2015-04-27,8437
117,2015-04-28,8515
118,2015-04-29,10733
119,2015-04-30,9098
120,2015-05-01,6979
121,2015-05-02,6535
122,2015-05-03,6842
123,2015-05-04,8542
124,2015-05-05,8524
125,2015-05-06,8152
126,2015-05-07,8318
127,2015-05-08,8728
128,2015-05-09,7763
129,2015-05-10,7311
130,2015-05-11,8568
131,2015-05-12,7898
132,2015-05-13,8143
133,2015-05-14,8840
134,2015-05-15,8102
135,2015-05-16,6971
136,2015-05-17,7222
137,2015-05-18,7748
138,2015-05-19,8221
139,2015-05-20,7783
140,2015-05-21,8693
141,2015-05-22,8242
142,2015-05-23,7846
143,2015-05-24,7553
144,2015-05-25,7737
145,2015-05-26,8555
146,2015-05-27,8773
147,2015-05-28,7817
148,2015-05-29,7441
149,2015-05-30,6300
150,2015-05-31,5997
151,2015-06-01,6691
152,2015-06-02,7451
153,2015-06-03,7670
154,2015-06-04,7737
155,2015-06-05,6988
156,2015-06-06,6282
157,2015-06-07,6577
158,2015-06-08,7298
159,2015-06-09,7275
160,2015-06-10,7209
161,2015-06-11,7516
162,2015-06-12,6539
163,2015-06-13,5995
164,2015-06-14,6720
165,2015-06-15,7282
166,2015-06-16,7195
167,2015-06-17,7711
168,2015-06-18,7353
169,2015-06-19,6133
170,2015-06-20,5280
171,2015-06-21,5773
172,2015-06-22,6493
173,2015-06-23,7323
174,2015-06-24,8974
175,2015-06-25,10678
176,2015-06-26,7737
177,2015-06-27,6813
178,2015-06-28,6586
179,2015-06-29,7324
180,2015-06-30,7329
181,2015-07-01,7232
182,2015-07-02,7103
183,2015-07-03,6719
184,2015-07-04,6783
185,2015-07-05,7856
186,2015-07-06,8018
187,2015-07-07,7425
188,2015-07-08,7387
189,2015-07-09,7525
190,2015-07-10,7448
191,2015-07-11,6490
192,2015-07-12,6189
193,2015-07-13,7602
194,2015-07-14,7451
195,2015-07-15,7951
196,2015-07-16,7598
197,2015-07-17,7467
198,2015-07-18,7050
199,2015-07-19,6632
200,2015-07-20,8283
201,2015-07-21,7861
202,2015-07-22,7959
203,2015-07-23,7855
204,2015-07-24,7166
205,2015-07-25,6110
206,2015-07-26,6160
207,2015-07-27,6604
208,2015-07-28,6650
209,2015-07-29,6778
210,2015-07-30,6865
211,2015-07-31,6600
212,2015-08-01,6038
213,2015-08-02,5641
214,2015-08-03,6707
215,2015-08-04,6633
216,2015-08-05,7014
217,2015-08-06,6862
218,2015-08-07,6885
219,2015-08-08,6229
220,2015-08-09,6388
221,2015-08-10,7468
222,2015-08-11,7384
223,2015-08-12,6723
224,2015-08-13,6725
225,2015-08-14,6439
226,2015-08-15,5950
227,2015-08-16,5567
228,2015-08-17,6695
229,2015-08-18,6656
230,2015-08-19,6520
231,2015-08-20,6252
232,2015-08-21,6390
233,2015-08-22,6025
234,2015-08-23,5765
235,2015-08-24,6037
236,2015-08-25,6444
237,2015-08-26,6226
238,2015-08-27,6458
239,2015-08-28,6025
240,2015-08-29,5620
241,2015-08-30,5579
242,2015-08-31,6001
243,2015-09-01,6103
244,2015-09-02,5543
245,2015-09-03,4513
246,2015-09-04,4553
247,2015-09-05,4860
248,2015-09-06,5676
249,2015-09-07,6073
250,2015-09-08,6576
251,2015-09-09,6577
252,2015-09-10,6538
253,2015-09-11,6333
254,2015-09-12,5782
255,2015-09-13,5343
256,2015-09-14,6303
257,2015-09-15,6052
258,2015-09-16,6279
259,2015-09-17,6293
260,2015-09-18,6152
261,2015-09-19,5470
262,2015-09-20,5440
263,2015-09-21,6045
264,2015-09-22,6178
265,2015-09-23,6384
266,2015-09-24,7530
267,2015-09-25,6501
268,2015-09-26,5042
269,2015-09-27,5041
270,2015-09-28,5758
271,2015-09-29,6042
272,2015-09-30,5306
273,2015-10-01,4832
274,2015-10-02,4636
275,2015-10-03,4915
276,2015-10-04,4824
277,2015-10-05,4756
278,2015-10-06,5150
279,2015-10-07,5345
280,2015-10-08,6090
281,2015-10-09,6124
282,2015-10-10,5741
283,2015-10-11,5477
284,2015-10-12,6127
285,2015-10-13,6559
286,2015-10-14,6537
287,2015-10-15,6624
288,2015-10-16,6248
289,2015-10-17,5874
290,2015-10-18,5990
291,2015-10-19,6751
292,2015-10-20,7310
293,2015-10-21,7415
294,2015-10-22,7236
295,2015-10-23,6362
296,2015-10-24,6082
297,2015-10-25,5890
298,2015-10-26,7010
299,2015-10-27,7135
300,2015-10-28,7019
301,2015-10-29,7808
302,2015-10-30,7071
303,2015-10-31,5870
304,2015-11-01,6177
305,2015-11-02,6990
306,2015-11-03,7138
307,2015-11-04,7605
308,2015-11-05,8189
309,2015-11-06,7408
310,2015-11-07,6565
311,2015-11-08,6533
312,2015-11-09,7548
313,2015-11-10,7672
314,2015-11-11,7151
315,2015-11-12,8012
316,2015-11-13,6938
317,2015-11-14,6561
318,2015-11-15,6716
319,2015-11-16,7356
320,2015-11-17,7353
321,2015-11-18,7798
322,2015-11-19,9022
323,2015-11-20,6993
324,2015-11-21,6538
325,2015-11-22,6570
326,2015-11-23,7272
327,2015-11-24,7192
328,2015-11-25,7006
329,2015-11-26,8336
330,2015-11-27,6631
331,2015-11-28,6239
332,2015-11-29,6567
333,2015-11-30,7133
334,2015-12-01,7277
335,2015-12-02,7666
336,2015-12-03,7487
337,2015-12-04,7104
338,2015-12-05,6571
339,2015-12-06,6898
340,2015-12-07,6801
341,2015-12-08,7355
