人工智能,Date,DecryptedData
0,2018-01-01,6306
1,2018-01-02,8442
2,2018-01-03,8571
3,2018-01-04,8118
4,2018-01-05,7436
5,2018-01-06,6506
6,2018-01-07,6683
7,2018-01-08,7533
8,2018-01-09,7063
9,2018-01-10,6847
10,2018-01-11,7089
11,2018-01-12,6454
12,2018-01-13,5659
13,2018-01-14,6051
14,2018-01-15,7028
15,2018-01-16,6577
16,2018-01-17,6526
17,2018-01-18,6696
18,2018-01-19,18955
19,2018-01-20,5544
20,2018-01-21,5442
21,2018-01-22,6633
22,2018-01-23,6551
23,2018-01-24,6167
24,2018-01-25,6070
25,2018-01-26,5480
26,2018-01-27,4766
27,2018-01-28,5570
28,2018-01-29,5960
29,2018-01-30,5502
30,2018-01-31,5678
31,2018-02-01,5417
32,2018-02-02,4940
33,2018-02-03,4207
34,2018-02-04,4529
35,2018-02-05,5749
36,2018-02-06,5741
37,2018-02-07,5102
38,2018-02-08,5152
39,2018-02-09,4771
40,2018-02-10,3778
41,2018-02-11,4271
42,2018-02-12,4069
43,2018-02-13,3550
44,2018-02-14,3232
45,2018-02-15,2760
46,2018-02-16,3321
47,2018-02-17,3590
48,2018-02-18,3841
49,2018-02-19,4139
50,2018-02-20,4380
51,2018-02-21,4910
52,2018-02-22,6585
53,2018-02-23,6568
54,2018-02-24,7063
55,2018-02-25,6031
56,2018-02-26,7990
57,2018-02-27,7486
58,2018-02-28,7570
59,2018-03-01,7388
60,2018-03-02,6831
61,2018-03-03,6278
62,2018-03-04,6491
63,2018-03-05,9038
64,2018-03-06,9833
65,2018-03-07,10279
66,2018-03-08,9293
67,2018-03-09,8414
68,2018-03-10,7320
69,2018-03-11,8119
70,2018-03-12,10667
71,2018-03-13,9699
72,2018-03-14,11161
73,2018-03-15,11620
74,2018-03-16,9222
75,2018-03-17,8330
76,2018-03-18,10473
77,2018-03-19,11152
78,2018-03-20,10525
79,2018-03-21,9538
80,2018-03-22,9120
81,2018-03-23,8617
82,2018-03-24,7801
83,2018-03-25,8400
84,2018-03-26,10469
85,2018-03-27,11421
86,2018-03-28,10740
87,2018-03-29,10265
88,2018-03-30,8539
89,2018-03-31,7380
