任性,Date,DecryptedData
0,2015-01-01,3894
1,2015-01-02,3269
2,2015-01-03,3285
3,2015-01-04,3362
4,2015-01-05,2853
5,2015-01-06,2687
6,2015-01-07,2628
7,2015-01-08,2575
8,2015-01-09,2591
9,2015-01-10,2530
10,2015-01-11,2681
11,2015-01-12,2375
12,2015-01-13,2189
13,2015-01-14,2327
14,2015-01-15,2439
15,2015-01-16,2493
16,2015-01-17,2262
17,2015-01-18,2405
18,2015-01-19,2126
19,2015-01-20,1956
20,2015-01-21,2005
21,2015-01-22,1999
22,2015-01-23,1886
23,2015-01-24,2061
24,2015-01-25,1928
25,2015-01-26,1896
26,2015-01-27,1880
27,2015-01-28,1771
28,2015-01-29,1822
29,2015-01-30,1839
30,2015-01-31,1554
31,2015-02-01,1619
32,2015-02-02,1680
33,2015-02-03,1755
34,2015-02-04,1688
35,2015-02-05,1651
36,2015-02-06,1614
37,2015-02-07,1419
38,2015-02-08,1449
39,2015-02-09,1603
40,2015-02-10,1591
41,2015-02-11,1495
42,2015-02-12,1434
43,2015-02-13,1434
44,2015-02-14,1349
45,2015-02-15,1428
46,2015-02-16,1358
47,2015-02-17,1324
48,2015-02-18,1366
49,2015-02-19,1365
50,2015-02-20,1274
51,2015-02-21,1219
52,2015-02-22,1339
53,2015-02-23,1314
54,2015-02-24,1339
55,2015-02-25,1479
56,2015-02-26,1490
57,2015-02-27,1611
58,2015-02-28,1782
59,2015-03-01,1636
60,2015-03-02,5461
61,2015-03-03,5437
62,2015-03-04,13203
63,2015-03-05,10482
64,2015-03-06,6198
65,2015-03-07,4239
66,2015-03-08,3379
67,2015-03-09,3309
68,2015-03-10,2661
69,2015-03-11,2479
70,2015-03-12,2443
71,2015-03-13,2279
72,2015-03-14,2528
73,2015-03-15,2931
74,2015-03-16,2539
75,2015-03-17,2199
76,2015-03-18,2026
77,2015-03-19,2130
78,2015-03-20,2005
79,2015-03-21,1935
80,2015-03-22,2153
81,2015-03-23,1726
82,2015-03-24,1795
83,2015-03-25,1748
84,2015-03-26,1815
85,2015-03-27,1554
86,2015-03-28,1603
87,2015-03-29,2021
88,2015-03-30,1683
89,2015-03-31,1630
90,2015-04-01,1591
91,2015-04-02,1593
92,2015-04-03,1493
93,2015-04-04,1390
94,2015-04-05,1608
95,2015-04-06,1830
96,2015-04-07,1481
97,2015-04-08,1510
98,2015-04-09,1506
99,2015-04-10,1397
100,2015-04-11,1398
101,2015-04-12,1530
102,2015-04-13,1416
103,2015-04-14,1412
104,2015-04-15,1553
105,2015-04-16,1601
106,2015-04-17,1487
107,2015-04-18,1647
108,2015-04-19,1598
109,2015-04-20,1492
110,2015-04-21,1485
111,2015-04-22,1456
112,2015-04-23,1440
113,2015-04-24,1385
114,2015-04-25,1408
115,2015-04-26,1440
116,2015-04-27,1435
117,2015-04-28,1438
118,2015-04-29,1488
119,2015-04-30,1375
120,2015-05-01,1378
121,2015-05-02,1512
122,2015-05-03,1863
123,2015-05-04,1514
