你懂的,Date,DecryptedData
0,2018-01-01,2878
1,2018-01-02,2733
2,2018-01-03,3009
3,2018-01-04,3183
4,2018-01-05,3023
5,2018-01-06,3557
6,2018-01-07,3587
7,2018-01-08,2854
8,2018-01-09,2780
9,2018-01-10,2829
10,2018-01-11,2749
11,2018-01-12,2826
12,2018-01-13,3271
13,2018-01-14,3256
14,2018-01-15,2625
15,2018-01-16,2567
16,2018-01-17,2860
17,2018-01-18,2882
18,2018-01-19,2820
19,2018-01-20,3456
20,2018-01-21,3207
21,2018-01-22,2672
22,2018-01-23,2966
23,2018-01-24,2739
24,2018-01-25,2955
25,2018-01-26,2876
26,2018-01-27,3225
27,2018-01-28,2962
28,2018-01-29,2560
29,2018-01-30,2617
30,2018-01-31,2808
31,2018-02-01,2793
32,2018-02-02,3102
33,2018-02-03,3230
34,2018-02-04,3324
35,2018-02-05,3056
36,2018-02-06,3089
37,2018-02-07,3014
38,2018-02-08,3278
39,2018-02-09,3097
40,2018-02-10,3186
41,2018-02-11,2790
42,2018-02-12,2945
43,2018-02-13,3135
44,2018-02-14,2930
45,2018-02-15,2150
46,2018-02-16,2997
47,2018-02-17,3117
48,2018-02-18,3168
49,2018-02-19,3289
50,2018-02-20,3666
51,2018-02-21,3782
52,2018-02-22,3670
53,2018-02-23,3229
54,2018-02-24,3350
55,2018-02-25,3501
56,2018-02-26,2928
57,2018-02-27,3154
58,2018-02-28,3032
59,2018-03-01,3094
60,2018-03-02,2978
61,2018-03-03,3096
62,2018-03-04,3126
63,2018-03-05,2473
64,2018-03-06,2468
65,2018-03-07,2491
66,2018-03-08,2525
67,2018-03-09,2588
68,2018-03-10,2967
69,2018-03-11,2809
70,2018-03-12,2338
71,2018-03-13,2573
72,2018-03-14,2665
73,2018-03-15,2736
74,2018-03-16,2913
75,2018-03-17,3333
76,2018-03-18,3095
77,2018-03-19,2503
78,2018-03-20,2537
79,2018-03-21,2568
80,2018-03-22,2596
81,2018-03-23,2823
82,2018-03-24,3233
83,2018-03-25,3182
84,2018-03-26,2578
85,2018-03-27,2628
86,2018-03-28,2922
87,2018-03-29,3025
88,2018-03-30,3192
89,2018-03-31,3642
90,2018-04-01,3371
91,2018-04-02,2887
92,2018-04-03,3109
93,2018-04-04,3624
94,2018-04-05,4221
95,2018-04-06,3657
96,2018-04-07,3531
97,2018-04-08,2911
98,2018-04-09,2955
99,2018-04-10,3136
100,2018-04-11,3273
101,2018-04-12,3285
102,2018-04-13,3464
103,2018-04-14,3846
104,2018-04-15,3446
105,2018-04-16,2929
106,2018-04-17,3010
107,2018-04-18,3156
108,2018-04-19,3276
109,2018-04-20,3544
110,2018-04-21,4101
111,2018-04-22,3975
112,2018-04-23,3263
113,2018-04-24,3167
114,2018-04-25,3140
115,2018-04-26,3168
116,2018-04-27,3412
117,2018-04-28,3697
118,2018-04-29,4372
119,2018-04-30,4291
120,2018-05-01,4390
121,2018-05-02,3446
122,2018-05-03,3392
123,2018-05-04,3623
124,2018-05-05,4422
125,2018-05-06,4212
126,2018-05-07,3585
127,2018-05-08,3475
128,2018-05-09,3474
129,2018-05-10,3657
130,2018-05-11,3759
131,2018-05-12,4187
132,2018-05-13,3940
133,2018-05-14,3527
134,2018-05-15,4016
135,2018-05-16,4105
136,2018-05-17,4080
137,2018-05-18,3961
138,2018-05-19,4439
139,2018-05-20,4026
140,2018-05-21,3337
141,2018-05-22,3503
142,2018-05-23,3685
143,2018-05-24,3853
144,2018-05-25,4164
145,2018-05-26,4873
146,2018-05-27,4678
147,2018-05-28,3608
148,2018-05-29,3778
149,2018-05-30,3808
150,2018-05-31,3672
151,2018-06-01,3832
152,2018-06-02,4457
153,2018-06-03,4321
154,2018-06-04,3706
155,2018-06-05,4192
156,2018-06-06,4419
157,2018-06-07,4258
158,2018-06-08,4224
159,2018-06-09,4884
160,2018-06-10,4503
161,2018-06-11,3687
162,2018-06-12,3755
163,2018-06-13,4082
164,2018-06-14,4118
165,2018-06-15,4539
166,2018-06-16,5070
167,2018-06-17,4793
168,2018-06-18,4805
169,2018-06-19,4104
170,2018-06-20,3967
171,2018-06-21,3936
172,2018-06-22,3915
173,2018-06-23,4611
174,2018-06-24,4422
175,2018-06-25,3881
176,2018-06-26,3773
177,2018-06-27,4014
178,2018-06-28,4343
179,2018-06-29,4388
180,2018-06-30,4719
181,2018-07-01,4812
182,2018-07-02,4314
183,2018-07-03,4585
184,2018-07-04,4273
185,2018-07-05,4111
186,2018-07-06,4155
187,2018-07-07,4743
188,2018-07-08,4876
189,2018-07-09,4334
190,2018-07-10,4252
191,2018-07-11,4691
192,2018-07-12,4774
193,2018-07-13,4674
194,2018-07-14,5120
195,2018-07-15,4670
196,2018-07-16,4175
197,2018-07-17,3893
198,2018-07-18,4136
199,2018-07-19,3869
200,2018-07-20,3860
201,2018-07-21,3903
202,2018-07-22,3851
203,2018-07-23,3562
204,2018-07-24,3829
205,2018-07-25,3744
206,2018-07-26,3528
207,2018-07-27,3584
208,2018-07-28,4019
209,2018-07-29,4124
210,2018-07-30,3717
211,2018-07-31,3897
212,2018-08-01,4046
213,2018-08-02,3970
214,2018-08-03,3840
215,2018-08-04,4015
216,2018-08-05,3879
217,2018-08-06,3496
218,2018-08-07,3631
219,2018-08-08,3817
220,2018-08-09,3890
221,2018-08-10,3878
222,2018-08-11,4511
223,2018-08-12,4595
224,2018-08-13,4067
225,2018-08-14,4086
226,2018-08-15,3870
227,2018-08-16,3833
228,2018-08-17,3640
229,2018-08-18,3697
230,2018-08-19,4025
231,2018-08-20,3790
232,2018-08-21,3806
233,2018-08-22,4162
234,2018-08-23,4242
235,2018-08-24,4291
236,2018-08-25,4918
237,2018-08-26,4394
238,2018-08-27,4090
239,2018-08-28,3856
240,2018-08-29,3799
241,2018-08-30,3983
242,2018-08-31,3957
243,2018-09-01,4321
244,2018-09-02,4080
245,2018-09-03,3593
246,2018-09-04,3843
247,2018-09-05,3805
248,2018-09-06,3812
249,2018-09-07,3602
250,2018-09-08,4033
251,2018-09-09,3874
252,2018-09-10,3213
253,2018-09-11,3528
254,2018-09-12,3350
255,2018-09-13,3385
256,2018-09-14,3402
257,2018-09-15,4099
258,2018-09-16,4133
259,2018-09-17,3166
260,2018-09-18,3394
261,2018-09-19,3484
262,2018-09-20,3557
263,2018-09-21,3619
264,2018-09-22,4194
265,2018-09-23,3948
266,2018-09-24,3866
267,2018-09-25,3587
268,2018-09-26,3452
269,2018-09-27,3556
270,2018-09-28,3389
271,2018-09-29,3548
272,2018-09-30,3714
273,2018-10-01,3760
274,2018-10-02,3593
275,2018-10-03,3424
276,2018-10-04,3515
277,2018-10-05,3486
278,2018-10-06,3563
279,2018-10-07,3406
280,2018-10-08,2953
281,2018-10-09,3240
282,2018-10-10,2980
283,2018-10-11,2938
284,2018-10-12,3235
285,2018-10-13,3989
286,2018-10-14,3847
287,2018-10-15,3285
288,2018-10-16,3248
289,2018-10-17,3465
290,2018-10-18,3354
291,2018-10-19,3374
292,2018-10-20,3952
293,2018-10-21,3974
294,2018-10-22,3451
295,2018-10-23,3684
296,2018-10-24,3872
297,2018-10-25,3969
298,2018-10-26,3843
299,2018-10-27,4146
