元芳你怎么看,Date,DecryptedData
0,2013-01-01,1861
1,2013-01-02,2049
2,2013-01-03,1840
3,2013-01-04,1757
4,2013-01-05,1662
5,2013-01-06,1639
6,2013-01-07,1598
7,2013-01-08,1553
8,2013-01-09,1533
9,2013-01-10,1593
10,2013-01-11,1712
11,2013-01-12,1640
12,2013-01-13,1534
13,2013-01-14,1620
14,2013-01-15,1688
15,2013-01-16,1724
16,2013-01-17,1745
17,2013-01-18,1680
18,2013-01-19,1687
19,2013-01-20,1626
20,2013-01-21,1610
21,2013-01-22,1613
22,2013-01-23,1588
23,2013-01-24,1596
24,2013-01-25,1567
25,2013-01-26,1585
26,2013-01-27,1537
27,2013-01-28,1549
28,2013-01-29,1433
29,2013-01-30,1552
30,2013-01-31,3117
31,2013-02-01,1569
32,2013-02-02,1382
33,2013-02-03,1136
34,2013-02-04,1127
35,2013-02-05,1053
36,2013-02-06,1049
37,2013-02-07,1126
38,2013-02-08,1060
39,2013-02-09,973
40,2013-02-10,964
41,2013-02-11,1081
42,2013-02-12,820
43,2013-02-13,906
44,2013-02-14,817
45,2013-02-15,801
46,2013-02-16,843
47,2013-02-17,809
48,2013-02-18,871
49,2013-02-19,875
50,2013-02-20,843
51,2013-02-21,855
52,2013-02-22,831
53,2013-02-23,880
54,2013-02-24,885
55,2013-02-25,851
56,2013-02-26,862
57,2013-02-27,762
58,2013-02-28,735
59,2013-03-01,794
60,2013-03-02,883
61,2013-03-03,810
62,2013-03-04,857
63,2013-03-05,861
64,2013-03-06,822
65,2013-03-07,796
66,2013-03-08,889
67,2013-03-09,857
68,2013-03-10,773
69,2013-03-11,756
70,2013-03-12,800
71,2013-03-13,812
72,2013-03-14,823
73,2013-03-15,904
74,2013-03-16,837
75,2013-03-17,942
76,2013-03-18,773
77,2013-03-19,808
78,2013-03-20,837
79,2013-03-21,651
80,2013-03-22,777
81,2013-03-23,773
82,2013-03-24,809
83,2013-03-25,691
84,2013-03-26,707
85,2013-03-27,719
86,2013-03-28,710
87,2013-03-29,666
88,2013-03-30,741
89,2013-03-31,777
90,2013-04-01,751
91,2013-04-02,696
92,2013-04-03,736
93,2013-04-04,779
94,2013-04-05,743
95,2013-04-06,724
96,2013-04-07,618
97,2013-04-08,704
98,2013-04-09,663
99,2013-04-10,690
100,2013-04-11,824
101,2013-04-12,714
102,2013-04-13,662
103,2013-04-14,890
104,2013-04-15,741
