共享经济,Date,DecryptedData
0,2018-01-01,1573
1,2018-01-02,2072
2,2018-01-03,2004
3,2018-01-04,1872
4,2018-01-05,1878
5,2018-01-06,1644
6,2018-01-07,1672
7,2018-01-08,2027
8,2018-01-09,1999
9,2018-01-10,2235
10,2018-01-11,2411
11,2018-01-12,1831
12,2018-01-13,1458
13,2018-01-14,1458
14,2018-01-15,1779
15,2018-01-16,1777
16,2018-01-17,2117
17,2018-01-18,1805
18,2018-01-19,1772
19,2018-01-20,1485
20,2018-01-21,1417
21,2018-01-22,1757
22,2018-01-23,1865
23,2018-01-24,1912
24,2018-01-25,2014
25,2018-01-26,2524
26,2018-01-27,1891
27,2018-01-28,1796
28,2018-01-29,2063
29,2018-01-30,1839
30,2018-01-31,1825
31,2018-02-01,1621
32,2018-02-02,1470
33,2018-02-03,1292
34,2018-02-04,1312
35,2018-02-05,1493
36,2018-02-06,1467
37,2018-02-07,1402
38,2018-02-08,1371
39,2018-02-09,1308
40,2018-02-10,1149
41,2018-02-11,1254
42,2018-02-12,1217
43,2018-02-13,1081
44,2018-02-14,942
45,2018-02-15,786
46,2018-02-16,776
47,2018-02-17,1025
48,2018-02-18,1085
49,2018-02-19,1112
50,2018-02-20,1169
51,2018-02-21,1228
52,2018-02-22,1440
53,2018-02-23,1515
54,2018-02-24,1533
55,2018-02-25,1409
56,2018-02-26,1633
57,2018-02-27,1632
58,2018-02-28,1869
59,2018-03-01,1639
60,2018-03-02,1523
61,2018-03-03,1353
62,2018-03-04,1479
63,2018-03-05,2429
64,2018-03-06,2569
65,2018-03-07,2225
66,2018-03-08,2158
67,2018-03-09,2152
68,2018-03-10,1826
69,2018-03-11,1949
70,2018-03-12,2094
71,2018-03-13,2190
72,2018-03-14,2062
73,2018-03-15,2149
74,2018-03-16,1937
75,2018-03-17,1802
76,2018-03-18,2164
77,2018-03-19,2158
78,2018-03-20,2240
79,2018-03-21,2186
80,2018-03-22,2088
81,2018-03-23,1854
82,2018-03-24,1802
83,2018-03-25,2052
84,2018-03-26,2089
85,2018-03-27,1873
86,2018-03-28,2021
87,2018-03-29,2058
88,2018-03-30,1915
89,2018-03-31,1483
90,2018-04-01,1674
91,2018-04-02,2049
92,2018-04-03,1871
93,2018-04-04,1671
94,2018-04-05,1397
95,2018-04-06,1503
96,2018-04-07,1857
97,2018-04-08,2107
98,2018-04-09,2147
99,2018-04-10,2129
100,2018-04-11,2115
101,2018-04-12,2118
102,2018-04-13,2047
103,2018-04-14,1772
104,2018-04-15,1741
105,2018-04-16,1923
106,2018-04-17,1963
107,2018-04-18,1934
108,2018-04-19,1874
109,2018-04-20,1823
110,2018-04-21,1938
111,2018-04-22,1531
112,2018-04-23,1762
113,2018-04-24,1757
114,2018-04-25,1772
115,2018-04-26,1670
116,2018-04-27,1572
117,2018-04-28,1431
118,2018-04-29,1278
119,2018-04-30,1320
120,2018-05-01,1534
121,2018-05-02,1826
122,2018-05-03,1673
123,2018-05-04,1550
124,2018-05-05,1470
125,2018-05-06,1563
126,2018-05-07,1777
127,2018-05-08,1787
128,2018-05-09,1756
129,2018-05-10,1720
130,2018-05-11,1600
131,2018-05-12,1475
132,2018-05-13,1557
133,2018-05-14,1817
134,2018-05-15,1778
135,2018-05-16,1744
136,2018-05-17,1726
137,2018-05-18,1616
138,2018-05-19,1453
139,2018-05-20,1474
140,2018-05-21,1783
141,2018-05-22,1766
142,2018-05-23,1798
143,2018-05-24,1638
144,2018-05-25,1575
145,2018-05-26,1390
146,2018-05-27,1440
147,2018-05-28,1708
148,2018-05-29,1647
149,2018-05-30,1639
150,2018-05-31,1607
151,2018-06-01,1404
152,2018-06-02,1311
153,2018-06-03,1446
154,2018-06-04,1694
155,2018-06-05,1705
156,2018-06-06,2050
157,2018-06-07,1574
158,2018-06-08,1473
159,2018-06-09,1337
160,2018-06-10,1380
161,2018-06-11,1610
162,2018-06-12,1576
163,2018-06-13,1553
164,2018-06-14,1507
165,2018-06-15,1371
166,2018-06-16,1969
167,2018-06-17,1210
168,2018-06-18,1265
169,2018-06-19,1556
170,2018-06-20,1613
171,2018-06-21,1497
172,2018-06-22,1394
173,2018-06-23,1318
174,2018-06-24,1264
175,2018-06-25,1464
176,2018-06-26,1497
177,2018-06-27,1500
178,2018-06-28,1461
179,2018-06-29,1365
180,2018-06-30,1128
181,2018-07-01,1155
182,2018-07-02,1310
183,2018-07-03,1219
184,2018-07-04,1362
185,2018-07-05,1324
186,2018-07-06,1191
187,2018-07-07,911
188,2018-07-08,1039
189,2018-07-09,1336
190,2018-07-10,1280
191,2018-07-11,1254
192,2018-07-12,1233
193,2018-07-13,1036
194,2018-07-14,1075
195,2018-07-15,1115
196,2018-07-16,1351
197,2018-07-17,1341
198,2018-07-18,1367
199,2018-07-19,1403
200,2018-07-20,1454
201,2018-07-21,1093
202,2018-07-22,929
203,2018-07-23,1397
204,2018-07-24,1402
205,2018-07-25,1312
206,2018-07-26,1290
207,2018-07-27,1331
208,2018-07-28,1016
209,2018-07-29,852
210,2018-07-30,1407
211,2018-07-31,1280
212,2018-08-01,1043
213,2018-08-02,1160
214,2018-08-03,1102
215,2018-08-04,884
216,2018-08-05,859
217,2018-08-06,1096
218,2018-08-07,1130
219,2018-08-08,1090
220,2018-08-09,1107
221,2018-08-10,1100
222,2018-08-11,961
223,2018-08-12,961
224,2018-08-13,1071
225,2018-08-14,1133
226,2018-08-15,952
227,2018-08-16,1031
228,2018-08-17,847
229,2018-08-18,842
230,2018-08-19,930
231,2018-08-20,1118
232,2018-08-21,1145
233,2018-08-22,1094
234,2018-08-23,1142
235,2018-08-24,998
236,2018-08-25,1018
237,2018-08-26,1156
238,2018-08-27,1389
239,2018-08-28,1304
240,2018-08-29,1329
241,2018-08-30,1100
242,2018-08-31,1036
243,2018-09-01,820
244,2018-09-02,862
245,2018-09-03,1043
246,2018-09-04,1106
247,2018-09-05,1105
248,2018-09-06,1100
249,2018-09-07,878
250,2018-09-08,837
251,2018-09-09,981
252,2018-09-10,1157
253,2018-09-11,1176
254,2018-09-12,1192
255,2018-09-13,1215
256,2018-09-14,1036
257,2018-09-15,908
258,2018-09-16,993
259,2018-09-17,1255
260,2018-09-18,1261
261,2018-09-19,1173
262,2018-09-20,1162
263,2018-09-21,966
264,2018-09-22,733
265,2018-09-23,787
266,2018-09-24,875
267,2018-09-25,1428
268,2018-09-26,1347
269,2018-09-27,1295
270,2018-09-28,1107
271,2018-09-29,1126
272,2018-09-30,927
273,2018-10-01,850
274,2018-10-02,946
275,2018-10-03,1050
276,2018-10-04,1097
277,2018-10-05,1169
278,2018-10-06,1288
279,2018-10-07,1326
280,2018-10-08,1470
281,2018-10-09,1421
282,2018-10-10,1466
283,2018-10-11,1428
284,2018-10-12,1392
285,2018-10-13,1271
286,2018-10-14,1330
287,2018-10-15,1444
288,2018-10-16,1454
289,2018-10-17,1400
290,2018-10-18,1442
291,2018-10-19,1317
292,2018-10-20,1220
293,2018-10-21,1298
294,2018-10-22,1622
295,2018-10-23,1546
296,2018-10-24,1447
297,2018-10-25,1468
298,2018-10-26,1381
299,2018-10-27,1188
300,2018-10-28,1312
301,2018-10-29,1473
302,2018-10-30,1473
303,2018-10-31,1419
304,2018-11-01,1413
305,2018-11-02,1423
306,2018-11-03,1353
307,2018-11-04,1328
308,2018-11-05,1481
309,2018-11-06,1470
310,2018-11-07,1437
311,2018-11-08,1332
312,2018-11-09,1350
313,2018-11-10,1180
314,2018-11-11,1220
315,2018-11-12,1509
316,2018-11-13,1432
317,2018-11-14,1428
318,2018-11-15,1387
319,2018-11-16,1258
320,2018-11-17,1288
321,2018-11-18,1321
322,2018-11-19,1455
323,2018-11-20,1424
324,2018-11-21,1389
325,2018-11-22,1406
326,2018-11-23,1385
327,2018-11-24,1272
328,2018-11-25,1284
329,2018-11-26,1522
330,2018-11-27,1448
331,2018-11-28,1512
332,2018-11-29,1427
333,2018-11-30,1380
334,2018-12-01,1270
335,2018-12-02,1341
336,2018-12-03,1511
337,2018-12-04,1453
338,2018-12-05,1549
339,2018-12-06,1505
340,2018-12-07,1398
341,2018-12-08,1167
342,2018-12-09,1244
343,2018-12-10,1505
344,2018-12-11,1505
345,2018-12-12,1445
346,2018-12-13,1545
347,2018-12-14,1382
348,2018-12-15,1846
349,2018-12-16,1379
350,2018-12-17,1650
351,2018-12-18,1736
352,2018-12-19,1850
353,2018-12-20,1823
354,2018-12-21,1703
355,2018-12-22,1362
356,2018-12-23,1467
357,2018-12-24,1529
358,2018-12-25,1667
359,2018-12-26,1575
360,2018-12-27,1439
361,2018-12-28,1423
362,2018-12-29,1231
363,2018-12-30,955
364,2018-12-31,950
