凉凉,Date,DecryptedData
0,2018-01-01,34319
1,2018-01-02,24239
2,2018-01-03,21877
3,2018-01-04,20907
4,2018-01-05,22455
5,2018-01-06,25622
6,2018-01-07,25040
7,2018-01-08,21595
8,2018-01-09,20980
9,2018-01-10,20867
10,2018-01-11,21207
11,2018-01-12,22165
12,2018-01-13,25080
13,2018-01-14,23593
14,2018-01-15,20994
15,2018-01-16,21934
16,2018-01-17,22275
17,2018-01-18,22623
18,2018-01-19,23453
19,2018-01-20,26380
20,2018-01-21,24321
21,2018-01-22,21315
22,2018-01-23,21314
23,2018-01-24,21628
24,2018-01-25,22675
25,2018-01-26,23075
26,2018-01-27,24444
27,2018-01-28,24807
28,2018-01-29,21917
29,2018-01-30,21754
30,2018-01-31,21944
31,2018-02-01,22062
32,2018-02-02,22795
33,2018-02-03,24185
34,2018-02-04,23219
35,2018-02-05,21652
36,2018-02-06,21789
37,2018-02-07,21415
38,2018-02-08,23562
39,2018-02-09,25113
40,2018-02-10,23298
41,2018-02-11,23677
42,2018-02-12,23929
43,2018-02-13,30238
44,2018-02-14,31528
45,2018-02-15,24300
46,2018-02-16,23520
47,2018-02-17,23024
48,2018-02-18,21294
49,2018-02-19,20260
50,2018-02-20,20437
51,2018-02-21,19709
52,2018-02-22,19439
53,2018-02-23,18469
54,2018-02-24,19837
55,2018-02-25,18528
56,2018-02-26,17156
57,2018-02-27,18159
58,2018-02-28,18305
59,2018-03-01,18254
60,2018-03-02,19155
61,2018-03-03,18971
62,2018-03-04,17402
63,2018-03-05,14541
64,2018-03-06,15493
65,2018-03-07,16163
66,2018-03-08,16015
67,2018-03-09,18567
68,2018-03-10,20480
69,2018-03-11,19092
70,2018-03-12,15770
71,2018-03-13,16149
72,2018-03-14,16670
73,2018-03-15,16970
74,2018-03-16,18289
75,2018-03-17,22765
76,2018-03-18,20626
77,2018-03-19,16204
78,2018-03-20,16401
79,2018-03-21,16137
80,2018-03-22,15939
81,2018-03-23,16682
82,2018-03-24,22095
83,2018-03-25,23143
84,2018-03-26,17339
85,2018-03-27,17876
86,2018-03-28,18266
87,2018-03-29,18794
88,2018-03-30,19949
89,2018-03-31,21800
90,2018-04-01,20504
91,2018-04-02,17754
92,2018-04-03,18831
93,2018-04-04,20578
94,2018-04-05,24084
95,2018-04-06,22432
96,2018-04-07,18524
97,2018-04-08,16148
98,2018-04-09,15683
99,2018-04-10,15993
100,2018-04-11,16333
101,2018-04-12,16703
102,2018-04-13,18156
103,2018-04-14,19949
104,2018-04-15,18267
105,2018-04-16,15036
106,2018-04-17,15548
107,2018-04-18,15546
108,2018-04-19,15954
109,2018-04-20,17444
110,2018-04-21,21160
111,2018-04-22,19033
112,2018-04-23,15782
113,2018-04-24,15724
114,2018-04-25,15673
115,2018-04-26,16077
116,2018-04-27,16560
117,2018-04-28,18522
118,2018-04-29,21364
119,2018-04-30,20396
120,2018-05-01,18455
121,2018-05-02,13882
122,2018-05-03,13496
123,2018-05-04,14904
124,2018-05-05,18257
125,2018-05-06,17954
126,2018-05-07,14339
127,2018-05-08,14272
128,2018-05-09,14006
129,2018-05-10,15151
130,2018-05-11,15427
131,2018-05-12,17465
132,2018-05-13,16391
133,2018-05-14,13399
134,2018-05-15,14031
135,2018-05-16,14821
136,2018-05-17,14703
137,2018-05-18,15814
138,2018-05-19,18540
139,2018-05-20,18338
140,2018-05-21,13818
141,2018-05-22,13684
142,2018-05-23,13235
143,2018-05-24,13536
144,2018-05-25,14648
145,2018-05-26,16882
146,2018-05-27,15917
147,2018-05-28,12460
148,2018-05-29,13782
149,2018-05-30,13971
150,2018-05-31,14446
151,2018-06-01,14867
152,2018-06-02,15990
153,2018-06-03,15096
154,2018-06-04,12367
155,2018-06-05,13040
156,2018-06-06,13088
157,2018-06-07,13464
158,2018-06-08,13814
159,2018-06-09,15703
160,2018-06-10,14299
161,2018-06-11,11847
162,2018-06-12,11816
163,2018-06-13,12190
164,2018-06-14,12471
165,2018-06-15,12502
166,2018-06-16,13452
167,2018-06-17,12806
168,2018-06-18,17622
169,2018-06-19,12095
170,2018-06-20,11226
171,2018-06-21,10813
172,2018-06-22,13694
173,2018-06-23,13082
174,2018-06-24,12592
175,2018-06-25,11354
176,2018-06-26,10918
177,2018-06-27,11656
178,2018-06-28,15019
179,2018-06-29,13086
180,2018-06-30,16605
181,2018-07-01,17066
182,2018-07-02,15217
183,2018-07-03,14367
184,2018-07-04,14629
185,2018-07-05,14182
186,2018-07-06,14372
187,2018-07-07,14994
188,2018-07-08,13817
189,2018-07-09,13187
190,2018-07-10,12901
191,2018-07-11,13023
192,2018-07-12,12974
193,2018-07-13,13115
194,2018-07-14,13385
195,2018-07-15,12173
196,2018-07-16,11449
197,2018-07-17,10022
198,2018-07-18,9734
199,2018-07-19,9877
200,2018-07-20,10101
201,2018-07-21,10061
202,2018-07-22,10719
203,2018-07-23,11755
204,2018-07-24,12006
205,2018-07-25,12286
206,2018-07-26,12108
207,2018-07-27,12041
208,2018-07-28,12071
209,2018-07-29,11929
210,2018-07-30,11398
211,2018-07-31,11417
212,2018-08-01,11187
213,2018-08-02,11507
214,2018-08-03,11285
215,2018-08-04,11614
216,2018-08-05,11569
217,2018-08-06,11233
218,2018-08-07,11495
219,2018-08-08,11087
220,2018-08-09,11095
221,2018-08-10,11164
222,2018-08-11,11393
223,2018-08-12,11306
224,2018-08-13,10346
225,2018-08-14,10543
226,2018-08-15,10344
227,2018-08-16,9852
228,2018-08-17,12034
229,2018-08-18,10778
230,2018-08-19,10235
231,2018-08-20,9321
232,2018-08-21,9733
233,2018-08-22,9500
234,2018-08-23,9341
235,2018-08-24,9364
236,2018-08-25,9548
237,2018-08-26,8935
238,2018-08-27,8576
239,2018-08-28,8875
240,2018-08-29,8590
241,2018-08-30,7151
242,2018-08-31,7113
243,2018-09-01,6683
244,2018-09-02,5985
245,2018-09-03,5119
246,2018-09-04,5210
247,2018-09-05,5276
248,2018-09-06,5598
249,2018-09-07,5338
250,2018-09-08,6330
251,2018-09-09,5819
252,2018-09-10,5225
253,2018-09-11,5191
254,2018-09-12,5343
255,2018-09-13,5488
256,2018-09-14,5867
257,2018-09-15,6855
258,2018-09-16,6376
259,2018-09-17,5172
260,2018-09-18,5444
261,2018-09-19,4479
262,2018-09-20,4016
263,2018-09-21,4375
264,2018-09-22,5153
265,2018-09-23,6111
266,2018-09-24,6022
267,2018-09-25,3050
268,2018-09-26,2803
269,2018-09-27,3460
270,2018-09-28,5211
271,2018-09-29,5467
272,2018-09-30,6943
273,2018-10-01,8868
274,2018-10-02,8422
275,2018-10-03,8050
276,2018-10-04,7729
277,2018-10-05,7843
278,2018-10-06,7810
279,2018-10-07,7508
280,2018-10-08,6553
281,2018-10-09,6973
282,2018-10-10,7175
283,2018-10-11,7341
284,2018-10-12,7440
285,2018-10-13,8675
286,2018-10-14,8568
287,2018-10-15,6948
288,2018-10-16,7277
289,2018-10-17,7027
290,2018-10-18,6716
291,2018-10-19,7337
292,2018-10-20,9059
293,2018-10-21,8521
294,2018-10-22,6781
295,2018-10-23,7066
296,2018-10-24,7057
297,2018-10-25,6310
298,2018-10-26,5554
299,2018-10-27,8215
300,2018-10-28,7913
301,2018-10-29,4447
302,2018-10-30,4579
303,2018-10-31,4417
304,2018-11-01,4431
305,2018-11-02,5979
306,2018-11-03,8570
307,2018-11-04,8133
308,2018-11-05,6275
309,2018-11-06,4372
310,2018-11-07,5017
311,2018-11-08,4550
312,2018-11-09,5639
313,2018-11-10,8333
314,2018-11-11,6937
315,2018-11-12,3889
316,2018-11-13,4050
317,2018-11-14,4491
318,2018-11-15,5198
319,2018-11-16,6552
320,2018-11-17,8116
321,2018-11-18,7901
322,2018-11-19,4242
323,2018-11-20,4193
324,2018-11-21,4857
325,2018-11-22,4780
326,2018-11-23,5213
327,2018-11-24,7707
328,2018-11-25,7013
329,2018-11-26,4368
330,2018-11-27,4179
331,2018-11-28,3928
332,2018-11-29,4006
333,2018-11-30,4312
334,2018-12-01,7604
335,2018-12-02,7354
336,2018-12-03,3968
337,2018-12-04,3914
338,2018-12-05,4026
339,2018-12-06,5100
340,2018-12-07,5725
341,2018-12-08,7096
342,2018-12-09,6519
343,2018-12-10,4047
344,2018-12-11,3568
345,2018-12-12,3686
346,2018-12-13,4241
347,2018-12-14,4995
348,2018-12-15,7970
349,2018-12-16,7186
350,2018-12-17,3811
351,2018-12-18,4000
352,2018-12-19,4014
353,2018-12-20,5841
354,2018-12-21,5348
355,2018-12-22,7830
356,2018-12-23,7217
357,2018-12-24,4262
358,2018-12-25,3889
359,2018-12-26,4299
360,2018-12-27,4557
361,2018-12-28,5079
362,2018-12-29,6403
363,2018-12-30,7237
364,2018-12-31,7320
