凡尔赛,Date,DecryptedData
0,2020-01-01,469
1,2020-01-02,490
2,2020-01-03,485
3,2020-01-04,514
4,2020-01-05,562
5,2020-01-06,536
6,2020-01-07,546
7,2020-01-08,503
8,2020-01-09,488
9,2020-01-10,467
10,2020-01-11,474
11,2020-01-12,488
12,2020-01-13,500
13,2020-01-14,439
14,2020-01-15,464
15,2020-01-16,489
16,2020-01-17,499
17,2020-01-18,506
18,2020-01-19,536
19,2020-01-20,439
20,2020-01-21,464
21,2020-01-22,447
22,2020-01-23,425
23,2020-01-24,367
24,2020-01-25,388
25,2020-01-26,552
26,2020-01-27,520
27,2020-01-28,574
28,2020-01-29,564
29,2020-01-30,587
30,2020-01-31,562
31,2020-02-01,645
32,2020-02-02,659
33,2020-02-03,632
34,2020-02-04,642
35,2020-02-05,636
36,2020-02-06,644
37,2020-02-07,601
38,2020-02-08,663
39,2020-02-09,701
40,2020-02-10,640
41,2020-02-11,812
42,2020-02-12,759
43,2020-02-13,753
44,2020-02-14,742
45,2020-02-15,701
46,2020-02-16,742
47,2020-02-17,701
48,2020-02-18,741
49,2020-02-19,687
50,2020-02-20,706
51,2020-02-21,796
52,2020-02-22,707
53,2020-02-23,699
54,2020-02-24,673
55,2020-02-25,733
56,2020-02-26,691
57,2020-02-27,730
58,2020-02-28,724
59,2020-02-29,676
60,2020-03-01,732
61,2020-03-02,675
62,2020-03-03,741
63,2020-03-04,775
64,2020-03-05,726
65,2020-03-06,721
66,2020-03-07,740
67,2020-03-08,754
68,2020-03-09,709
69,2020-03-10,785
70,2020-03-11,798
71,2020-03-12,739
72,2020-03-13,711
73,2020-03-14,688
74,2020-03-15,712
75,2020-03-16,681
76,2020-03-17,736
77,2020-03-18,672
78,2020-03-19,746
79,2020-03-20,655
80,2020-03-21,634
81,2020-03-22,679
82,2020-03-23,712
83,2020-03-24,688
84,2020-03-25,674
85,2020-03-26,801
86,2020-03-27,599
87,2020-03-28,589
88,2020-03-29,621
89,2020-03-30,654
90,2020-03-31,632
91,2020-04-01,679
92,2020-04-02,695
93,2020-04-03,634
94,2020-04-04,756
95,2020-04-05,618
96,2020-04-06,571
97,2020-04-07,644
98,2020-04-08,675
99,2020-04-09,691
100,2020-04-10,571
101,2020-04-11,587
102,2020-04-12,570
103,2020-04-13,592
104,2020-04-14,659
105,2020-04-15,662
106,2020-04-16,615
107,2020-04-17,607
108,2020-04-18,568
109,2020-04-19,598
110,2020-04-20,558
111,2020-04-21,612
112,2020-04-22,612
113,2020-04-23,610
114,2020-04-24,542
115,2020-04-25,534
116,2020-04-26,595
117,2020-04-27,561
118,2020-04-28,641
119,2020-04-29,587
120,2020-04-30,754
121,2020-05-01,602
122,2020-05-02,652
123,2020-05-03,641
124,2020-05-04,687
125,2020-05-05,614
126,2020-05-06,650
127,2020-05-07,733
128,2020-05-08,769
129,2020-05-09,947
130,2020-05-10,1123
131,2020-05-11,968
132,2020-05-12,1154
133,2020-05-13,816
134,2020-05-14,849
135,2020-05-15,838
136,2020-05-16,794
137,2020-05-17,770
138,2020-05-18,748
139,2020-05-19,797
140,2020-05-20,744
141,2020-05-21,682
142,2020-05-22,658
143,2020-05-23,676
144,2020-05-24,966
145,2020-05-25,816
146,2020-05-26,705
147,2020-05-27,673
148,2020-05-28,654
149,2020-05-29,671
150,2020-05-30,613
151,2020-05-31,713
152,2020-06-01,725
153,2020-06-02,680
154,2020-06-03,717
155,2020-06-04,653
156,2020-06-05,690
157,2020-06-06,773
158,2020-06-07,773
159,2020-06-08,688
160,2020-06-09,722
161,2020-06-10,769
162,2020-06-11,841
163,2020-06-12,986
164,2020-06-13,890
165,2020-06-14,941
166,2020-06-15,837
167,2020-06-16,747
168,2020-06-17,772
169,2020-06-18,719
170,2020-06-19,652
171,2020-06-20,736
172,2020-06-21,769
173,2020-06-22,638
174,2020-06-23,627
175,2020-06-24,680
176,2020-06-25,774
177,2020-06-26,745
178,2020-06-27,767
179,2020-06-28,845
180,2020-06-29,808
181,2020-06-30,864
182,2020-07-01,867
183,2020-07-02,799
184,2020-07-03,736
185,2020-07-04,728
186,2020-07-05,682
187,2020-07-06,665
188,2020-07-07,766
189,2020-07-08,949
190,2020-07-09,872
191,2020-07-10,806
192,2020-07-11,772
193,2020-07-12,835
194,2020-07-13,805
195,2020-07-14,753
196,2020-07-15,786
197,2020-07-16,736
198,2020-07-17,1055
199,2020-07-18,716
200,2020-07-19,729
201,2020-07-20,704
202,2020-07-21,716
203,2020-07-22,736
204,2020-07-23,678
205,2020-07-24,632
206,2020-07-25,580
207,2020-07-26,634
208,2020-07-27,700
209,2020-07-28,689
210,2020-07-29,717
211,2020-07-30,730
212,2020-07-31,660
213,2020-08-01,583
214,2020-08-02,690
215,2020-08-03,656
216,2020-08-04,796
217,2020-08-05,665
218,2020-08-06,775
219,2020-08-07,750
220,2020-08-08,752
221,2020-08-09,728
222,2020-08-10,807
223,2020-08-11,930
224,2020-08-12,867
225,2020-08-13,806
226,2020-08-14,804
227,2020-08-15,754
228,2020-08-16,811
229,2020-08-17,828
230,2020-08-18,850
231,2020-08-19,858
232,2020-08-20,720
233,2020-08-21,860
234,2020-08-22,790
235,2020-08-23,801
236,2020-08-24,795
237,2020-08-25,785
238,2020-08-26,925
239,2020-08-27,951
240,2020-08-28,836
241,2020-08-29,760
242,2020-08-30,829
243,2020-08-31,867
244,2020-09-01,911
245,2020-09-02,828
246,2020-09-03,876
247,2020-09-04,848
248,2020-09-05,842
249,2020-09-06,821
250,2020-09-07,951
251,2020-09-08,767
252,2020-09-09,911
253,2020-09-10,940
254,2020-09-11,847
255,2020-09-12,900
256,2020-09-13,879
257,2020-09-14,998
258,2020-09-15,886
259,2020-09-16,878
260,2020-09-17,866
261,2020-09-18,867
262,2020-09-19,800
263,2020-09-20,830
264,2020-09-21,754
265,2020-09-22,848
266,2020-09-23,833
267,2020-09-24,991
268,2020-09-25,878
269,2020-09-26,1063
270,2020-09-27,949
271,2020-09-28,848
272,2020-09-29,977
273,2020-09-30,993
274,2020-10-01,930
275,2020-10-02,886
276,2020-10-03,700
277,2020-10-04,823
278,2020-10-05,933
279,2020-10-06,796
280,2020-10-07,1093
281,2020-10-08,1187
282,2020-10-09,1291
283,2020-10-10,1168
284,2020-10-11,1044
285,2020-10-12,1181
286,2020-10-13,1231
287,2020-10-14,1227
288,2020-10-15,1185
289,2020-10-16,1175
290,2020-10-17,1002
291,2020-10-18,1015
292,2020-10-19,1046
293,2020-10-20,1168
294,2020-10-21,1129
295,2020-10-22,1044
296,2020-10-23,1010
297,2020-10-24,1003
298,2020-10-25,935
299,2020-10-26,972
300,2020-10-27,905
301,2020-10-28,1053
302,2020-10-29,1214
303,2020-10-30,1019
304,2020-10-31,1260
305,2020-11-01,895
306,2020-11-02,944
307,2020-11-03,977
308,2020-11-04,1051
309,2020-11-05,895
310,2020-11-06,873
311,2020-11-07,908
312,2020-11-08,1321
313,2020-11-09,17305
314,2020-11-10,21821
315,2020-11-11,23605
316,2020-11-12,49128
317,2020-11-13,35518
318,2020-11-14,28233
319,2020-11-15,24854
320,2020-11-16,23140
321,2020-11-17,21499
322,2020-11-18,29732
323,2020-11-19,29752
