创客,Date,DecryptedData
0,2015-01-01,501
1,2015-01-02,594
2,2015-01-03,633
3,2015-01-04,1048
4,2015-01-05,2101
5,2015-01-06,1597
6,2015-01-07,1580
7,2015-01-08,1412
8,2015-01-09,1050
9,2015-01-10,877
10,2015-01-11,1231
11,2015-01-12,3177
12,2015-01-13,1582
13,2015-01-14,1158
14,2015-01-15,1028
15,2015-01-16,951
16,2015-01-17,802
17,2015-01-18,796
18,2015-01-19,1221
19,2015-01-20,1027
20,2015-01-21,1041
21,2015-01-22,1115
22,2015-01-23,963
23,2015-01-24,628
24,2015-01-25,772
25,2015-01-26,961
26,2015-01-27,829
27,2015-01-28,1169
28,2015-01-29,1436
29,2015-01-30,1282
30,2015-01-31,1471
31,2015-02-01,1026
32,2015-02-02,1034
33,2015-02-03,1035
34,2015-02-04,905
35,2015-02-05,874
36,2015-02-06,864
37,2015-02-07,664
38,2015-02-08,679
39,2015-02-09,894
40,2015-02-10,886
41,2015-02-11,778
42,2015-02-12,723
43,2015-02-13,857
44,2015-02-14,536
45,2015-02-15,598
46,2015-02-16,551
47,2015-02-17,678
48,2015-02-18,440
49,2015-02-19,436
50,2015-02-20,428
51,2015-02-21,447
52,2015-02-22,544
53,2015-02-23,692
54,2015-02-24,591
55,2015-02-25,749
56,2015-02-26,885
57,2015-02-27,951
58,2015-02-28,1056
59,2015-03-01,1683
60,2015-03-02,7375
61,2015-03-03,1860
62,2015-03-04,1471
63,2015-03-05,3551
64,2015-03-06,3655
65,2015-03-07,2817
66,2015-03-08,2139
67,2015-03-09,2504
68,2015-03-10,3173
69,2015-03-11,6151
70,2015-03-12,4520
71,2015-03-13,3209
72,2015-03-14,2648
73,2015-03-15,2773
74,2015-03-16,3435
75,2015-03-17,3415
76,2015-03-18,2575
77,2015-03-19,2499
78,2015-03-20,2252
79,2015-03-21,1829
80,2015-03-22,1853
81,2015-03-23,2362
82,2015-03-24,2395
83,2015-03-25,2220
84,2015-03-26,2216
85,2015-03-27,2123
86,2015-03-28,1795
87,2015-03-29,1838
88,2015-03-30,2460
89,2015-03-31,2321
90,2015-04-01,2277
91,2015-04-02,2134
92,2015-04-03,1939
93,2015-04-04,1653
94,2015-04-05,1590
95,2015-04-06,1737
96,2015-04-07,2171
97,2015-04-08,1997
98,2015-04-09,2103
99,2015-04-10,1931
100,2015-04-11,1777
101,2015-04-12,1795
102,2015-04-13,2005
103,2015-04-14,2099
104,2015-04-15,1945
105,2015-04-16,1974
106,2015-04-17,1911
107,2015-04-18,1838
108,2015-04-19,1821
109,2015-04-20,2004
110,2015-04-21,1977
111,2015-04-22,1983
112,2015-04-23,1989
113,2015-04-24,1920
114,2015-04-25,3368
115,2015-04-26,3022
116,2015-04-27,2757
117,2015-04-28,2223
118,2015-04-29,2009
119,2015-04-30,1868
120,2015-05-01,1582
121,2015-05-02,4059
122,2015-05-03,4128
123,2015-05-04,3574
124,2015-05-05,4947
125,2015-05-06,3785
126,2015-05-07,3475
127,2015-05-08,3213
128,2015-05-09,2268
129,2015-05-10,2565
130,2015-05-11,2964
131,2015-05-12,2792
132,2015-05-13,2474
133,2015-05-14,2721
134,2015-05-15,2488
135,2015-05-16,2019
136,2015-05-17,2050
137,2015-05-18,2605
138,2015-05-19,2575
139,2015-05-20,2441
140,2015-05-21,2355
141,2015-05-22,2181
142,2015-05-23,1990
