吃土,Date,DecryptedData
0,2015-01-01,122
1,2015-01-02,129
2,2015-01-03,131
3,2015-01-04,131
4,2015-01-05,142
5,2015-01-06,140
6,2015-01-07,127
7,2015-01-08,136
8,2015-01-09,122
9,2015-01-10,66
10,2015-01-11,78
11,2015-01-12,78
12,2015-01-13,92
13,2015-01-14,141
14,2015-01-15,66
15,2015-01-16,124
16,2015-01-17,99
17,2015-01-18,60
18,2015-01-19,135
19,2015-01-20,65
20,2015-01-21,74
21,2015-01-22,135
22,2015-01-23,135
23,2015-01-24,138
24,2015-01-25,138
25,2015-01-26,140
26,2015-01-27,131
27,2015-01-28,61
28,2015-01-29,82
29,2015-01-30,66
30,2015-01-31,134
31,2015-02-01,69
32,2015-02-02,130
33,2015-02-03,66
34,2015-02-04,148
35,2015-02-05,136
36,2015-02-06,66
37,2015-02-07,82
38,2015-02-08,133
39,2015-02-09,148
40,2015-02-10,74
41,2015-02-11,127
42,2015-02-12,148
43,2015-02-13,147
44,2015-02-14,79
45,2015-02-15,143
46,2015-02-16,66
47,2015-02-17,69
48,2015-02-18,73
49,2015-02-19,73
50,2015-02-20,73
51,2015-02-21,142
52,2015-02-22,130
53,2015-02-23,91
54,2015-02-24,65
55,2015-02-25,129
56,2015-02-26,70
57,2015-02-27,146
58,2015-02-28,66
59,2015-03-01,70
60,2015-03-02,142
61,2015-03-03,141
62,2015-03-04,150
63,2015-03-05,136
64,2015-03-06,70
65,2015-03-07,145
66,2015-03-08,142
67,2015-03-09,142
68,2015-03-10,74
69,2015-03-11,82
70,2015-03-12,87
71,2015-03-13,79
72,2015-03-14,144
73,2015-03-15,152
74,2015-03-16,187
75,2015-03-17,83
76,2015-03-18,61
77,2015-03-19,136
78,2015-03-20,69
79,2015-03-21,129
80,2015-03-22,132
81,2015-03-23,142
82,2015-03-24,133
83,2015-03-25,69
84,2015-03-26,129
85,2015-03-27,134
86,2015-03-28,87
87,2015-03-29,135
88,2015-03-30,74
89,2015-03-31,131
90,2015-04-01,147
91,2015-04-02,66
92,2015-04-03,134
93,2015-04-04,135
94,2015-04-05,69
95,2015-04-06,142
96,2015-04-07,142
97,2015-04-08,134
98,2015-04-09,65
99,2015-04-10,136
100,2015-04-11,73
101,2015-04-12,74
102,2015-04-13,70
103,2015-04-14,138
104,2015-04-15,147
105,2015-04-16,159
106,2015-04-17,146
107,2015-04-18,73
108,2015-04-19,144
109,2015-04-20,147
110,2015-04-21,126
111,2015-04-22,153
112,2015-04-23,130
113,2015-04-24,139
114,2015-04-25,121
115,2015-04-26,151
116,2015-04-27,74
117,2015-04-28,69
118,2015-04-29,134
119,2015-04-30,138
120,2015-05-01,79
121,2015-05-02,140
122,2015-05-03,74
123,2015-05-04,132
124,2015-05-05,140
125,2015-05-06,143
126,2015-05-07,155
127,2015-05-08,129
128,2015-05-09,70
129,2015-05-10,191
130,2015-05-11,202
131,2015-05-12,218
132,2015-05-13,187
133,2015-05-14,144
134,2015-05-15,144
135,2015-05-16,172
136,2015-05-17,175
137,2015-05-18,155
138,2015-05-19,73
139,2015-05-20,147
140,2015-05-21,163
141,2015-05-22,142
142,2015-05-23,158
143,2015-05-24,160
144,2015-05-25,82
145,2015-05-26,158
146,2015-05-27,133
147,2015-05-28,161
148,2015-05-29,241
149,2015-05-30,227
150,2015-05-31,187
151,2015-06-01,188
152,2015-06-02,140
153,2015-06-03,73
154,2015-06-04,140
155,2015-06-05,155
156,2015-06-06,140
157,2015-06-07,144
158,2015-06-08,157
159,2015-06-09,172
160,2015-06-10,161
161,2015-06-11,168
162,2015-06-12,169
163,2015-06-13,153
164,2015-06-14,164
165,2015-06-15,166
166,2015-06-16,150
167,2015-06-17,153
168,2015-06-18,135
169,2015-06-19,148
170,2015-06-20,179
171,2015-06-21,165
172,2015-06-22,161
173,2015-06-23,148
174,2015-06-24,165
175,2015-06-25,158
176,2015-06-26,157
177,2015-06-27,168
178,2015-06-28,174
179,2015-06-29,157
180,2015-06-30,200
181,2015-07-01,190
182,2015-07-02,168
183,2015-07-03,183
184,2015-07-04,177
185,2015-07-05,175
186,2015-07-06,183
187,2015-07-07,171
188,2015-07-08,208
189,2015-07-09,160
190,2015-07-10,185
191,2015-07-11,178
192,2015-07-12,195
193,2015-07-13,198
194,2015-07-14,175
195,2015-07-15,210
196,2015-07-16,199
197,2015-07-17,207
198,2015-07-18,195
199,2015-07-19,216
200,2015-07-20,194
201,2015-07-21,213
202,2015-07-22,236
203,2015-07-23,223
204,2015-07-24,272
205,2015-07-25,231
206,2015-07-26,413
207,2015-07-27,279
208,2015-07-28,237
209,2015-07-29,223
210,2015-07-30,238
211,2015-07-31,243
212,2015-08-01,220
213,2015-08-02,250
214,2015-08-03,228
215,2015-08-04,248
216,2015-08-05,237
217,2015-08-06,253
218,2015-08-07,243
219,2015-08-08,237
220,2015-08-09,274
221,2015-08-10,243
222,2015-08-11,276
223,2015-08-12,297
224,2015-08-13,216
225,2015-08-14,317
226,2015-08-15,570
227,2015-08-16,436
228,2015-08-17,449
229,2015-08-18,537
230,2015-08-19,411
231,2015-08-20,326
232,2015-08-21,374
233,2015-08-22,362
234,2015-08-23,415
235,2015-08-24,380
236,2015-08-25,401
237,2015-08-26,377
238,2015-08-27,443
239,2015-08-28,469
240,2015-08-29,407
241,2015-08-30,372
242,2015-08-31,393
243,2015-09-01,399
244,2015-09-02,375
