吃鸡,Date,DecryptedData
0,2017-01-01,258
1,2017-01-02,261
2,2017-01-03,237
3,2017-01-04,266
4,2017-01-05,266
5,2017-01-06,271
6,2017-01-07,256
7,2017-01-08,252
8,2017-01-09,217
9,2017-01-10,248
10,2017-01-11,267
11,2017-01-12,286
12,2017-01-13,257
13,2017-01-14,250
14,2017-01-15,233
15,2017-01-16,294
16,2017-01-17,258
17,2017-01-18,258
18,2017-01-19,305
19,2017-01-20,239
20,2017-01-21,263
21,2017-01-22,291
22,2017-01-23,260
23,2017-01-24,281
24,2017-01-25,573
25,2017-01-26,408
26,2017-01-27,354
27,2017-01-28,361
28,2017-01-29,367
29,2017-01-30,291
30,2017-01-31,273
31,2017-02-01,264
32,2017-02-02,273
33,2017-02-03,275
34,2017-02-04,288
35,2017-02-05,243
36,2017-02-06,295
37,2017-02-07,283
38,2017-02-08,262
39,2017-02-09,264
40,2017-02-10,261
41,2017-02-11,260
42,2017-02-12,225
43,2017-02-13,230
44,2017-02-14,215
45,2017-02-15,264
46,2017-02-16,250
47,2017-02-17,269
48,2017-02-18,242
49,2017-02-19,251
50,2017-02-20,215
51,2017-02-21,240
52,2017-02-22,263
53,2017-02-23,275
54,2017-02-24,255
55,2017-02-25,249
56,2017-02-26,257
57,2017-02-27,216
58,2017-02-28,215
59,2017-03-01,246
60,2017-03-02,216
61,2017-03-03,204
62,2017-03-04,236
63,2017-03-05,255
64,2017-03-06,194
65,2017-03-07,239
66,2017-03-08,235
67,2017-03-09,212
68,2017-03-10,236
69,2017-03-11,249
70,2017-03-12,252
71,2017-03-13,210
72,2017-03-14,222
73,2017-03-15,220
74,2017-03-16,222
75,2017-03-17,198
76,2017-03-18,238
77,2017-03-19,234
78,2017-03-20,225
79,2017-03-21,251
80,2017-03-22,217
81,2017-03-23,277
82,2017-03-24,276
83,2017-03-25,295
84,2017-03-26,275
85,2017-03-27,271
86,2017-03-28,239
87,2017-03-29,322
88,2017-03-30,288
89,2017-03-31,281
90,2017-04-01,278
91,2017-04-02,281
92,2017-04-03,280
93,2017-04-04,325
94,2017-04-05,325
95,2017-04-06,309
96,2017-04-07,328
97,2017-04-08,468
98,2017-04-09,598
99,2017-04-10,617
100,2017-04-11,561
101,2017-04-12,647
102,2017-04-13,475
103,2017-04-14,528
104,2017-04-15,550
105,2017-04-16,535
106,2017-04-17,549
107,2017-04-18,568
108,2017-04-19,704
109,2017-04-20,671
110,2017-04-21,858
111,2017-04-22,857
112,2017-04-23,986
113,2017-04-24,845
114,2017-04-25,733
115,2017-04-26,698
116,2017-04-27,657
117,2017-04-28,617
118,2017-04-29,590
119,2017-04-30,618
120,2017-05-01,744
121,2017-05-02,898
122,2017-05-03,935
123,2017-05-04,932
124,2017-05-05,1044
125,2017-05-06,930
126,2017-05-07,1058
127,2017-05-08,935
128,2017-05-09,1193
129,2017-05-10,1156
130,2017-05-11,1077
131,2017-05-12,1114
132,2017-05-13,1020
133,2017-05-14,1155
134,2017-05-15,1216
135,2017-05-16,1396
136,2017-05-17,1285
137,2017-05-18,1217
138,2017-05-19,1120
139,2017-05-20,988
140,2017-05-21,1280
141,2017-05-22,1181
142,2017-05-23,1217
143,2017-05-24,1089
144,2017-05-25,972
145,2017-05-26,984
146,2017-05-27,959
147,2017-05-28,1131
148,2017-05-29,1512
149,2017-05-30,1573
150,2017-05-31,1321
151,2017-06-01,1076
152,2017-06-02,1153
153,2017-06-03,1339
154,2017-06-04,1534
155,2017-06-05,1631
156,2017-06-06,1219
157,2017-06-07,1455
158,2017-06-08,1567
159,2017-06-09,1587
160,2017-06-10,1748
161,2017-06-11,1707
162,2017-06-12,1816
163,2017-06-13,1771
164,2017-06-14,1845
165,2017-06-15,1814
166,2017-06-16,1818
167,2017-06-17,1936
168,2017-06-18,2049
169,2017-06-19,2065
170,2017-06-20,1995
171,2017-06-21,2051
172,2017-06-22,2177
173,2017-06-23,2878
174,2017-06-24,2660
175,2017-06-25,2552
176,2017-06-26,2556
177,2017-06-27,2277
178,2017-06-28,2500
179,2017-06-29,2394
180,2017-06-30,2326
181,2017-07-01,3044
182,2017-07-02,3333
183,2017-07-03,3552
184,2017-07-04,3845
185,2017-07-05,3899
186,2017-07-06,3467
187,2017-07-07,3261
188,2017-07-08,3137
189,2017-07-09,3477
190,2017-07-10,3814
191,2017-07-11,4298
192,2017-07-12,4497
193,2017-07-13,4408
194,2017-07-14,5483
195,2017-07-15,6236
196,2017-07-16,6436
197,2017-07-17,6631
198,2017-07-18,6465
199,2017-07-19,6654
200,2017-07-20,6916
201,2017-07-21,7385
202,2017-07-22,6747
203,2017-07-23,6422
204,2017-07-24,7613
205,2017-07-25,7876
206,2017-07-26,7855
207,2017-07-27,7808
208,2017-07-28,7413
209,2017-07-29,7527
210,2017-07-30,7677
211,2017-07-31,8685
212,2017-08-01,8691
213,2017-08-02,8272
214,2017-08-03,8265
215,2017-08-04,7514
216,2017-08-05,8095
217,2017-08-06,8997
218,2017-08-07,9860
219,2017-08-08,9346
220,2017-08-09,9812
221,2017-08-10,10111
222,2017-08-11,9919
223,2017-08-12,10541
224,2017-08-13,10837
225,2017-08-14,12072
226,2017-08-15,12583
227,2017-08-16,12776
228,2017-08-17,13678
229,2017-08-18,13736
230,2017-08-19,13721
231,2017-08-20,15014
232,2017-08-21,17114
233,2017-08-22,17949
234,2017-08-23,18715
235,2017-08-24,18989
236,2017-08-25,17581
237,2017-08-26,16715
238,2017-08-27,18182
239,2017-08-28,17892
240,2017-08-29,20053
241,2017-08-30,21119
242,2017-08-31,21853
243,2017-09-01,18590
244,2017-09-02,20231
245,2017-09-03,20495
246,2017-09-04,21273
247,2017-09-05,21376
248,2017-09-06,21102
249,2017-09-07,20945
250,2017-09-08,21415
251,2017-09-09,24642
252,2017-09-10,23891
253,2017-09-11,22257
254,2017-09-12,23013
255,2017-09-13,20746
256,2017-09-14,34232
257,2017-09-15,32871
258,2017-09-16,34224
259,2017-09-17,32119
260,2017-09-18,32860
261,2017-09-19,32697
262,2017-09-20,33461
263,2017-09-21,34627
264,2017-09-22,37381
265,2017-09-23,44736
266,2017-09-24,43360
267,2017-09-25,37217
268,2017-09-26,36825
269,2017-09-27,35447
270,2017-09-28,37220
271,2017-09-29,36938
272,2017-09-30,48198
273,2017-10-01,55614
274,2017-10-02,55685
275,2017-10-03,53714
276,2017-10-04,50550
277,2017-10-05,48188
278,2017-10-06,50775
279,2017-10-07,51513
280,2017-10-08,50481
281,2017-10-09,50547
282,2017-10-10,48101
283,2017-10-11,46361
284,2017-10-12,44247
285,2017-10-13,46046
286,2017-10-14,50431
287,2017-10-15,45946
288,2017-10-16,43524
289,2017-10-17,44601
290,2017-10-18,38261
291,2017-10-19,38444
292,2017-10-20,43009
293,2017-10-21,51814
294,2017-10-22,46159
295,2017-10-23,35965
296,2017-10-24,34731
297,2017-10-25,33766
298,2017-10-26,35743
299,2017-10-27,38612
300,2017-10-28,54020
301,2017-10-29,42306
302,2017-10-30,36430
303,2017-10-31,35330
304,2017-11-01,34475
305,2017-11-02,34646
306,2017-11-03,38601
307,2017-11-04,49186
308,2017-11-05,52443
309,2017-11-06,49542
310,2017-11-07,53683
311,2017-11-08,61712
312,2017-11-09,52593
313,2017-11-10,61991
314,2017-11-11,62067
315,2017-11-12,56497
316,2017-11-13,53371
317,2017-11-14,51354
318,2017-11-15,52347
319,2017-11-16,51701
320,2017-11-17,56501
321,2017-11-18,66945
322,2017-11-19,59381
323,2017-11-20,45306
324,2017-11-21,43425
325,2017-11-22,53696
326,2017-11-23,50972
327,2017-11-24,51890
328,2017-11-25,62949
329,2017-11-26,51596
330,2017-11-27,42268
331,2017-11-28,43538
332,2017-11-29,45088
333,2017-11-30,46154
334,2017-12-01,54042
335,2017-12-02,68000
336,2017-12-03,57986
337,2017-12-04,43910
338,2017-12-05,43228
339,2017-12-06,42725
340,2017-12-07,40187
341,2017-12-08,45543
342,2017-12-09,58282
343,2017-12-10,48554
344,2017-12-11,34565
345,2017-12-12,34302
346,2017-12-13,36420
347,2017-12-14,34357
348,2017-12-15,40280
349,2017-12-16,48733
350,2017-12-17,38613
351,2017-12-18,31144
352,2017-12-19,32072
353,2017-12-20,34425
354,2017-12-21,39681
355,2017-12-22,39778
356,2017-12-23,44585
357,2017-12-24,38504
358,2017-12-25,29687
359,2017-12-26,29974
360,2017-12-27,30262
361,2017-12-28,32796
362,2017-12-29,38389
363,2017-12-30,47755
364,2017-12-31,44298
