吊炸天,Date,DecryptedData
0,2013-01-01,133
1,2013-01-02,128
2,2013-01-03,144
3,2013-01-04,135
4,2013-01-05,148
5,2013-01-06,136
6,2013-01-07,133
7,2013-01-08,166
8,2013-01-09,144
9,2013-01-10,135
10,2013-01-11,124
11,2013-01-12,141
12,2013-01-13,129
13,2013-01-14,136
14,2013-01-15,148
15,2013-01-16,122
16,2013-01-17,139
17,2013-01-18,141
18,2013-01-19,156
19,2013-01-20,150
20,2013-01-21,152
21,2013-01-22,146
22,2013-01-23,164
23,2013-01-24,179
24,2013-01-25,139
25,2013-01-26,147
26,2013-01-27,158
27,2013-01-28,158
28,2013-01-29,169
29,2013-01-30,182
30,2013-01-31,177
31,2013-02-01,173
32,2013-02-02,195
33,2013-02-03,215
34,2013-02-04,183
35,2013-02-05,179
36,2013-02-06,227
37,2013-02-07,184
38,2013-02-08,190
39,2013-02-09,193
40,2013-02-10,182
41,2013-02-11,163
42,2013-02-12,186
43,2013-02-13,190
44,2013-02-14,199
45,2013-02-15,202
46,2013-02-16,239
47,2013-02-17,244
48,2013-02-18,248
49,2013-02-19,232
50,2013-02-20,250
51,2013-02-21,235
52,2013-02-22,285
53,2013-02-23,251
54,2013-02-24,227
55,2013-02-25,255
56,2013-02-26,266
57,2013-02-27,275
58,2013-02-28,261
59,2013-03-01,276
60,2013-03-02,261
61,2013-03-03,281
62,2013-03-04,326
63,2013-03-05,292
64,2013-03-06,307
65,2013-03-07,324
66,2013-03-08,299
67,2013-03-09,309
68,2013-03-10,311
69,2013-03-11,313
70,2013-03-12,355
71,2013-03-13,326
72,2013-03-14,316
73,2013-03-15,337
74,2013-03-16,295
75,2013-03-17,323
76,2013-03-18,315
77,2013-03-19,341
78,2013-03-20,351
79,2013-03-21,322
80,2013-03-22,337
81,2013-03-23,315
82,2013-03-24,310
83,2013-03-25,317
84,2013-03-26,352
85,2013-03-27,349
86,2013-03-28,335
87,2013-03-29,358
88,2013-03-30,360
89,2013-03-31,370
90,2013-04-01,347
91,2013-04-02,333
92,2013-04-03,371
93,2013-04-04,376
94,2013-04-05,415
95,2013-04-06,424
96,2013-04-07,409
97,2013-04-08,416
98,2013-04-09,345
99,2013-04-10,371
100,2013-04-11,404
101,2013-04-12,381
102,2013-04-13,427
103,2013-04-14,366
104,2013-04-15,435
105,2013-04-16,444
106,2013-04-17,407
107,2013-04-18,419
108,2013-04-19,409
109,2013-04-20,369
110,2013-04-21,397
111,2013-04-22,396
112,2013-04-23,379
113,2013-04-24,354
114,2013-04-25,385
115,2013-04-26,335
116,2013-04-27,341
117,2013-04-28,367
118,2013-04-29,385
119,2013-04-30,389
120,2013-05-01,406
121,2013-05-02,357
122,2013-05-03,467
123,2013-05-04,386
124,2013-05-05,440
125,2013-05-06,376
126,2013-05-07,399
127,2013-05-08,387
128,2013-05-09,347
129,2013-05-10,381
130,2013-05-11,323
131,2013-05-12,329
132,2013-05-13,359
133,2013-05-14,359
134,2013-05-15,355
135,2013-05-16,352
136,2013-05-17,377
137,2013-05-18,340
138,2013-05-19,426
139,2013-05-20,383
140,2013-05-21,363
141,2013-05-22,398
142,2013-05-23,401
143,2013-05-24,364
144,2013-05-25,349
145,2013-05-26,379
146,2013-05-27,358
147,2013-05-28,346
148,2013-05-29,391
149,2013-05-30,350
150,2013-05-31,352
151,2013-06-01,309
152,2013-06-02,330
153,2013-06-03,383
154,2013-06-04,347
155,2013-06-05,353
156,2013-06-06,362
157,2013-06-07,415
158,2013-06-08,373
159,2013-06-09,344
160,2013-06-10,336
161,2013-06-11,303
162,2013-06-12,326
163,2013-06-13,322
164,2013-06-14,320
165,2013-06-15,315
166,2013-06-16,344
167,2013-06-17,333
168,2013-06-18,341
169,2013-06-19,363
170,2013-06-20,341
171,2013-06-21,383
172,2013-06-22,364
173,2013-06-23,367
174,2013-06-24,384
175,2013-06-25,356
176,2013-06-26,386
177,2013-06-27,391
178,2013-06-28,370
179,2013-06-29,302
180,2013-06-30,339
181,2013-07-01,374
182,2013-07-02,369
183,2013-07-03,318
