听我说谢谢你,Date,DecryptedData
0,2022-01-01,5144
1,2022-01-02,14341
2,2022-01-03,3950
3,2022-01-04,19705
4,2022-01-05,3183
5,2022-01-06,3288
6,2022-01-07,2103
7,2022-01-08,9327
8,2022-01-09,13906
9,2022-01-10,26391
10,2022-01-11,7303
11,2022-01-12,26713
12,2022-01-13,2846
13,2022-01-14,43232
14,2022-01-15,2273
15,2022-01-16,2304
16,2022-01-17,2484
17,2022-01-18,2561
18,2022-01-19,37439
19,2022-01-20,15482
20,2022-01-21,40366
21,2022-01-22,16202
22,2022-01-23,7907
23,2022-01-24,5428
24,2022-01-25,8737
25,2022-01-26,27209
26,2022-01-27,8684
27,2022-01-28,25338
28,2022-01-29,8595
29,2022-01-30,27828
30,2022-01-31,43415
31,2022-02-01,35707
32,2022-02-02,35225
33,2022-02-03,32909
34,2022-02-04,11112
35,2022-02-05,37519
36,2022-02-06,10112
37,2022-02-07,29645
38,2022-02-08,22710
39,2022-02-09,22268
40,2022-02-10,29898
41,2022-02-11,1637
42,2022-02-12,1866
43,2022-02-13,41603
44,2022-02-14,36106
45,2022-02-15,6144
46,2022-02-16,6299
47,2022-02-17,1875
48,2022-02-18,22105
49,2022-02-19,43686
50,2022-02-20,41675
51,2022-02-21,5841
52,2022-02-22,3402
53,2022-02-23,19295
54,2022-02-24,3211
55,2022-02-25,1501
56,2022-02-26,1790
57,2022-02-27,1666
58,2022-02-28,1448
59,2022-03-01,1456
60,2022-03-02,1612
61,2022-03-03,1645
62,2022-03-04,2156
63,2022-03-05,2663
64,2022-03-06,11205
65,2022-03-07,10228
66,2022-03-08,11738
67,2022-03-09,8578
68,2022-03-10,2045
69,2022-03-11,2189
70,2022-03-12,3439
71,2022-03-13,2126
72,2022-03-14,1771
73,2022-03-15,1641
74,2022-03-16,1834
75,2022-03-17,1920
76,2022-03-18,2031
77,2022-03-19,2153
78,2022-03-20,6255
79,2022-03-21,2071
80,2022-03-22,2122
81,2022-03-23,2480
82,2022-03-24,2088
83,2022-03-25,2390
84,2022-03-26,2950
85,2022-03-27,13386
86,2022-03-28,4320
87,2022-03-29,13747
88,2022-03-30,20817
89,2022-03-31,8250
90,2022-04-01,50039
91,2022-04-02,64235
92,2022-04-03,29585
93,2022-04-04,16346
94,2022-04-05,38561
95,2022-04-06,29105
96,2022-04-07,18465
97,2022-04-08,24450
98,2022-04-09,49320
99,2022-04-10,22253
100,2022-04-11,6785
101,2022-04-12,13202
102,2022-04-13,15375
103,2022-04-14,12701
104,2022-04-15,55289
105,2022-04-16,76405
106,2022-04-17,46188
107,2022-04-18,63339
108,2022-04-19,70984
109,2022-04-20,33078
110,2022-04-21,12835
111,2022-04-22,12344
112,2022-04-23,26117
113,2022-04-24,67549
114,2022-04-25,63199
115,2022-04-26,63309
116,2022-04-27,64755
117,2022-04-28,52159
118,2022-04-29,53111
119,2022-04-30,61075
120,2022-05-01,55914
121,2022-05-02,44537
122,2022-05-03,37687
123,2022-05-04,30828
124,2022-05-05,52925
125,2022-05-06,53317
126,2022-05-07,72548
127,2022-05-08,108733
128,2022-05-09,42112
129,2022-05-10,12054
130,2022-05-11,11326
131,2022-05-12,5994
132,2022-05-13,13839
133,2022-05-14,20198
134,2022-05-15,54248
135,2022-05-16,57198
136,2022-05-17,47765
137,2022-05-18,55743
138,2022-05-19,45656
139,2022-05-20,46736
140,2022-05-21,69170
141,2022-05-22,71384
142,2022-05-23,48936
143,2022-05-24,45916
144,2022-05-25,52499
145,2022-05-26,52448
146,2022-05-27,52483
147,2022-05-28,69933
148,2022-05-29,58457
149,2022-05-30,57154
150,2022-05-31,57263
151,2022-06-01,56364
152,2022-06-02,50674
153,2022-06-03,65851
154,2022-06-04,59278
155,2022-06-05,67480
156,2022-06-06,49647
157,2022-06-07,46473
158,2022-06-08,45817
159,2022-06-09,47378
160,2022-06-10,27579
161,2022-06-11,3896
162,2022-06-12,14605
163,2022-06-13,21320
164,2022-06-14,4120
165,2022-06-15,3649
166,2022-06-16,23630
167,2022-06-17,11001
168,2022-06-18,17277
169,2022-06-19,38253
170,2022-06-20,9276
171,2022-06-21,7881
172,2022-06-22,14985
173,2022-06-23,3756
174,2022-06-24,3675
175,2022-06-25,3602
176,2022-06-26,3530
177,2022-06-27,4709
178,2022-06-28,33798
179,2022-06-29,48082
180,2022-06-30,37210
181,2022-07-01,25005
182,2022-07-02,51906
183,2022-07-03,58031
184,2022-07-04,37736
185,2022-07-05,53344
186,2022-07-06,50229
187,2022-07-07,52850
188,2022-07-08,55057
189,2022-07-09,46814
190,2022-07-10,56387
191,2022-07-11,55123
192,2022-07-12,39552
193,2022-07-13,43823
194,2022-07-14,47403
195,2022-07-15,49078
196,2022-07-16,49445
197,2022-07-17,48369
198,2022-07-18,11846
199,2022-07-19,3877
200,2022-07-20,46780
201,2022-07-21,49586
202,2022-07-22,37367
203,2022-07-23,45885
204,2022-07-24,51463
205,2022-07-25,50092
206,2022-07-26,47640
207,2022-07-27,37861
208,2022-07-28,2714
209,2022-07-29,2646
210,2022-07-30,2685
211,2022-07-31,2756
212,2022-08-01,2557
213,2022-08-02,2620
214,2022-08-03,3721
215,2022-08-04,2993
216,2022-08-05,5971
217,2022-08-06,2575
218,2022-08-07,2509
219,2022-08-08,2520
220,2022-08-09,2566
221,2022-08-10,2417
222,2022-08-11,2428
223,2022-08-12,2029
224,2022-08-13,1992
225,2022-08-14,1938
226,2022-08-15,1989
227,2022-08-16,2206
228,2022-08-17,2261
229,2022-08-18,2272
230,2022-08-19,2420
231,2022-08-20,2290
232,2022-08-21,2092
233,2022-08-22,2320
234,2022-08-23,2115
235,2022-08-24,2406
236,2022-08-25,2692
237,2022-08-26,2622
238,2022-08-27,2458
239,2022-08-28,2298
240,2022-08-29,2394
241,2022-08-30,2403
242,2022-08-31,2191
243,2022-09-01,2191
244,2022-09-02,2373
245,2022-09-03,3153
246,2022-09-04,3490
247,2022-09-05,3411
248,2022-09-06,3806
249,2022-09-07,4320
250,2022-09-08,4944
251,2022-09-09,4986
252,2022-09-10,5438
253,2022-09-11,3616
254,2022-09-12,3366
255,2022-09-13,2851
256,2022-09-14,2858
257,2022-09-15,2843
258,2022-09-16,2822
259,2022-09-17,3317
260,2022-09-18,3218
261,2022-09-19,2702
262,2022-09-20,2744
263,2022-09-21,2679
264,2022-09-22,2799
265,2022-09-23,2700
266,2022-09-24,2944
267,2022-09-25,3157
268,2022-09-26,2695
269,2022-09-27,2816
270,2022-09-28,2902
271,2022-09-29,2852
272,2022-09-30,2985
273,2022-10-01,3456
274,2022-10-02,3534
275,2022-10-03,3570
276,2022-10-04,3573
277,2022-10-05,3279
278,2022-10-06,3128
279,2022-10-07,2714
280,2022-10-08,2351
281,2022-10-09,2524
282,2022-10-10,2382
283,2022-10-11,2396
284,2022-10-12,2346
285,2022-10-13,2569
286,2022-10-14,2688
287,2022-10-15,2972
288,2022-10-16,2918
289,2022-10-17,2727
290,2022-10-18,2657
291,2022-10-19,2558
292,2022-10-20,2650
293,2022-10-21,2817
294,2022-10-22,2949
295,2022-10-23,3000
296,2022-10-24,2566
297,2022-10-25,2645
298,2022-10-26,5496
299,2022-10-27,11910
300,2022-10-28,12024
301,2022-10-29,12075
302,2022-10-30,11061
303,2022-10-31,10249
304,2022-11-01,11183
305,2022-11-02,10768
306,2022-11-03,9917
307,2022-11-04,11162
308,2022-11-05,11575
309,2022-11-06,11922
310,2022-11-07,11392
311,2022-11-08,10992
312,2022-11-09,11054
313,2022-11-10,12316
314,2022-11-11,11371
315,2022-11-12,12183
316,2022-11-13,11776
317,2022-11-14,10932
318,2022-11-15,10667
319,2022-11-16,10944
320,2022-11-17,10262
321,2022-11-18,9823
322,2022-11-19,11230
323,2022-11-20,7348
324,2022-11-21,9151
325,2022-11-22,10935
326,2022-11-23,10983
327,2022-11-24,11053
328,2022-11-25,10764
329,2022-11-26,11061
330,2022-11-27,11065
331,2022-11-28,10706
332,2022-11-29,10762
333,2022-11-30,9726
334,2022-12-01,11089
335,2022-12-02,9759
336,2022-12-03,11627
337,2022-12-04,11081
338,2022-12-05,8664
339,2022-12-06,10696
340,2022-12-07,10332
341,2022-12-08,8938
342,2022-12-09,3709
343,2022-12-10,3237
344,2022-12-11,2033
345,2022-12-12,1658
346,2022-12-13,1780
347,2022-12-14,2320
348,2022-12-15,1665
349,2022-12-16,1754
350,2022-12-17,1854
351,2022-12-18,1636
352,2022-12-19,1673
353,2022-12-20,5541
354,2022-12-21,4413
355,2022-12-22,3002
356,2022-12-23,2066
357,2022-12-24,2400
358,2022-12-25,6389
359,2022-12-26,6766
360,2022-12-27,4757
361,2022-12-28,2412
362,2022-12-29,1941
363,2022-12-30,1883
364,2022-12-31,2458
