喜大普奔,Date,DecryptedData
0,2013-01-01,123
1,2013-01-02,127
2,2013-01-03,58
3,2013-01-04,118
4,2013-01-05,
5,2013-01-06,61
6,2013-01-07,57
7,2013-01-08,118
8,2013-01-09,57
9,2013-01-10,57
10,2013-01-11,121
11,2013-01-12,58
12,2013-01-13,118
13,2013-01-14,118
14,2013-01-15,121
15,2013-01-16,126
16,2013-01-17,130
17,2013-01-18,57
18,2013-01-19,133
19,2013-01-20,139
20,2013-01-21,121
21,2013-01-22,135
22,2013-01-23,129
23,2013-01-24,124
24,2013-01-25,63
25,2013-01-26,122
26,2013-01-27,137
27,2013-01-28,141
28,2013-01-29,129
29,2013-01-30,137
30,2013-01-31,136
31,2013-02-01,161
32,2013-02-02,138
33,2013-02-03,137
34,2013-02-04,144
35,2013-02-05,133
36,2013-02-06,189
37,2013-02-07,164
38,2013-02-08,161
39,2013-02-09,159
40,2013-02-10,147
41,2013-02-11,134
42,2013-02-12,181
43,2013-02-13,442
44,2013-02-14,306
45,2013-02-15,201
46,2013-02-16,176
47,2013-02-17,205
48,2013-02-18,154
49,2013-02-19,204
50,2013-02-20,174
51,2013-02-21,1307
52,2013-02-22,4642
53,2013-02-23,1195
54,2013-02-24,974
55,2013-02-25,635
56,2013-02-26,609
57,2013-02-27,401
58,2013-02-28,406
59,2013-03-01,386
60,2013-03-02,504
61,2013-03-03,388
62,2013-03-04,331
63,2013-03-05,356
64,2013-03-06,340
65,2013-03-07,371
66,2013-03-08,394
67,2013-03-09,339
68,2013-03-10,437
69,2013-03-11,350
70,2013-03-12,322
71,2013-03-13,371
72,2013-03-14,428
73,2013-03-15,405
74,2013-03-16,451
75,2013-03-17,439
76,2013-03-18,747
77,2013-03-19,477
78,2013-03-20,421
79,2013-03-21,1383
80,2013-03-22,964
81,2013-03-23,637
82,2013-03-24,571
83,2013-03-25,566
84,2013-03-26,517
85,2013-03-27,437
86,2013-03-28,442
87,2013-03-29,417
88,2013-03-30,399
89,2013-03-31,395
90,2013-04-01,483
91,2013-04-02,405
92,2013-04-03,502
93,2013-04-04,366
94,2013-04-05,435
95,2013-04-06,505
96,2013-04-07,681
97,2013-04-08,828
98,2013-04-09,551
99,2013-04-10,736
100,2013-04-11,521
101,2013-04-12,573
102,2013-04-13,409
103,2013-04-14,474
104,2013-04-15,578
105,2013-04-16,483
106,2013-04-17,481
107,2013-04-18,456
108,2013-04-19,488
109,2013-04-20,355
110,2013-04-21,524
111,2013-04-22,427
112,2013-04-23,428
113,2013-04-24,452
114,2013-04-25,1404
115,2013-04-26,1450
116,2013-04-27,1447
117,2013-04-28,1151
118,2013-04-29,901
119,2013-04-30,763
120,2013-05-01,787
121,2013-05-02,1087
122,2013-05-03,853
123,2013-05-04,766
124,2013-05-05,802
125,2013-05-06,777
126,2013-05-07,841
127,2013-05-08,841
128,2013-05-09,847
129,2013-05-10,892
130,2013-05-11,813
131,2013-05-12,851
132,2013-05-13,917
133,2013-05-14,1022
134,2013-05-15,968
135,2013-05-16,848
136,2013-05-17,764
137,2013-05-18,819
138,2013-05-19,743
139,2013-05-20,1270
140,2013-05-21,1380
141,2013-05-22,2856
142,2013-05-23,1624
143,2013-05-24,1422
144,2013-05-25,1245
145,2013-05-26,1093
146,2013-05-27,1454
147,2013-05-28,1326
148,2013-05-29,1280
149,2013-05-30,1103
150,2013-05-31,1124
151,2013-06-01,1160
152,2013-06-02,1205
153,2013-06-03,1335
154,2013-06-04,1104
155,2013-06-05,1198
156,2013-06-06,1238
157,2013-06-07,1421
158,2013-06-08,1329
159,2013-06-09,1254
160,2013-06-10,1045
161,2013-06-11,1314
162,2013-06-12,1154
163,2013-06-13,1470
164,2013-06-14,1339
165,2013-06-15,1387
166,2013-06-16,1342
167,2013-06-17,1448
168,2013-06-18,1333
169,2013-06-19,1266
170,2013-06-20,1332
171,2013-06-21,1353
172,2013-06-22,1264
