基建狂魔,Date,DecryptedData
0,2020-01-01,393
1,2020-01-02,408
2,2020-01-03,372
3,2020-01-04,389
4,2020-01-05,428
5,2020-01-06,383
6,2020-01-07,450
7,2020-01-08,459
8,2020-01-09,393
9,2020-01-10,393
10,2020-01-11,393
11,2020-01-12,361
12,2020-01-13,361
13,2020-01-14,409
14,2020-01-15,417
15,2020-01-16,379
16,2020-01-17,408
17,2020-01-18,325
18,2020-01-19,333
19,2020-01-20,330
20,2020-01-21,336
21,2020-01-22,340
22,2020-01-23,443
23,2020-01-24,1441
24,2020-01-25,1153
25,2020-01-26,1169
26,2020-01-27,1086
27,2020-01-28,1133
28,2020-01-29,1262
29,2020-01-30,1134
30,2020-01-31,1051
31,2020-02-01,1075
32,2020-02-02,1497
33,2020-02-03,1295
34,2020-02-04,1163
35,2020-02-05,988
36,2020-02-06,886
37,2020-02-07,933
38,2020-02-08,896
39,2020-02-09,881
40,2020-02-10,760
41,2020-02-11,721
42,2020-02-12,734
43,2020-02-13,679
44,2020-02-14,655
45,2020-02-15,637
46,2020-02-16,668
47,2020-02-17,567
48,2020-02-18,579
49,2020-02-19,645
50,2020-02-20,567
51,2020-02-21,602
52,2020-02-22,543
53,2020-02-23,598
54,2020-02-24,571
55,2020-02-25,553
56,2020-02-26,516
57,2020-02-27,582
58,2020-02-28,517
59,2020-02-29,636
60,2020-03-01,606
61,2020-03-02,692
62,2020-03-03,772
63,2020-03-04,667
64,2020-03-05,717
65,2020-03-06,662
66,2020-03-07,615
67,2020-03-08,545
68,2020-03-09,591
69,2020-03-10,546
70,2020-03-11,539
71,2020-03-12,578
72,2020-03-13,591
73,2020-03-14,514
74,2020-03-15,561
75,2020-03-16,559
76,2020-03-17,575
77,2020-03-18,503
78,2020-03-19,549
79,2020-03-20,499
80,2020-03-21,523
81,2020-03-22,478
82,2020-03-23,463
83,2020-03-24,547
84,2020-03-25,588
85,2020-03-26,529
86,2020-03-27,514
87,2020-03-28,535
88,2020-03-29,479
89,2020-03-30,601
90,2020-03-31,489
91,2020-04-01,443
92,2020-04-02,424
93,2020-04-03,452
94,2020-04-04,1033
95,2020-04-05,474
96,2020-04-06,477
97,2020-04-07,482
98,2020-04-08,550
99,2020-04-09,480
100,2020-04-10,424
101,2020-04-11,427
102,2020-04-12,437
103,2020-04-13,461
104,2020-04-14,426
105,2020-04-15,447
106,2020-04-16,460
107,2020-04-17,401
108,2020-04-18,405
109,2020-04-19,364
110,2020-04-20,400
111,2020-04-21,364
112,2020-04-22,437
113,2020-04-23,447
114,2020-04-24,491
115,2020-04-25,376
116,2020-04-26,386
117,2020-04-27,395
118,2020-04-28,439
119,2020-04-29,429
120,2020-04-30,452
121,2020-05-01,361
122,2020-05-02,378
123,2020-05-03,405
124,2020-05-04,385
125,2020-05-05,400
126,2020-05-06,374
127,2020-05-07,382
128,2020-05-08,378
129,2020-05-09,363
130,2020-05-10,344
131,2020-05-11,362
132,2020-05-12,359
133,2020-05-13,314
134,2020-05-14,390
135,2020-05-15,347
