 塞班,Date,DecryptedData
0,2020-01-01,1044
1,2020-01-02,1314
2,2020-01-03,1349
3,2020-01-04,1162
4,2020-01-05,1129
5,2020-01-06,1349
6,2020-01-07,1355
7,2020-01-08,1388
8,2020-01-09,1368
9,2020-01-10,1272
10,2020-01-11,1093
11,2020-01-12,1118
12,2020-01-13,1336
13,2020-01-14,1323
14,2020-01-15,1305
15,2020-01-16,1314
16,2020-01-17,1241
17,2020-01-18,1120
18,2020-01-19,1296
19,2020-01-20,1242
20,2020-01-21,1121
21,2020-01-22,1073
22,2020-01-23,1027
23,2020-01-24,911
24,2020-01-25,978
25,2020-01-26,920
26,2020-01-27,1007
27,2020-01-28,1003
28,2020-01-29,1041
29,2020-01-30,1081
30,2020-01-31,1000
31,2020-02-01,1000
32,2020-02-02,880
33,2020-02-03,874
34,2020-02-04,861
35,2020-02-05,878
36,2020-02-06,894
37,2020-02-07,754
38,2020-02-08,844
39,2020-02-09,849
40,2020-02-10,905
41,2020-02-11,896
42,2020-02-12,1071
43,2020-02-13,961
44,2020-02-14,931
45,2020-02-15,892
46,2020-02-16,918
47,2020-02-17,873
48,2020-02-18,962
49,2020-02-19,929
50,2020-02-20,927
51,2020-02-21,916
52,2020-02-22,1024
53,2020-02-23,1035
54,2020-02-24,1047
55,2020-02-25,1010
56,2020-02-26,980
57,2020-02-27,1123
58,2020-02-28,1157
59,2020-02-29,1095
60,2020-03-01,1133
61,2020-03-02,2630
62,2020-03-03,3890
63,2020-03-04,18995
64,2020-03-05,49370
65,2020-03-06,51283
66,2020-03-07,42381
67,2020-03-08,37532
68,2020-03-09,39565
69,2020-03-10,36770
70,2020-03-11,32473
71,2020-03-12,31091
72,2020-03-13,31950
73,2020-03-14,42181
74,2020-03-15,35307
75,2020-03-16,30084
76,2020-03-17,31480
77,2020-03-18,35165
78,2020-03-19,27932
79,2020-03-20,23118
80,2020-03-21,18667
81,2020-03-22,17801
82,2020-03-23,17325
83,2020-03-24,16735
84,2020-03-25,15703
85,2020-03-26,14342
86,2020-03-27,12901
87,2020-03-28,11699
88,2020-03-29,13778
89,2020-03-30,22112
90,2020-03-31,16326
91,2020-04-01,13671
92,2020-04-02,12919
93,2020-04-03,13326
94,2020-04-04,12289
95,2020-04-05,10222
96,2020-04-06,10304
97,2020-04-07,8859
98,2020-04-08,8579
99,2020-04-09,8142
100,2020-04-10,7544
101,2020-04-11,7264
102,2020-04-12,6944
103,2020-04-13,6500
104,2020-04-14,5949
105,2020-04-15,5648
106,2020-04-16,5525
107,2020-04-17,5196
108,2020-04-18,5563
109,2020-04-19,5874
110,2020-04-20,5179
111,2020-04-21,4821
112,2020-04-22,4618
113,2020-04-23,4219
114,2020-04-24,3815
115,2020-04-25,3817
116,2020-04-26,4125
117,2020-04-27,4242
118,2020-04-28,4566
119,2020-04-29,3727
120,2020-04-30,3714
121,2020-05-01,3455
122,2020-05-02,3245
123,2020-05-03,3326
124,2020-05-04,3159
125,2020-05-05,3032
126,2020-05-06,3053
127,2020-05-07,2790
128,2020-05-08,2957
129,2020-05-09,2750
130,2020-05-10,2678
131,2020-05-11,2846
132,2020-05-12,2735
133,2020-05-13,2564
134,2020-05-14,2492
135,2020-05-15,2629
136,2020-05-16,2906
137,2020-05-17,2836
138,2020-05-18,2465
139,2020-05-19,2619
140,2020-05-20,2401
141,2020-05-21,2140
142,2020-05-22,2360
143,2020-05-23,2382
144,2020-05-24,2464
145,2020-05-25,2044
146,2020-05-26,2042
147,2020-05-27,1966
148,2020-05-28,1924
149,2020-05-29,1962
150,2020-05-30,2290
151,2020-05-31,2072
152,2020-06-01,1763
153,2020-06-02,1890
154,2020-06-03,1709
155,2020-06-04,1698
156,2020-06-05,2092
157,2020-06-06,2204
158,2020-06-07,2031
159,2020-06-08,1785
160,2020-06-09,1819
161,2020-06-10,1759
162,2020-06-11,1670
163,2020-06-12,1756
164,2020-06-13,1724
165,2020-06-14,1575
166,2020-06-15,1420
167,2020-06-16,1407
168,2020-06-17,1414
169,2020-06-18,1348
170,2020-06-19,1365
171,2020-06-20,1528
172,2020-06-21,1499
173,2020-06-22,1542
174,2020-06-23,1543
175,2020-06-24,1381
176,2020-06-25,1366
177,2020-06-26,1546
178,2020-06-27,1705
179,2020-06-28,1435
180,2020-06-29,1397
181,2020-06-30,1380
182,2020-07-01,1359
183,2020-07-02,1451
184,2020-07-03,1440
185,2020-07-04,1360
186,2020-07-05,1388
187,2020-07-06,1375
188,2020-07-07,1368
189,2020-07-08,1414
190,2020-07-09,1429
191,2020-07-10,1318
192,2020-07-11,1231
193,2020-07-12,1206
194,2020-07-13,1338
195,2020-07-14,1390
196,2020-07-15,1495
197,2020-07-16,1336
198,2020-07-17,1355
199,2020-07-18,1234
200,2020-07-19,1218
201,2020-07-20,1329
202,2020-07-21,1324
203,2020-07-22,1291
204,2020-07-23,1275
205,2020-07-24,1242
206,2020-07-25,1177
207,2020-07-26,1137
208,2020-07-27,1251
209,2020-07-28,1241
210,2020-07-29,1306
211,2020-07-30,1266
212,2020-07-31,1293
213,2020-08-01,1167
214,2020-08-02,1174
215,2020-08-03,1250
216,2020-08-04,1298
217,2020-08-05,1254
218,2020-08-06,1254
219,2020-08-07,1248
220,2020-08-08,1219
221,2020-08-09,1141
222,2020-08-10,1277
223,2020-08-11,1223
224,2020-08-12,1256
225,2020-08-13,1219
226,2020-08-14,1168
227,2020-08-15,1116
228,2020-08-16,1140
229,2020-08-17,1267
230,2020-08-18,1309
231,2020-08-19,1255
232,2020-08-20,1253
233,2020-08-21,1301
234,2020-08-22,1195
235,2020-08-23,1155
236,2020-08-24,1284
237,2020-08-25,1234
238,2020-08-26,1297
239,2020-08-27,1236
240,2020-08-28,1239
241,2020-08-29,1145
242,2020-08-30,1126
243,2020-08-31,1237
244,2020-09-01,1129
245,2020-09-02,1070
246,2020-09-03,1169
247,2020-09-04,1340
248,2020-09-05,1172
249,2020-09-06,1157
250,2020-09-07,1163
251,2020-09-08,1158
252,2020-09-09,1158
253,2020-09-10,1181
254,2020-09-11,1175
255,2020-09-12,1101
256,2020-09-13,1064
257,2020-09-14,1140
258,2020-09-15,1165
259,2020-09-16,1161
260,2020-09-17,1082
261,2020-09-18,1085
262,2020-09-19,1033
263,2020-09-20,1089
264,2020-09-21,988
265,2020-09-22,1086
266,2020-09-23,1123
267,2020-09-24,1067
268,2020-09-25,920
269,2020-09-26,1077
270,2020-09-27,1037
271,2020-09-28,1030
272,2020-09-29,1101
273,2020-09-30,993
274,2020-10-01,1038
275,2020-10-02,1012
276,2020-10-03,1035
277,2020-10-04,1011
278,2020-10-05,1036
279,2020-10-06,1028
280,2020-10-07,1054
281,2020-10-08,1060
282,2020-10-09,1082
283,2020-10-10,1001
284,2020-10-11,1082
285,2020-10-12,963
286,2020-10-13,970
287,2020-10-14,1095
288,2020-10-15,1044
289,2020-10-16,1050
290,2020-10-17,1045
291,2020-10-18,944
292,2020-10-19,1149
293,2020-10-20,1072
294,2020-10-21,1050
295,2020-10-22,1077
296,2020-10-23,1034
297,2020-10-24,1078
298,2020-10-25,1033
299,2020-10-26,1060
300,2020-10-27,1011
301,2020-10-28,1149
302,2020-10-29,1141
303,2020-10-30,1082
304,2020-10-31,1054
305,2020-11-01,900
306,2020-11-02,1006
307,2020-11-03,868
308,2020-11-04,963
309,2020-11-05,948
310,2020-11-06,906
311,2020-11-07,878
312,2020-11-08,922
313,2020-11-09,948
314,2020-11-10,924
315,2020-11-11,892
316,2020-11-12,925
317,2020-11-13,917
318,2020-11-14,961
319,2020-11-15,1029
320,2020-11-16,1008
321,2020-11-17,961
322,2020-11-18,1030
323,2020-11-19,1124
324,2020-11-20,903
325,2020-11-21,1027
326,2020-11-22,878
327,2020-11-23,875
328,2020-11-24,1067
329,2020-11-25,1011
330,2020-11-26,903
331,2020-11-27,912
332,2020-11-28,914
333,2020-11-29,938
334,2020-11-30,883
335,2020-12-01,855
336,2020-12-02,859
337,2020-12-03,834
338,2020-12-04,920
339,2020-12-05,893
340,2020-12-06,952
341,2020-12-07,994
342,2020-12-08,955
343,2020-12-09,952
344,2020-12-10,870
345,2020-12-11,911
346,2020-12-12,853
347,2020-12-13,965
348,2020-12-14,906
349,2020-12-15,857
350,2020-12-16,928
351,2020-12-17,881
352,2020-12-18,834
353,2020-12-19,840
354,2020-12-20,802
355,2020-12-21,817
356,2020-12-22,877
357,2020-12-23,928
358,2020-12-24,797
359,2020-12-25,779
360,2020-12-26,805
361,2020-12-27,863
362,2020-12-28,814
363,2020-12-29,833
364,2020-12-30,773
365,2020-12-31,750
