大V,Date,DecryptedData
0,2013-01-01,341
1,2013-01-02,419
2,2013-01-03,356
3,2013-01-04,375
4,2013-01-05,367
5,2013-01-06,400
6,2013-01-07,430
7,2013-01-08,320
8,2013-01-09,326
9,2013-01-10,373
10,2013-01-11,357
11,2013-01-12,371
12,2013-01-13,366
13,2013-01-14,396
14,2013-01-15,341
15,2013-01-16,337
16,2013-01-17,350
17,2013-01-18,352
18,2013-01-19,345
19,2013-01-20,382
20,2013-01-21,372
21,2013-01-22,367
22,2013-01-23,375
23,2013-01-24,425
24,2013-01-25,449
25,2013-01-26,538
26,2013-01-27,583
27,2013-01-28,434
28,2013-01-29,395
29,2013-01-30,413
30,2013-01-31,400
31,2013-02-01,356
32,2013-02-02,348
33,2013-02-03,317
34,2013-02-04,329
35,2013-02-05,334
36,2013-02-06,357
37,2013-02-07,333
38,2013-02-08,297
39,2013-02-09,248
40,2013-02-10,287
41,2013-02-11,290
42,2013-02-12,325
43,2013-02-13,339
44,2013-02-14,329
45,2013-02-15,317
46,2013-02-16,414
47,2013-02-17,368
48,2013-02-18,364
49,2013-02-19,367
50,2013-02-20,383
51,2013-02-21,326
52,2013-02-22,375
53,2013-02-23,358
54,2013-02-24,286
55,2013-02-25,336
56,2013-02-26,346
57,2013-02-27,372
58,2013-02-28,383
59,2013-03-01,332
60,2013-03-02,313
61,2013-03-03,300
62,2013-03-04,362
63,2013-03-05,488
64,2013-03-06,470
65,2013-03-07,499
66,2013-03-08,508
67,2013-03-09,451
68,2013-03-10,350
69,2013-03-11,371
70,2013-03-12,399
71,2013-03-13,389
72,2013-03-14,412
73,2013-03-15,336
74,2013-03-16,620
75,2013-03-17,549
76,2013-03-18,427
77,2013-03-19,391
78,2013-03-20,336
79,2013-03-21,334
80,2013-03-22,343
81,2013-03-23,354
82,2013-03-24,324
83,2013-03-25,298
84,2013-03-26,323
85,2013-03-27,292
86,2013-03-28,335
87,2013-03-29,299
88,2013-03-30,314
89,2013-03-31,307
90,2013-04-01,325
91,2013-04-02,418
92,2013-04-03,422
93,2013-04-04,365
94,2013-04-05,300
95,2013-04-06,307
96,2013-04-07,310
97,2013-04-08,357
98,2013-04-09,310
99,2013-04-10,320
100,2013-04-11,299
101,2013-04-12,353
102,2013-04-13,271
103,2013-04-14,282
104,2013-04-15,274
105,2013-04-16,340
106,2013-04-17,295
107,2013-04-18,294
108,2013-04-19,291
109,2013-04-20,259
110,2013-04-21,280
111,2013-04-22,263
112,2013-04-23,318
113,2013-04-24,282
114,2013-04-25,292
115,2013-04-26,256
116,2013-04-27,256
117,2013-04-28,273
118,2013-04-29,227
119,2013-04-30,267
120,2013-05-01,271
121,2013-05-02,950
122,2013-05-03,951
123,2013-05-04,543
124,2013-05-05,391
125,2013-05-06,358
126,2013-05-07,1099
127,2013-05-08,797
128,2013-05-09,433
129,2013-05-10,377
130,2013-05-11,320
131,2013-05-12,308
132,2013-05-13,312
133,2013-05-14,306
134,2013-05-15,286
135,2013-05-16,271
136,2013-05-17,335
137,2013-05-18,318
138,2013-05-19,253
139,2013-05-20,287
140,2013-05-21,266
141,2013-05-22,305
142,2013-05-23,272
143,2013-05-24,286
144,2013-05-25,264
145,2013-05-26,252
146,2013-05-27,381
147,2013-05-28,371
148,2013-05-29,275
149,2013-05-30,261
150,2013-05-31,282
151,2013-06-01,259
152,2013-06-02,256
153,2013-06-03,265
154,2013-06-04,269
155,2013-06-05,262
156,2013-06-06,231
157,2013-06-07,258
158,2013-06-08,252
159,2013-06-09,255
160,2013-06-10,238
161,2013-06-11,238
162,2013-06-12,256
163,2013-06-13,269
164,2013-06-14,276
165,2013-06-15,237
166,2013-06-16,235
167,2013-06-17,251
168,2013-06-18,229
169,2013-06-19,251
170,2013-06-20,249
171,2013-06-21,250
172,2013-06-22,194
173,2013-06-23,292
174,2013-06-24,320
175,2013-06-25,257
176,2013-06-26,232
177,2013-06-27,278
178,2013-06-28,258
179,2013-06-29,335
180,2013-06-30,420
181,2013-07-01,623
182,2013-07-02,605
183,2013-07-03,458
184,2013-07-04,488
185,2013-07-05,549
186,2013-07-06,350
187,2013-07-07,321
188,2013-07-08,350
189,2013-07-09,310
190,2013-07-10,385
191,2013-07-11,309
192,2013-07-12,309
193,2013-07-13,238
194,2013-07-14,266
195,2013-07-15,271
196,2013-07-16,292
197,2013-07-17,362
198,2013-07-18,388
199,2013-07-19,314
200,2013-07-20,296
201,2013-07-21,329
202,2013-07-22,308
203,2013-07-23,308
204,2013-07-24,310
205,2013-07-25,313
206,2013-07-26,257
207,2013-07-27,261
208,2013-07-28,248
209,2013-07-29,314
210,2013-07-30,355
211,2013-07-31,322
212,2013-08-01,310
213,2013-08-02,287
214,2013-08-03,255
215,2013-08-04,246
216,2013-08-05,293
217,2013-08-06,263
218,2013-08-07,236
219,2013-08-08,280
220,2013-08-09,274
221,2013-08-10,309
222,2013-08-11,629
223,2013-08-12,759
224,2013-08-13,524
225,2013-08-14,665
226,2013-08-15,433
227,2013-08-16,442
228,2013-08-17,373
229,2013-08-18,1443
230,2013-08-19,1196
231,2013-08-20,888
232,2013-08-21,1875
233,2013-08-22,6334
234,2013-08-23,5756
235,2013-08-24,4442
236,2013-08-25,6514
237,2013-08-26,7057
238,2013-08-27,4671
239,2013-08-28,3022
240,2013-08-29,11554
241,2013-08-30,17704
242,2013-08-31,5640
243,2013-09-01,3426
244,2013-09-02,3436
245,2013-09-03,9983
246,2013-09-04,3454
247,2013-09-05,3371
248,2013-09-06,4697
249,2013-09-07,1904
250,2013-09-08,1809
251,2013-09-09,1659
252,2013-09-10,1732
253,2013-09-11,1938
254,2013-09-12,4899
255,2013-09-13,2607
256,2013-09-14,1881
257,2013-09-15,16245
258,2013-09-16,5170
259,2013-09-17,2388
260,2013-09-18,2146
261,2013-09-19,1617
262,2013-09-20,1637
263,2013-09-21,1509
264,2013-09-22,2122
265,2013-09-23,1486
266,2013-09-24,1499
267,2013-09-25,1379
268,2013-09-26,1452
269,2013-09-27,1236
270,2013-09-28,2018
271,2013-09-29,5093
272,2013-09-30,1686
273,2013-10-01,975
274,2013-10-02,805
275,2013-10-03,835
276,2013-10-04,745
277,2013-10-05,982
278,2013-10-06,792
279,2013-10-07,717
280,2013-10-08,793
281,2013-10-09,921
282,2013-10-10,1154
283,2013-10-11,982
284,2013-10-12,972
285,2013-10-13,672
286,2013-10-14,774
287,2013-10-15,776
288,2013-10-16,847
289,2013-10-17,920
290,2013-10-18,735
291,2013-10-19,555
292,2013-10-20,630
293,2013-10-21,1480
294,2013-10-22,1205
295,2013-10-23,969
296,2013-10-24,746
297,2013-10-25,645
298,2013-10-26,534
299,2013-10-27,590
300,2013-10-28,692
301,2013-10-29,639
302,2013-10-30,678
303,2013-10-31,676
304,2013-11-01,585
305,2013-11-02,603
306,2013-11-03,682
307,2013-11-04,962
308,2013-11-05,1096
309,2013-11-06,650
310,2013-11-07,746
311,2013-11-08,704
312,2013-11-09,558
313,2013-11-10,481
314,2013-11-11,517
315,2013-11-12,526
316,2013-11-13,604
317,2013-11-14,587
318,2013-11-15,529
319,2013-11-16,439
320,2013-11-17,508
321,2013-11-18,529
322,2013-11-19,486
323,2013-11-20,484
324,2013-11-21,458
325,2013-11-22,499
326,2013-11-23,415
327,2013-11-24,390
328,2013-11-25,437
329,2013-11-26,522
330,2013-11-27,1216
331,2013-11-28,586
332,2013-11-29,440
333,2013-11-30,400
334,2013-12-01,420
335,2013-12-02,558
336,2013-12-03,558
337,2013-12-04,499
338,2013-12-05,440
339,2013-12-06,471
340,2013-12-07,445
341,2013-12-08,425
342,2013-12-09,426
343,2013-12-10,470
344,2013-12-11,555
345,2013-12-12,497
346,2013-12-13,432
347,2013-12-14,423
348,2013-12-15,417
349,2013-12-16,393
350,2013-12-17,485
351,2013-12-18,668
352,2013-12-19,2063
353,2013-12-20,1854
354,2013-12-21,1323
355,2013-12-22,890
356,2013-12-23,914
357,2013-12-24,822
358,2013-12-25,696
359,2013-12-26,799
360,2013-12-27,1256
361,2013-12-28,672
362,2013-12-29,548
363,2013-12-30,619
364,2013-12-31,668
