大妈,Date,DecryptedData
0,2013-01-01,269
1,2013-01-02,338
2,2013-01-03,272
3,2013-01-04,280
4,2013-01-05,272
5,2013-01-06,260
6,2013-01-07,263
7,2013-01-08,295
8,2013-01-09,259
9,2013-01-10,265
10,2013-01-11,327
11,2013-01-12,257
12,2013-01-13,297
13,2013-01-14,334
14,2013-01-15,260
15,2013-01-16,301
16,2013-01-17,298
17,2013-01-18,302
18,2013-01-19,306
19,2013-01-20,299
20,2013-01-21,307
21,2013-01-22,330
22,2013-01-23,325
23,2013-01-24,269
24,2013-01-25,302
25,2013-01-26,291
26,2013-01-27,314
27,2013-01-28,332
28,2013-01-29,294
29,2013-01-30,263
30,2013-01-31,325
31,2013-02-01,333
32,2013-02-02,326
33,2013-02-03,303
34,2013-02-04,324
35,2013-02-05,310
36,2013-02-06,319
37,2013-02-07,340
38,2013-02-08,305
39,2013-02-09,256
40,2013-02-10,298
41,2013-02-11,285
42,2013-02-12,304
43,2013-02-13,304
44,2013-02-14,304
45,2013-02-15,365
46,2013-02-16,335
47,2013-02-17,325
48,2013-02-18,313
49,2013-02-19,303
50,2013-02-20,325
51,2013-02-21,308
52,2013-02-22,366
53,2013-02-23,320
54,2013-02-24,352
55,2013-02-25,301
56,2013-02-26,312
57,2013-02-27,316
58,2013-02-28,328
59,2013-03-01,305
60,2013-03-02,297
61,2013-03-03,325
62,2013-03-04,286
63,2013-03-05,330
64,2013-03-06,295
65,2013-03-07,314
66,2013-03-08,361
67,2013-03-09,280
68,2013-03-10,302
69,2013-03-11,314
70,2013-03-12,332
71,2013-03-13,303
72,2013-03-14,303
73,2013-03-15,277
74,2013-03-16,303
75,2013-03-17,343
76,2013-03-18,261
77,2013-03-19,270
78,2013-03-20,268
79,2013-03-21,297
80,2013-03-22,281
81,2013-03-23,289
82,2013-03-24,274
83,2013-03-25,290
84,2013-03-26,256
85,2013-03-27,274
86,2013-03-28,241
87,2013-03-29,291
88,2013-03-30,287
89,2013-03-31,300
90,2013-04-01,263
91,2013-04-02,271
92,2013-04-03,269
93,2013-04-04,286
94,2013-04-05,276
95,2013-04-06,279
96,2013-04-07,282
97,2013-04-08,301
98,2013-04-09,279
99,2013-04-10,301
100,2013-04-11,302
101,2013-04-12,340
102,2013-04-13,317
103,2013-04-14,337
104,2013-04-15,333
105,2013-04-16,301
106,2013-04-17,347
107,2013-04-18,327
108,2013-04-19,317
109,2013-04-20,282
110,2013-04-21,265
111,2013-04-22,287
112,2013-04-23,311
113,2013-04-24,241
114,2013-04-25,265
115,2013-04-26,290
116,2013-04-27,259
117,2013-04-28,295
118,2013-04-29,290
119,2013-04-30,382
120,2013-05-01,585
121,2013-05-02,711
122,2013-05-03,560
123,2013-05-04,427
124,2013-05-05,397
125,2013-05-06,366
126,2013-05-07,369
127,2013-05-08,364
128,2013-05-09,339
129,2013-05-10,343
130,2013-05-11,397
131,2013-05-12,510
132,2013-05-13,421
133,2013-05-14,395
134,2013-05-15,372
135,2013-05-16,388
136,2013-05-17,411
137,2013-05-18,340
138,2013-05-19,372
139,2013-05-20,339
140,2013-05-21,355
141,2013-05-22,326
142,2013-05-23,318
143,2013-05-24,288
144,2013-05-25,312
145,2013-05-26,350
146,2013-05-27,313
147,2013-05-28,296
148,2013-05-29,311
149,2013-05-30,316
150,2013-05-31,304
151,2013-06-01,341
152,2013-06-02,329
153,2013-06-03,317
154,2013-06-04,316
155,2013-06-05,320
156,2013-06-06,352
157,2013-06-07,320
158,2013-06-08,334
159,2013-06-09,290
160,2013-06-10,361
161,2013-06-11,314
162,2013-06-12,331
163,2013-06-13,308
164,2013-06-14,306
165,2013-06-15,342
166,2013-06-16,318
167,2013-06-17,318
168,2013-06-18,348
169,2013-06-19,300
170,2013-06-20,317
171,2013-06-21,372
172,2013-06-22,334
173,2013-06-23,326
174,2013-06-24,343
175,2013-06-25,325
176,2013-06-26,332
177,2013-06-27,369
178,2013-06-28,348
179,2013-06-29,292
180,2013-06-30,372
181,2013-07-01,393
182,2013-07-02,331
183,2013-07-03,372
184,2013-07-04,314
185,2013-07-05,319
186,2013-07-06,342
187,2013-07-07,380
188,2013-07-08,384
189,2013-07-09,390
190,2013-07-10,365
191,2013-07-11,354
192,2013-07-12,387
193,2013-07-13,389
194,2013-07-14,388
195,2013-07-15,443
196,2013-07-16,400
197,2013-07-17,334
198,2013-07-18,365
199,2013-07-19,341
200,2013-07-20,329
201,2013-07-21,333
202,2013-07-22,351
203,2013-07-23,364
204,2013-07-24,356
205,2013-07-25,376
206,2013-07-26,339
207,2013-07-27,351
208,2013-07-28,356
209,2013-07-29,400
210,2013-07-30,412
211,2013-07-31,362
212,2013-08-01,361
213,2013-08-02,409
214,2013-08-03,340
215,2013-08-04,394
216,2013-08-05,326
217,2013-08-06,351
218,2013-08-07,402
219,2013-08-08,388
220,2013-08-09,381
221,2013-08-10,394
222,2013-08-11,386
223,2013-08-12,677
224,2013-08-13,1069
225,2013-08-14,950
226,2013-08-15,894
227,2013-08-16,631
228,2013-08-17,498
229,2013-08-18,487
230,2013-08-19,499
231,2013-08-20,532
232,2013-08-21,528
233,2013-08-22,440
234,2013-08-23,430
235,2013-08-24,468
236,2013-08-25,547
237,2013-08-26,538
238,2013-08-27,553
239,2013-08-28,473
240,2013-08-29,447
241,2013-08-30,401
242,2013-08-31,384
243,2013-09-01,362
244,2013-09-02,412
245,2013-09-03,398
246,2013-09-04,438
247,2013-09-05,373
248,2013-09-06,343
249,2013-09-07,459
250,2013-09-08,400
251,2013-09-09,365
252,2013-09-10,372
253,2013-09-11,339
254,2013-09-12,347
255,2013-09-13,333
256,2013-09-14,371
257,2013-09-15,386
258,2013-09-16,373
259,2013-09-17,379
260,2013-09-18,414
261,2013-09-19,420
262,2013-09-20,433
263,2013-09-21,443
264,2013-09-22,429
265,2013-09-23,394
266,2013-09-24,385
267,2013-09-25,390
268,2013-09-26,363
269,2013-09-27,410
270,2013-09-28,397
271,2013-09-29,395
272,2013-09-30,359
273,2013-10-01,388
274,2013-10-02,380
275,2013-10-03,392
276,2013-10-04,422
277,2013-10-05,443
278,2013-10-06,478
279,2013-10-07,486
280,2013-10-08,447
281,2013-10-09,404
282,2013-10-10,434
283,2013-10-11,428
284,2013-10-12,447
285,2013-10-13,411
286,2013-10-14,413
287,2013-10-15,439
288,2013-10-16,369
289,2013-10-17,362
290,2013-10-18,446
291,2013-10-19,388
292,2013-10-20,383
293,2013-10-21,376
294,2013-10-22,359
295,2013-10-23,338
296,2013-10-24,403
297,2013-10-25,658
298,2013-10-26,546
299,2013-10-27,443
300,2013-10-28,391
301,2013-10-29,350
302,2013-10-30,488
303,2013-10-31,446
304,2013-11-01,399
305,2013-11-02,398
306,2013-11-03,376
307,2013-11-04,408
308,2013-11-05,380
309,2013-11-06,434
310,2013-11-07,385
311,2013-11-08,479
312,2013-11-09,458
313,2013-11-10,431
314,2013-11-11,440
315,2013-11-12,439
316,2013-11-13,439
317,2013-11-14,1549
318,2013-11-15,800
319,2013-11-16,519
