夺冠,Date,DecryptedData
0,2020-01-01,258
1,2020-01-02,280
2,2020-01-03,249
3,2020-01-04,226
4,2020-01-05,227
5,2020-01-06,249
6,2020-01-07,217
7,2020-01-08,208
8,2020-01-09,203
9,2020-01-10,224
10,2020-01-11,207
11,2020-01-12,187
12,2020-01-13,212
13,2020-01-14,168
14,2020-01-15,203
15,2020-01-16,228
16,2020-01-17,464
17,2020-01-18,3888
18,2020-01-19,8221
19,2020-01-20,9267
20,2020-01-21,8589
21,2020-01-22,6243
22,2020-01-23,11649
23,2020-01-24,6371
24,2020-01-25,13279
25,2020-01-26,8633
26,2020-01-27,7705
27,2020-01-28,5158
28,2020-01-29,3690
29,2020-01-30,2851
30,2020-01-31,2580
31,2020-02-01,2284
32,2020-02-02,2054
33,2020-02-03,1867
34,2020-02-04,1947
35,2020-02-05,1721
36,2020-02-06,1599
37,2020-02-07,1518
38,2020-02-08,1541
39,2020-02-09,1883
40,2020-02-10,1599
41,2020-02-11,1488
42,2020-02-12,1476
43,2020-02-13,1462
44,2020-02-14,1774
45,2020-02-15,1503
46,2020-02-16,1431
47,2020-02-17,1330
48,2020-02-18,1273
49,2020-02-19,1582
50,2020-02-20,1294
51,2020-02-21,1265
52,2020-02-22,1232
53,2020-02-23,1179
54,2020-02-24,1109
55,2020-02-25,1135
56,2020-02-26,1050
57,2020-02-27,1114
58,2020-02-28,1024
59,2020-02-29,995
60,2020-03-01,1016
61,2020-03-02,990
62,2020-03-03,887
63,2020-03-04,877
64,2020-03-05,1223
65,2020-03-06,962
66,2020-03-07,879
67,2020-03-08,922
68,2020-03-09,1204
69,2020-03-10,1262
70,2020-03-11,852
71,2020-03-12,866
72,2020-03-13,911
73,2020-03-14,857
74,2020-03-15,839
75,2020-03-16,903
76,2020-03-17,779
77,2020-03-18,758
78,2020-03-19,767
79,2020-03-20,798
80,2020-03-21,811
81,2020-03-22,797
82,2020-03-23,779
83,2020-03-24,785
84,2020-03-25,1151
85,2020-03-26,800
86,2020-03-27,749
87,2020-03-28,809
88,2020-03-29,728
89,2020-03-30,1019
90,2020-03-31,711
91,2020-04-01,658
92,2020-04-02,669
93,2020-04-03,1010
94,2020-04-04,2204
95,2020-04-05,1040
96,2020-04-06,2698
97,2020-04-07,1623
98,2020-04-08,1419
99,2020-04-09,853
100,2020-04-10,805
101,2020-04-11,696
102,2020-04-12,677
103,2020-04-13,613
104,2020-04-14,621
105,2020-04-15,647
106,2020-04-16,782
107,2020-04-17,712
108,2020-04-18,777
109,2020-04-19,774
110,2020-04-20,723
111,2020-04-21,632
112,2020-04-22,629
113,2020-04-23,707
114,2020-04-24,629
115,2020-04-25,683
116,2020-04-26,687
117,2020-04-27,736
118,2020-04-28,645
119,2020-04-29,650
120,2020-04-30,687
121,2020-05-01,779
122,2020-05-02,823
123,2020-05-03,861
124,2020-05-04,769
125,2020-05-05,738
126,2020-05-06,1005
127,2020-05-07,902
128,2020-05-08,964
129,2020-05-09,1058
130,2020-05-10,851
131,2020-05-11,823
132,2020-05-12,814
133,2020-05-13,792
134,2020-05-14,777
135,2020-05-15,709
136,2020-05-16,772
137,2020-05-17,730
138,2020-05-18,748
139,2020-05-19,674
140,2020-05-20,640
141,2020-05-21,631
142,2020-05-22,693
143,2020-05-23,681
144,2020-05-24,677
145,2020-05-25,575
146,2020-05-26,565
147,2020-05-27,710
148,2020-05-28,609
149,2020-05-29,638
150,2020-05-30,652
151,2020-05-31,605
152,2020-06-01,617
153,2020-06-02,492
154,2020-06-03,564
155,2020-06-04,586
156,2020-06-05,601
157,2020-06-06,582
158,2020-06-07,624
159,2020-06-08,606
160,2020-06-09,580
161,2020-06-10,598
162,2020-06-11,706
163,2020-06-12,614
164,2020-06-13,600
165,2020-06-14,537
166,2020-06-15,534
167,2020-06-16,541
168,2020-06-17,550
169,2020-06-18,496
170,2020-06-19,558
171,2020-06-20,602
172,2020-06-21,582
173,2020-06-22,557
174,2020-06-23,658
175,2020-06-24,521
176,2020-06-25,631
177,2020-06-26,709
178,2020-06-27,621
179,2020-06-28,654
180,2020-06-29,634
181,2020-06-30,635
182,2020-07-01,575
183,2020-07-02,539
184,2020-07-03,556
185,2020-07-04,609
186,2020-07-05,623
187,2020-07-06,598
188,2020-07-07,605
189,2020-07-08,707
190,2020-07-09,701
191,2020-07-10,562
192,2020-07-11,545
193,2020-07-12,581
194,2020-07-13,600
195,2020-07-14,520
196,2020-07-15,605
197,2020-07-16,1437
198,2020-07-17,1753
199,2020-07-18,1161
200,2020-07-19,1143
201,2020-07-20,1520
202,2020-07-21,1168
203,2020-07-22,915
204,2020-07-23,828
205,2020-07-24,912
206,2020-07-25,774
207,2020-07-26,759
208,2020-07-27,728
209,2020-07-28,743
210,2020-07-29,650
211,2020-07-30,636
212,2020-07-31,659
213,2020-08-01,641
214,2020-08-02,727
215,2020-08-03,771
216,2020-08-04,620
217,2020-08-05,1124
218,2020-08-06,711
219,2020-08-07,722
220,2020-08-08,733
221,2020-08-09,748
222,2020-08-10,738
223,2020-08-11,747
224,2020-08-12,775
225,2020-08-13,761
226,2020-08-14,823
227,2020-08-15,759
228,2020-08-16,928
229,2020-08-17,3807
230,2020-08-18,1942
231,2020-08-19,1491
232,2020-08-20,1440
233,2020-08-21,1551
234,2020-08-22,1199
235,2020-08-23,1163
236,2020-08-24,1399
237,2020-08-25,1289
238,2020-08-26,1418
239,2020-08-27,1365
240,2020-08-28,1283
241,2020-08-29,1113
242,2020-08-30,1147
243,2020-08-31,1598
244,2020-09-01,1503
245,2020-09-02,1536
246,2020-09-03,1578
247,2020-09-04,1532
248,2020-09-05,1188
249,2020-09-06,1227
250,2020-09-07,1488
251,2020-09-08,1410
252,2020-09-09,1414
253,2020-09-10,1408
254,2020-09-11,1399
255,2020-09-12,1259
