奥利给,Date,DecryptedData
0,2020-01-01,47354
1,2020-01-02,31287
2,2020-01-03,29088
3,2020-01-04,30722
4,2020-01-05,32652
5,2020-01-06,29538
6,2020-01-07,29495
7,2020-01-08,31460
8,2020-01-09,29841
9,2020-01-10,28882
10,2020-01-11,27211
11,2020-01-12,24481
12,2020-01-13,26220
13,2020-01-14,25013
14,2020-01-15,24950
15,2020-01-16,23833
16,2020-01-17,24930
17,2020-01-18,22866
18,2020-01-19,24372
19,2020-01-20,25130
20,2020-01-21,21817
21,2020-01-22,20079
22,2020-01-23,18567
23,2020-01-24,27027
24,2020-01-25,23673
25,2020-01-26,19071
26,2020-01-27,17784
27,2020-01-28,17541
28,2020-01-29,18674
29,2020-01-30,18564
30,2020-01-31,20289
31,2020-02-01,19155
32,2020-02-02,19794
33,2020-02-03,20987
34,2020-02-04,20619
35,2020-02-05,20552
36,2020-02-06,20141
37,2020-02-07,19715
38,2020-02-08,20446
39,2020-02-09,24922
40,2020-02-10,23368
41,2020-02-11,23573
42,2020-02-12,22046
43,2020-02-13,20480
44,2020-02-14,20430
45,2020-02-15,18324
46,2020-02-16,17568
47,2020-02-17,21268
48,2020-02-18,19289
49,2020-02-19,19770
50,2020-02-20,21295
51,2020-02-21,19904
52,2020-02-22,16846
53,2020-02-23,17742
54,2020-02-24,20463
55,2020-02-25,20056
56,2020-02-26,18925
57,2020-02-27,19615
58,2020-02-28,20256
59,2020-02-29,17390
60,2020-03-01,16571
61,2020-03-02,18384
62,2020-03-03,16945
63,2020-03-04,17725
64,2020-03-05,17161
65,2020-03-06,16407
66,2020-03-07,14406
67,2020-03-08,14783
68,2020-03-09,16959
69,2020-03-10,16037
70,2020-03-11,17864
71,2020-03-12,19030
72,2020-03-13,17893
73,2020-03-14,16004
74,2020-03-15,14310
75,2020-03-16,16789
76,2020-03-17,16264
77,2020-03-18,16037
78,2020-03-19,15895
79,2020-03-20,15670
80,2020-03-21,13693
81,2020-03-22,13388
82,2020-03-23,15983
83,2020-03-24,15473
84,2020-03-25,16616
85,2020-03-26,14870
86,2020-03-27,14732
87,2020-03-28,12406
88,2020-03-29,12120
89,2020-03-30,14188
90,2020-03-31,15065
91,2020-04-01,14618
92,2020-04-02,14255
93,2020-04-03,15408
94,2020-04-04,15261
95,2020-04-05,11118
96,2020-04-06,11669
97,2020-04-07,12765
98,2020-04-08,13873
99,2020-04-09,13703
100,2020-04-10,13264
101,2020-04-11,11183
102,2020-04-12,10618
103,2020-04-13,12378
104,2020-04-14,12500
105,2020-04-15,11970
106,2020-04-16,11831
107,2020-04-17,12357
108,2020-04-18,10468
109,2020-04-19,10318
110,2020-04-20,11381
111,2020-04-21,11138
112,2020-04-22,11265
113,2020-04-23,10640
114,2020-04-24,10579
115,2020-04-25,9482
116,2020-04-26,9895
117,2020-04-27,10459
118,2020-04-28,10712
119,2020-04-29,11178
120,2020-04-30,10845
121,2020-05-01,9948
122,2020-05-02,9334
123,2020-05-03,9383
124,2020-05-04,9950
125,2020-05-05,9316
126,2020-05-06,9810
127,2020-05-07,9724
128,2020-05-08,10132
129,2020-05-09,9957
130,2020-05-10,10236
131,2020-05-11,11665
132,2020-05-12,10839
133,2020-05-13,10788
134,2020-05-14,10123
135,2020-05-15,10483
136,2020-05-16,11750
137,2020-05-17,11216
138,2020-05-18,10167
139,2020-05-19,9586
140,2020-05-20,9842
141,2020-05-21,10052
142,2020-05-22,9265
143,2020-05-23,9256
144,2020-05-24,9531
145,2020-05-25,9434
146,2020-05-26,9273
147,2020-05-27,9083
148,2020-05-28,9128
149,2020-05-29,8866
150,2020-05-30,9678
151,2020-05-31,9731
152,2020-06-01,8730
153,2020-06-02,8043
154,2020-06-03,7846
155,2020-06-04,7875
156,2020-06-05,7940
157,2020-06-06,25068
158,2020-06-07,27558
159,2020-06-08,18587
160,2020-06-09,14306
161,2020-06-10,12174
162,2020-06-11,10478
163,2020-06-12,10534
164,2020-06-13,11052
165,2020-06-14,10584
166,2020-06-15,10171
167,2020-06-16,9840
168,2020-06-17,8919
169,2020-06-18,9095
170,2020-06-19,9861
171,2020-06-20,11141
172,2020-06-21,11488
173,2020-06-22,8784
174,2020-06-23,8737
175,2020-06-24,8194
176,2020-06-25,10541
177,2020-06-26,10920
178,2020-06-27,9687
179,2020-06-28,8010
180,2020-06-29,7969
181,2020-06-30,8509
182,2020-07-01,8725
183,2020-07-02,8555
184,2020-07-03,10006
185,2020-07-04,9334
186,2020-07-05,9689
187,2020-07-06,14363
188,2020-07-07,18659
189,2020-07-08,14265
190,2020-07-09,12116
191,2020-07-10,12820
192,2020-07-11,11339
193,2020-07-12,8645
