女汉子,Date,DecryptedData
0,2013-01-01,121
1,2013-01-02,131
2,2013-01-03,129
3,2013-01-04,131
4,2013-01-05,118
5,2013-01-06,134
6,2013-01-07,120
7,2013-01-08,61
8,2013-01-09,131
9,2013-01-10,63
10,2013-01-11,134
11,2013-01-12,129
12,2013-01-13,57
13,2013-01-14,57
14,2013-01-15,129
15,2013-01-16,60
16,2013-01-17,135
17,2013-01-18,123
18,2013-01-19,64
19,2013-01-20,58
20,2013-01-21,120
21,2013-01-22,125
22,2013-01-23,131
23,2013-01-24,121
24,2013-01-25,67
25,2013-01-26,126
26,2013-01-27,128
27,2013-01-28,125
28,2013-01-29,61
29,2013-01-30,132
30,2013-01-31,57
31,2013-02-01,122
32,2013-02-02,58
33,2013-02-03,131
34,2013-02-04,61
35,2013-02-05,
36,2013-02-06,136
37,2013-02-07,200
38,2013-02-08,165
39,2013-02-09,155
40,2013-02-10,185
41,2013-02-11,146
42,2013-02-12,238
43,2013-02-13,249
44,2013-02-14,200
45,2013-02-15,224
46,2013-02-16,221
47,2013-02-17,161
48,2013-02-18,211
49,2013-02-19,225
50,2013-02-20,172
51,2013-02-21,179
52,2013-02-22,148
53,2013-02-23,140
54,2013-02-24,158
55,2013-02-25,163
56,2013-02-26,180
57,2013-02-27,165
58,2013-02-28,214
59,2013-03-01,233
60,2013-03-02,172
61,2013-03-03,152
62,2013-03-04,154
63,2013-03-05,213
64,2013-03-06,162
65,2013-03-07,205
66,2013-03-08,154
67,2013-03-09,180
68,2013-03-10,148
69,2013-03-11,177
70,2013-03-12,150
71,2013-03-13,166
72,2013-03-14,197
73,2013-03-15,204
74,2013-03-16,179
75,2013-03-17,216
76,2013-03-18,270
77,2013-03-19,540
78,2013-03-20,378
79,2013-03-21,347
80,2013-03-22,304
81,2013-03-23,289
82,2013-03-24,233
83,2013-03-25,325
84,2013-03-26,407
85,2013-03-27,376
86,2013-03-28,359
87,2013-03-29,304
88,2013-03-30,302
89,2013-03-31,282
90,2013-04-01,317
91,2013-04-02,324
92,2013-04-03,329
93,2013-04-04,387
94,2013-04-05,624
95,2013-04-06,424
96,2013-04-07,411
97,2013-04-08,501
98,2013-04-09,494
99,2013-04-10,546
100,2013-04-11,565
101,2013-04-12,536
102,2013-04-13,463
103,2013-04-14,461
104,2013-04-15,481
105,2013-04-16,509
106,2013-04-17,519
107,2013-04-18,575
108,2013-04-19,532
109,2013-04-20,415
110,2013-04-21,414
111,2013-04-22,477
112,2013-04-23,466
113,2013-04-24,440
114,2013-04-25,438
115,2013-04-26,489
116,2013-04-27,467
117,2013-04-28,458
118,2013-04-29,430
119,2013-04-30,463
120,2013-05-01,464
121,2013-05-02,476
122,2013-05-03,441
123,2013-05-04,439
124,2013-05-05,408
125,2013-05-06,489
126,2013-05-07,521
127,2013-05-08,498
128,2013-05-09,478
129,2013-05-10,511
130,2013-05-11,478
131,2013-05-12,456
132,2013-05-13,543
133,2013-05-14,608
134,2013-05-15,580
135,2013-05-16,555
136,2013-05-17,607
137,2013-05-18,691
138,2013-05-19,605
139,2013-05-20,627
140,2013-05-21,724
141,2013-05-22,800
142,2013-05-23,640
143,2013-05-24,702
144,2013-05-25,758
145,2013-05-26,1062
146,2013-05-27,1441
147,2013-05-28,1401
148,2013-05-29,1384
149,2013-05-30,1408
150,2013-05-31,1264
151,2013-06-01,1186
152,2013-06-02,1423
153,2013-06-03,1567
154,2013-06-04,1521
155,2013-06-05,1461
156,2013-06-06,1512
157,2013-06-07,1339
158,2013-06-08,1046
159,2013-06-09,1117
160,2013-06-10,916
161,2013-06-11,940
162,2013-06-12,996
163,2013-06-13,1029
164,2013-06-14,1119
165,2013-06-15,1280
166,2013-06-16,1015
167,2013-06-17,1400
168,2013-06-18,1239
169,2013-06-19,1346
170,2013-06-20,1521
171,2013-06-21,1521
172,2013-06-22,1274
173,2013-06-23,1282
174,2013-06-24,1200
175,2013-06-25,1138
176,2013-06-26,1100
177,2013-06-27,1119
178,2013-06-28,1014
179,2013-06-29,915
180,2013-06-30,933
181,2013-07-01,1041
182,2013-07-02,1737
183,2013-07-03,1850
184,2013-07-04,1758
185,2013-07-05,1629
186,2013-07-06,1617
187,2013-07-07,1536
188,2013-07-08,1542
189,2013-07-09,2001
190,2013-07-10,2035
191,2013-07-11,2351
192,2013-07-12,1896
193,2013-07-13,1788
194,2013-07-14,1758
195,2013-07-15,1881
196,2013-07-16,1833
197,2013-07-17,1888
198,2013-07-18,1857
199,2013-07-19,1854
200,2013-07-20,1740
201,2013-07-21,1759
202,2013-07-22,2019
203,2013-07-23,1888
204,2013-07-24,1912
205,2013-07-25,2008
206,2013-07-26,1856
207,2013-07-27,1873
208,2013-07-28,1835
209,2013-07-29,1899
210,2013-07-30,1908
211,2013-07-31,1997
212,2013-08-01,2057
213,2013-08-02,2079
214,2013-08-03,2018
215,2013-08-04,2060
216,2013-08-05,2197
217,2013-08-06,2369
218,2013-08-07,2546
219,2013-08-08,2375
220,2013-08-09,2749
221,2013-08-10,2344
222,2013-08-11,2359
223,2013-08-12,2548
224,2013-08-13,2816
225,2013-08-14,2590
226,2013-08-15,2929
227,2013-08-16,2879
228,2013-08-17,2482
229,2013-08-18,2312
230,2013-08-19,2488
231,2013-08-20,2487
232,2013-08-21,2497
233,2013-08-22,2704
234,2013-08-23,2554
235,2013-08-24,2296
236,2013-08-25,2384
237,2013-08-26,2478
238,2013-08-27,2602
239,2013-08-28,6117
240,2013-08-29,6965
241,2013-08-30,4844
242,2013-08-31,3476
243,2013-09-01,3146
244,2013-09-02,4046
245,2013-09-03,4620
246,2013-09-04,5531
247,2013-09-05,6443
248,2013-09-06,5379
249,2013-09-07,4119
250,2013-09-08,3984
251,2013-09-09,3755
252,2013-09-10,3611
253,2013-09-11,3291
254,2013-09-12,3448
255,2013-09-13,4471
256,2013-09-14,4070
257,2013-09-15,4066
258,2013-09-16,3553
259,2013-09-17,4231
260,2013-09-18,3743
261,2013-09-19,3498
262,2013-09-20,4500
263,2013-09-21,4912
264,2013-09-22,4249
265,2013-09-23,4815
266,2013-09-24,4472
267,2013-09-25,3847
268,2013-09-26,3733
269,2013-09-27,3621
270,2013-09-28,3676
271,2013-09-29,3560
272,2013-09-30,3663
273,2013-10-01,3398
274,2013-10-02,3387
275,2013-10-03,3369
276,2013-10-04,3474
277,2013-10-05,3379
278,2013-10-06,3507
279,2013-10-07,3634
280,2013-10-08,3175
281,2013-10-09,3031
282,2013-10-10,3189
283,2013-10-11,3237
284,2013-10-12,3116
285,2013-10-13,3093
286,2013-10-14,3181
287,2013-10-15,3049
288,2013-10-16,2883
289,2013-10-17,2906
290,2013-10-18,3084
291,2013-10-19,3137
292,2013-10-20,3176
293,2013-10-21,2903
294,2013-10-22,2945
295,2013-10-23,2930
296,2013-10-24,3528
297,2013-10-25,3294
298,2013-10-26,3231
299,2013-10-27,3220
300,2013-10-28,3312
301,2013-10-29,3159
302,2013-10-30,3062
303,2013-10-31,2847
304,2013-11-01,2967
305,2013-11-02,2895
306,2013-11-03,3375
307,2013-11-04,3058
308,2013-11-05,3022
309,2013-11-06,3211
310,2013-11-07,2898
311,2013-11-08,2696
312,2013-11-09,2874
313,2013-11-10,2748
314,2013-11-11,2546
315,2013-11-12,2652
316,2013-11-13,2944
317,2013-11-14,2942
318,2013-11-15,2533
319,2013-11-16,2834
320,2013-11-17,3100
321,2013-11-18,2910
322,2013-11-19,2791
323,2013-11-20,2838
324,2013-11-21,2879
325,2013-11-22,2665
326,2013-11-23,2665
327,2013-11-24,2818
328,2013-11-25,2520
329,2013-11-26,2580
330,2013-11-27,2455
331,2013-11-28,2379
332,2013-11-29,2217
333,2013-11-30,2291
334,2013-12-01,2505
335,2013-12-02,2369
336,2013-12-03,2301
337,2013-12-04,2191
338,2013-12-05,2384
