小公举,Date,DecryptedData
0,2015-01-01,
1,2015-01-02,
2,2015-01-03,
3,2015-01-04,
4,2015-01-05,
5,2015-01-06,60
6,2015-01-07,
7,2015-01-08,
8,2015-01-09,
9,2015-01-10,
10,2015-01-11,
11,2015-01-12,
12,2015-01-13,
13,2015-01-14,128
14,2015-01-15,
15,2015-01-16,66
16,2015-01-17,60
17,2015-01-18,
18,2015-01-19,63
19,2015-01-20,
20,2015-01-21,60
21,2015-01-22,60
22,2015-01-23,
23,2015-01-24,60
24,2015-01-25,123
25,2015-01-26,
26,2015-01-27,66
27,2015-01-28,
28,2015-01-29,61
29,2015-01-30,
30,2015-01-31,140
31,2015-02-01,
32,2015-02-02,60
33,2015-02-03,122
34,2015-02-04,
35,2015-02-05,61
36,2015-02-06,148
37,2015-02-07,155
38,2015-02-08,131
39,2015-02-09,69
40,2015-02-10,134
41,2015-02-11,69
42,2015-02-12,70
43,2015-02-13,74
44,2015-02-14,69
45,2015-02-15,78
46,2015-02-16,66
47,2015-02-17,135
48,2015-02-18,142
49,2015-02-19,73
50,2015-02-20,70
51,2015-02-21,135
52,2015-02-22,73
53,2015-02-23,193
54,2015-02-24,147
55,2015-02-25,151
56,2015-02-26,74
57,2015-02-27,66
58,2015-02-28,158
59,2015-03-01,167
60,2015-03-02,161
61,2015-03-03,132
62,2015-03-04,138
63,2015-03-05,137
64,2015-03-06,176
65,2015-03-07,149
66,2015-03-08,191
67,2015-03-09,178
68,2015-03-10,144
69,2015-03-11,130
70,2015-03-12,144
71,2015-03-13,152
72,2015-03-14,156
73,2015-03-15,156
74,2015-03-16,140
75,2015-03-17,149
76,2015-03-18,166
77,2015-03-19,61
78,2015-03-20,172
79,2015-03-21,146
80,2015-03-22,141
81,2015-03-23,143
82,2015-03-24,281
83,2015-03-25,233
84,2015-03-26,188
85,2015-03-27,206
86,2015-03-28,228
87,2015-03-29,192
88,2015-03-30,200
89,2015-03-31,168
90,2015-04-01,188
91,2015-04-02,177
92,2015-04-03,202
93,2015-04-04,196
94,2015-04-05,198
95,2015-04-06,239
96,2015-04-07,266
97,2015-04-08,266
98,2015-04-09,229
99,2015-04-10,190
100,2015-04-11,233
101,2015-04-12,233
102,2015-04-13,273
103,2015-04-14,231
104,2015-04-15,195
105,2015-04-16,258
106,2015-04-17,282
107,2015-04-18,291
108,2015-04-19,495
109,2015-04-20,595
110,2015-04-21,454
111,2015-04-22,364
112,2015-04-23,450
