广场舞,Date,DecryptedData
0,2013-01-01,34842
1,2013-01-02,38745
2,2013-01-03,41534
3,2013-01-04,42910
4,2013-01-05,42706
5,2013-01-06,42397
6,2013-01-07,41724
7,2013-01-08,43762
8,2013-01-09,44082
9,2013-01-10,44547
10,2013-01-11,43740
11,2013-01-12,41148
12,2013-01-13,42179
13,2013-01-14,45297
14,2013-01-15,47856
15,2013-01-16,47731
16,2013-01-17,46743
17,2013-01-18,45478
18,2013-01-19,42114
19,2013-01-20,44445
20,2013-01-21,48859
21,2013-01-22,48392
22,2013-01-23,46107
23,2013-01-24,43986
24,2013-01-25,43428
25,2013-01-26,42526
26,2013-01-27,41673
27,2013-01-28,44011
28,2013-01-29,44075
29,2013-01-30,45712
30,2013-01-31,47250
31,2013-02-01,41447
32,2013-02-02,37875
33,2013-02-03,38758
34,2013-02-04,37390
35,2013-02-05,35797
36,2013-02-06,30638
37,2013-02-07,30750
38,2013-02-08,25944
39,2013-02-09,19535
40,2013-02-10,37428
41,2013-02-11,36201
42,2013-02-12,37672
43,2013-02-13,38910
44,2013-02-14,42424
45,2013-02-15,42677
46,2013-02-16,47362
47,2013-02-17,49834
48,2013-02-18,55063
49,2013-02-19,53334
50,2013-02-20,52569
51,2013-02-21,55181
52,2013-02-22,52938
53,2013-02-23,51118
54,2013-02-24,50815
55,2013-02-25,60035
56,2013-02-26,68089
57,2013-02-27,66954
58,2013-02-28,64860
59,2013-03-01,69619
60,2013-03-02,60672
61,2013-03-03,59452
62,2013-03-04,59276
63,2013-03-05,63797
64,2013-03-06,69294
65,2013-03-07,67473
66,2013-03-08,62107
67,2013-03-09,66087
68,2013-03-10,71319
69,2013-03-11,75118
70,2013-03-12,77062
71,2013-03-13,72001
72,2013-03-14,69913
73,2013-03-15,69167
74,2013-03-16,73955
75,2013-03-17,69650
76,2013-03-18,72215
77,2013-03-19,81629
78,2013-03-20,79146
79,2013-03-21,74430
80,2013-03-22,71135
81,2013-03-23,72063
82,2013-03-24,73902
83,2013-03-25,78958
84,2013-03-26,82123
85,2013-03-27,74959
86,2013-03-28,82101
87,2013-03-29,80301
88,2013-03-30,76353
89,2013-03-31,72940
90,2013-04-01,79826
91,2013-04-02,76592
92,2013-04-03,75177
93,2013-04-04,71158
94,2013-04-05,83878
95,2013-04-06,70158
96,2013-04-07,74567
97,2013-04-08,82714
98,2013-04-09,84657
99,2013-04-10,78882
100,2013-04-11,81664
101,2013-04-12,78727
102,2013-04-13,75472
103,2013-04-14,75379
104,2013-04-15,82995
105,2013-04-16,89613
106,2013-04-17,86014
107,2013-04-18,91895
108,2013-04-19,95372
109,2013-04-20,78719
110,2013-04-21,73118
111,2013-04-22,90043
112,2013-04-23,84362
113,2013-04-24,82113
114,2013-04-25,83142
115,2013-04-26,81188
116,2013-04-27,79367
117,2013-04-28,75979
118,2013-04-29,76145
119,2013-04-30,71776
120,2013-05-01,70326
121,2013-05-02,78976
122,2013-05-03,83068
123,2013-05-04,81553
124,2013-05-05,85996
125,2013-05-06,97687
126,2013-05-07,99682
127,2013-05-08,105924
128,2013-05-09,102029
129,2013-05-10,82025
130,2013-05-11,71437
131,2013-05-12,68717
132,2013-05-13,76223
133,2013-05-14,88191
134,2013-05-15,88168
135,2013-05-16,92258
136,2013-05-17,88518
137,2013-05-18,79459
138,2013-05-19,73896
139,2013-05-20,79804
140,2013-05-21,79636
141,2013-05-22,79353
142,2013-05-23,80926
143,2013-05-24,83619
144,2013-05-25,86234
145,2013-05-26,95312
146,2013-05-27,82331
147,2013-05-28,88845
148,2013-05-29,89375
149,2013-05-30,88295
150,2013-05-31,85172
151,2013-06-01,81697
152,2013-06-02,81282
153,2013-06-03,83109
154,2013-06-04,87609
155,2013-06-05,85268
156,2013-06-06,83271
157,2013-06-07,87474
158,2013-06-08,82103
159,2013-06-09,89102
160,2013-06-10,85104
161,2013-06-11,77289
162,2013-06-12,69700
163,2013-06-13,80709
164,2013-06-14,81770
165,2013-06-15,80948
166,2013-06-16,79272
167,2013-06-17,80970
168,2013-06-18,81206
169,2013-06-19,79754
170,2013-06-20,86466
171,2013-06-21,87315
172,2013-06-22,87579
173,2013-06-23,80931
174,2013-06-24,85591
175,2013-06-25,85113
176,2013-06-26,80128
177,2013-06-27,83408
178,2013-06-28,79743
179,2013-06-29,77313
180,2013-06-30,78458
181,2013-07-01,81706
182,2013-07-02,80797
183,2013-07-03,81201
184,2013-07-04,85534
185,2013-07-05,81226
186,2013-07-06,81791
187,2013-07-07,83609
188,2013-07-08,84754
189,2013-07-09,91265
190,2013-07-10,90781
191,2013-07-11,86837
192,2013-07-12,84689
193,2013-07-13,84475
194,2013-07-14,83978
195,2013-07-15,89468
196,2013-07-16,87861
197,2013-07-17,87864
198,2013-07-18,95490
199,2013-07-19,88878
200,2013-07-20,86825
201,2013-07-21,85433
202,2013-07-22,89545
203,2013-07-23,90730
204,2013-07-24,87122
205,2013-07-25,85728
