我去年买了个表,Date,DecryptedData
0,2013-01-01,123
1,2013-01-02,60
2,2013-01-03,60
3,2013-01-04,63
4,2013-01-05,60
5,2013-01-06,61
6,2013-01-07,58
7,2013-01-08,128
8,2013-01-09,61
9,2013-01-10,63
10,2013-01-11,63
11,2013-01-12,61
12,2013-01-13,
13,2013-01-14,61
14,2013-01-15,57
15,2013-01-16,58
16,2013-01-17,137
17,2013-01-18,127
18,2013-01-19,119
19,2013-01-20,63
20,2013-01-21,134
21,2013-01-22,128
22,2013-01-23,135
23,2013-01-24,674
24,2013-01-25,581
25,2013-01-26,453
26,2013-01-27,327
27,2013-01-28,462
28,2013-01-29,968
29,2013-01-30,3855
30,2013-01-31,1635
31,2013-02-01,3495
32,2013-02-02,3177
33,2013-02-03,2510
34,2013-02-04,3889
35,2013-02-05,4423
36,2013-02-06,6164
37,2013-02-07,4726
38,2013-02-08,5250
39,2013-02-09,3372
40,2013-02-10,2997
41,2013-02-11,3229
42,2013-02-12,3625
43,2013-02-13,3277
44,2013-02-14,4249
45,2013-02-15,4837
46,2013-02-16,6550
47,2013-02-17,6707
48,2013-02-18,9450
49,2013-02-19,9791
50,2013-02-20,9936
51,2013-02-21,10560
52,2013-02-22,11590
53,2013-02-23,11895
54,2013-02-24,11514
55,2013-02-25,11087
56,2013-02-26,11631
57,2013-02-27,12188
58,2013-02-28,12265
59,2013-03-01,12917
60,2013-03-02,12670
61,2013-03-03,13191
62,2013-03-04,14561
63,2013-03-05,15174
64,2013-03-06,16682
65,2013-03-07,16305
66,2013-03-08,14444
67,2013-03-09,15780
68,2013-03-10,14795
69,2013-03-11,14941
70,2013-03-12,15690
71,2013-03-13,16754
72,2013-03-14,16777
73,2013-03-15,17239
74,2013-03-16,16678
75,2013-03-17,16776
76,2013-03-18,17601
77,2013-03-19,18675
78,2013-03-20,18047
79,2013-03-21,17641
80,2013-03-22,17942
81,2013-03-23,16258
82,2013-03-24,16030
83,2013-03-25,17027
84,2013-03-26,18222
85,2013-03-27,18294
86,2013-03-28,17960
87,2013-03-29,15934
88,2013-03-30,14449
89,2013-03-31,14409
90,2013-04-01,16713
91,2013-04-02,15319
92,2013-04-03,14977
93,2013-04-04,18559
94,2013-04-05,16206
95,2013-04-06,13533
96,2013-04-07,14707
97,2013-04-08,14468
98,2013-04-09,14055
99,2013-04-10,14106
100,2013-04-11,14364
101,2013-04-12,13220
102,2013-04-13,12470
