我想静静,Date,DecryptedData
0,2015-01-01,900
1,2015-01-02,941
2,2015-01-03,1038
3,2015-01-04,1241
4,2015-01-05,1137
5,2015-01-06,1216
6,2015-01-07,1280
7,2015-01-08,1292
8,2015-01-09,1373
9,2015-01-10,1186
10,2015-01-11,1276
11,2015-01-12,1430
12,2015-01-13,1523
13,2015-01-14,1730
14,2015-01-15,1875
15,2015-01-16,1782
16,2015-01-17,1773
17,2015-01-18,1827
18,2015-01-19,2018
19,2015-01-20,1971
20,2015-01-21,1945
21,2015-01-22,1939
22,2015-01-23,1913
23,2015-01-24,1643
24,2015-01-25,1653
25,2015-01-26,1933
26,2015-01-27,2095
27,2015-01-28,2262
28,2015-01-29,2316
29,2015-01-30,2259
30,2015-01-31,2117
31,2015-02-01,1998
32,2015-02-02,2121
33,2015-02-03,2147
34,2015-02-04,2207
35,2015-02-05,2245
36,2015-02-06,2032
37,2015-02-07,1818
38,2015-02-08,1857
39,2015-02-09,2090
40,2015-02-10,2061
41,2015-02-11,2062
42,2015-02-12,1974
43,2015-02-13,1916
44,2015-02-14,1873
45,2015-02-15,1842
46,2015-02-16,1640
47,2015-02-17,1589
48,2015-02-18,1344
49,2015-02-19,1455
50,2015-02-20,1621
51,2015-02-21,1460
52,2015-02-22,1442
53,2015-02-23,1430
54,2015-02-24,1552
55,2015-02-25,1716
56,2015-02-26,1704
57,2015-02-27,1796
58,2015-02-28,2062
59,2015-03-01,1771
60,2015-03-02,2007
61,2015-03-03,2162
62,2015-03-04,2165
63,2015-03-05,1884
64,2015-03-06,1737
65,2015-03-07,1735
66,2015-03-08,1691
67,2015-03-09,1825
68,2015-03-10,1823
69,2015-03-11,1894
70,2015-03-12,1675
71,2015-03-13,1823
72,2015-03-14,1892
73,2015-03-15,1841
74,2015-03-16,1922
75,2015-03-17,1966
76,2015-03-18,1935
77,2015-03-19,2022
78,2015-03-20,2045
79,2015-03-21,1863
80,2015-03-22,1793
81,2015-03-23,2005
82,2015-03-24,1922
83,2015-03-25,2006
84,2015-03-26,2010
85,2015-03-27,1832
86,2015-03-28,1670
87,2015-03-29,1789
88,2015-03-30,1889
89,2015-03-31,1831
90,2015-04-01,2072
91,2015-04-02,1913
92,2015-04-03,1954
93,2015-04-04,1812
94,2015-04-05,1803
95,2015-04-06,1722
96,2015-04-07,1806
97,2015-04-08,1642
98,2015-04-09,1762
99,2015-04-10,1741
100,2015-04-11,1595
101,2015-04-12,1591
102,2015-04-13,1740
103,2015-04-14,1683
104,2015-04-15,1863
105,2015-04-16,1983
106,2015-04-17,1962
107,2015-04-18,2046
108,2015-04-19,2254
109,2015-04-20,2177
110,2015-04-21,2283
111,2015-04-22,2317
112,2015-04-23,2251
113,2015-04-24,2248
114,2015-04-25,2377
115,2015-04-26,3273
116,2015-04-27,2747
117,2015-04-28,2899
118,2015-04-29,2937
119,2015-04-30,2811
120,2015-05-01,2600
121,2015-05-02,3417
122,2015-05-03,3547
123,2015-05-04,3250
124,2015-05-05,3243
125,2015-05-06,3061
126,2015-05-07,3194
127,2015-05-08,3105
128,2015-05-09,3011
129,2015-05-10,2951
130,2015-05-11,3037
131,2015-05-12,3039
132,2015-05-13,3221
133,2015-05-14,3314
134,2015-05-15,3271
135,2015-05-16,3757
136,2015-05-17,4123
137,2015-05-18,3541
138,2015-05-19,3351
139,2015-05-20,3475
140,2015-05-21,3203
141,2015-05-22,3338
142,2015-05-23,4538
143,2015-05-24,5512
144,2015-05-25,6238
145,2015-05-26,6742
146,2015-05-27,6711
147,2015-05-28,7290
148,2015-05-29,6806
149,2015-05-30,6546
150,2015-05-31,6058
151,2015-06-01,5386
152,2015-06-02,5733
153,2015-06-03,5977
154,2015-06-04,6355
155,2015-06-05,6567
156,2015-06-06,7136
157,2015-06-07,7573
158,2015-06-08,7867
159,2015-06-09,8904
160,2015-06-10,10000
161,2015-06-11,10228
162,2015-06-12,9987
163,2015-06-13,10293
164,2015-06-14,9986
165,2015-06-15,9072
166,2015-06-16,8797
167,2015-06-17,7960
168,2015-06-18,7745
169,2015-06-19,7466
170,2015-06-20,7256
171,2015-06-21,6946
172,2015-06-22,6810
173,2015-06-23,6613
174,2015-06-24,6384
175,2015-06-25,6126
176,2015-06-26,6309
177,2015-06-27,6159
178,2015-06-28,6199
179,2015-06-29,6381
180,2015-06-30,5787
181,2015-07-01,5764
182,2015-07-02,5755
183,2015-07-03,5550
184,2015-07-04,5537
