手滑,Date,DecryptedData
0,2014-01-01,155
1,2014-01-02,134
2,2014-01-03,64
3,2014-01-04,134
4,2014-01-05,146
5,2014-01-06,139
6,2014-01-07,122
7,2014-01-08,140
8,2014-01-09,124
9,2014-01-10,135
10,2014-01-11,126
11,2014-01-12,74
12,2014-01-13,137
13,2014-01-14,130
14,2014-01-15,66
15,2014-01-16,142
16,2014-01-17,150
17,2014-01-18,136
18,2014-01-19,138
19,2014-01-20,159
20,2014-01-21,140
21,2014-01-22,127
22,2014-01-23,145
23,2014-01-24,152
24,2014-01-25,146
25,2014-01-26,127
26,2014-01-27,148
27,2014-01-28,125
28,2014-01-29,135
29,2014-01-30,141
30,2014-01-31,132
31,2014-02-01,131
32,2014-02-02,136
33,2014-02-03,130
34,2014-02-04,162
35,2014-02-05,385
36,2014-02-06,274
37,2014-02-07,205
38,2014-02-08,172
39,2014-02-09,180
40,2014-02-10,177
41,2014-02-11,161
42,2014-02-12,160
43,2014-02-13,146
44,2014-02-14,159
45,2014-02-15,152
46,2014-02-16,136
47,2014-02-17,131
48,2014-02-18,131
49,2014-02-19,144
50,2014-02-20,130
51,2014-02-21,138
52,2014-02-22,135
53,2014-02-23,135
54,2014-02-24,144
55,2014-02-25,129
56,2014-02-26,127
57,2014-02-27,134
58,2014-02-28,143
59,2014-03-01,139
60,2014-03-02,141
61,2014-03-03,133
62,2014-03-04,141
63,2014-03-05,127
64,2014-03-06,140
65,2014-03-07,152
66,2014-03-08,182
67,2014-03-09,157
68,2014-03-10,141
69,2014-03-11,70
70,2014-03-12,141
71,2014-03-13,146
72,2014-03-14,152
73,2014-03-15,141
74,2014-03-16,147
75,2014-03-17,141
76,2014-03-18,155
77,2014-03-19,142
78,2014-03-20,154
79,2014-03-21,141
80,2014-03-22,146
81,2014-03-23,154
82,2014-03-24,140
83,2014-03-25,141
84,2014-03-26,139
85,2014-03-27,130
86,2014-03-28,139
87,2014-03-29,152
88,2014-03-30,148
89,2014-03-31,158
90,2014-04-01,136
91,2014-04-02,146
92,2014-04-03,150
93,2014-04-04,132
94,2014-04-05,137
95,2014-04-06,166
96,2014-04-07,144
97,2014-04-08,153
98,2014-04-09,144
99,2014-04-10,136
100,2014-04-11,133
101,2014-04-12,145
102,2014-04-13,134
103,2014-04-14,130
104,2014-04-15,139
105,2014-04-16,143
106,2014-04-17,57
107,2014-04-18,133
108,2014-04-19,142
109,2014-04-20,159
110,2014-04-21,134
111,2014-04-22,137
112,2014-04-23,70
113,2014-04-24,129
114,2014-04-25,145
115,2014-04-26,152
116,2014-04-27,160
117,2014-04-28,148
118,2014-04-29,152
119,2014-04-30,137
120,2014-05-01,153
121,2014-05-02,163
122,2014-05-03,162
123,2014-05-04,165
124,2014-05-05,153
125,2014-05-06,161
126,2014-05-07,172
127,2014-05-08,150
128,2014-05-09,142
129,2014-05-10,168
130,2014-05-11,157
131,2014-05-12,141
132,2014-05-13,164
133,2014-05-14,158
134,2014-05-15,173
135,2014-05-16,165
136,2014-05-17,152
137,2014-05-18,135
138,2014-05-19,156
139,2014-05-20,163
140,2014-05-21,160
141,2014-05-22,163
142,2014-05-23,137
143,2014-05-24,171
144,2014-05-25,157
145,2014-05-26,144
146,2014-05-27,152
147,2014-05-28,129
148,2014-05-29,153
149,2014-05-30,145
150,2014-05-31,139
151,2014-06-01,154
152,2014-06-02,152
153,2014-06-03,148
154,2014-06-04,155
155,2014-06-05,153
156,2014-06-06,153
157,2014-06-07,144
158,2014-06-08,159
159,2014-06-09,151
160,2014-06-10,147
161,2014-06-11,147
162,2014-06-12,145
163,2014-06-13,141
164,2014-06-14,146
165,2014-06-15,133
166,2014-06-16,153
167,2014-06-17,148
168,2014-06-18,149
169,2014-06-19,167
170,2014-06-20,147
171,2014-06-21,139
172,2014-06-22,147
173,2014-06-23,136
174,2014-06-24,157
175,2014-06-25,142
176,2014-06-26,152
177,2014-06-27,142
178,2014-06-28,148
179,2014-06-29,153
180,2014-06-30,198
181,2014-07-01,185
182,2014-07-02,176
183,2014-07-03,198
184,2014-07-04,169
185,2014-07-05,161
186,2014-07-06,154
187,2014-07-07,171
188,2014-07-08,158
189,2014-07-09,180
190,2014-07-10,165
191,2014-07-11,142
192,2014-07-12,193
193,2014-07-13,190
194,2014-07-14,176
195,2014-07-15,204
196,2014-07-16,178
197,2014-07-17,149
198,2014-07-18,155
199,2014-07-19,163
200,2014-07-20,152
201,2014-07-21,226
202,2014-07-22,191
203,2014-07-23,174
204,2014-07-24,176
205,2014-07-25,165
206,2014-07-26,161
207,2014-07-27,171
208,2014-07-28,159
209,2014-07-29,177
210,2014-07-30,196
211,2014-07-31,156
212,2014-08-01,161
213,2014-08-02,155
214,2014-08-03,142
215,2014-08-04,150
216,2014-08-05,139
217,2014-08-06,156
218,2014-08-07,168
219,2014-08-08,163
220,2014-08-09,141
221,2014-08-10,164
222,2014-08-11,144
223,2014-08-12,153
224,2014-08-13,165
225,2014-08-14,141
226,2014-08-15,147
227,2014-08-16,146
228,2014-08-17,140
229,2014-08-18,160
230,2014-08-19,166
231,2014-08-20,167
232,2014-08-21,163
233,2014-08-22,147
234,2014-08-23,150
235,2014-08-24,149
236,2014-08-25,154
237,2014-08-26,169
238,2014-08-27,150
239,2014-08-28,159
240,2014-08-29,150
241,2014-08-30,146
242,2014-08-31,161
243,2014-09-01,144
244,2014-09-02,136
245,2014-09-03,140
246,2014-09-04,146
247,2014-09-05,148
248,2014-09-06,145
249,2014-09-07,151
250,2014-09-08,160
251,2014-09-09,135
252,2014-09-10,141
253,2014-09-11,141
254,2014-09-12,127
255,2014-09-13,159
256,2014-09-14,157
257,2014-09-15,145
258,2014-09-16,157
259,2014-09-17,148
260,2014-09-18,147
261,2014-09-19,137
262,2014-09-20,149
263,2014-09-21,156
264,2014-09-22,143
265,2014-09-23,153
266,2014-09-24,156
267,2014-09-25,161
268,2014-09-26,140
269,2014-09-27,145
270,2014-09-28,161
271,2014-09-29,134
272,2014-09-30,152
273,2014-10-01,148
274,2014-10-02,182
275,2014-10-03,205
276,2014-10-04,216
277,2014-10-05,191
278,2014-10-06,174
279,2014-10-07,193
280,2014-10-08,168
281,2014-10-09,151
282,2014-10-10,161
283,2014-10-11,162
284,2014-10-12,156
285,2014-10-13,164
286,2014-10-14,137
287,2014-10-15,150
288,2014-10-16,164
289,2014-10-17,144
290,2014-10-18,148
291,2014-10-19,170
292,2014-10-20,148
293,2014-10-21,162
294,2014-10-22,146
295,2014-10-23,157
296,2014-10-24,139
297,2014-10-25,158
298,2014-10-26,153
299,2014-10-27,166
300,2014-10-28,149
301,2014-10-29,174
302,2014-10-30,159
303,2014-10-31,152
304,2014-11-01,156
305,2014-11-02,152
306,2014-11-03,157
307,2014-11-04,145
308,2014-11-05,144
309,2014-11-06,145
310,2014-11-07,161
311,2014-11-08,393
312,2014-11-09,1139
313,2014-11-10,633
314,2014-11-11,351
315,2014-11-12,244
316,2014-11-13,207
317,2014-11-14,188
318,2014-11-15,288
319,2014-11-16,233
320,2014-11-17,205
321,2014-11-18,215
322,2014-11-19,199
323,2014-11-20,177
324,2014-11-21,165
325,2014-11-22,177
326,2014-11-23,193
327,2014-11-24,194
328,2014-11-25,186
329,2014-11-26,172
330,2014-11-27,169
331,2014-11-28,185
332,2014-11-29,159
333,2014-11-30,169
334,2014-12-01,170
335,2014-12-02,153
336,2014-12-03,185
337,2014-12-04,202
338,2014-12-05,187
339,2014-12-06,271
340,2014-12-07,288
341,2014-12-08,220
342,2014-12-09,241
343,2014-12-10,235
344,2014-12-11,234
345,2014-12-12,215
346,2014-12-13,178
347,2014-12-14,225
348,2014-12-15,192
349,2014-12-16,176
350,2014-12-17,197
351,2014-12-18,217
352,2014-12-19,252
353,2014-12-20,205
354,2014-12-21,204
355,2014-12-22,184
356,2014-12-23,189
357,2014-12-24,187
358,2014-12-25,162
359,2014-12-26,207
360,2014-12-27,183
361,2014-12-28,178
362,2014-12-29,209
363,2014-12-30,328
364,2014-12-31,284
