捡肥皂,Date,DecryptedData
0,2013-01-01,428
1,2013-01-02,502
2,2013-01-03,421
3,2013-01-04,472
4,2013-01-05,450
5,2013-01-06,533
6,2013-01-07,628
7,2013-01-08,794
8,2013-01-09,555
9,2013-01-10,490
10,2013-01-11,589
11,2013-01-12,514
12,2013-01-13,479
13,2013-01-14,785
14,2013-01-15,540
15,2013-01-16,482
16,2013-01-17,620
17,2013-01-18,523
18,2013-01-19,482
19,2013-01-20,534
20,2013-01-21,462
21,2013-01-22,529
22,2013-01-23,532
23,2013-01-24,433
24,2013-01-25,637
25,2013-01-26,564
26,2013-01-27,523
27,2013-01-28,784
28,2013-01-29,1112
29,2013-01-30,1191
30,2013-01-31,974
31,2013-02-01,751
32,2013-02-02,595
33,2013-02-03,620
34,2013-02-04,707
35,2013-02-05,589
36,2013-02-06,509
37,2013-02-07,580
38,2013-02-08,572
39,2013-02-09,484
40,2013-02-10,677
41,2013-02-11,425
42,2013-02-12,609
43,2013-02-13,614
44,2013-02-14,553
45,2013-02-15,575
46,2013-02-16,677
47,2013-02-17,671
48,2013-02-18,791
49,2013-02-19,914
50,2013-02-20,853
51,2013-02-21,819
52,2013-02-22,951
53,2013-02-23,911
54,2013-02-24,904
55,2013-02-25,848
56,2013-02-26,1048
57,2013-02-27,1148
58,2013-02-28,958
59,2013-03-01,967
60,2013-03-02,1050
61,2013-03-03,1309
62,2013-03-04,1030
63,2013-03-05,836
64,2013-03-06,887
65,2013-03-07,753
66,2013-03-08,791
67,2013-03-09,848
68,2013-03-10,850
69,2013-03-11,850
70,2013-03-12,780
71,2013-03-13,1017
72,2013-03-14,1121
73,2013-03-15,929
74,2013-03-16,1086
75,2013-03-17,972
76,2013-03-18,849
77,2013-03-19,862
78,2013-03-20,787
79,2013-03-21,822
80,2013-03-22,884
81,2013-03-23,789
82,2013-03-24,738
83,2013-03-25,756
84,2013-03-26,811
85,2013-03-27,860
86,2013-03-28,901
87,2013-03-29,882
88,2013-03-30,872
89,2013-03-31,972
90,2013-04-01,871
91,2013-04-02,703
92,2013-04-03,838
93,2013-04-04,797
94,2013-04-05,728
95,2013-04-06,740
96,2013-04-07,762
97,2013-04-08,772
98,2013-04-09,746
99,2013-04-10,780
100,2013-04-11,718
101,2013-04-12,768
102,2013-04-13,601
103,2013-04-14,673
104,2013-04-15,738
105,2013-04-16,741
106,2013-04-17,701
107,2013-04-18,879
108,2013-04-19,763
109,2013-04-20,688
110,2013-04-21,614
111,2013-04-22,863
112,2013-04-23,862
113,2013-04-24,777
114,2013-04-25,780
115,2013-04-26,854
116,2013-04-27,1221
117,2013-04-28,1215
118,2013-04-29,1700
119,2013-04-30,1576
120,2013-05-01,1563
121,2013-05-02,1381
122,2013-05-03,1532
123,2013-05-04,1430
124,2013-05-05,1535
125,2013-05-06,1417
126,2013-05-07,1341
127,2013-05-08,1304
