柠檬精,Date,DecryptedData
0,2019-01-01,
1,2019-01-02,
2,2019-01-03,
3,2019-01-04,
4,2019-01-05,
5,2019-01-06,
6,2019-01-07,
7,2019-01-08,
8,2019-01-09,
9,2019-01-10,
10,2019-01-11,
11,2019-01-12,
12,2019-01-13,
13,2019-01-14,
14,2019-01-15,
15,2019-01-16,
16,2019-01-17,
17,2019-01-18,
18,2019-01-19,
19,2019-01-20,
20,2019-01-21,
21,2019-01-22,
22,2019-01-23,
23,2019-01-24,
24,2019-01-25,
25,2019-01-26,
26,2019-01-27,
27,2019-01-28,
28,2019-01-29,
29,2019-01-30,
30,2019-01-31,3883
31,2019-02-01,3454
32,2019-02-02,4222
33,2019-02-03,3610
34,2019-02-04,3663
35,2019-02-05,2821
36,2019-02-06,3341
37,2019-02-07,3745
38,2019-02-08,3473
39,2019-02-09,3194
40,2019-02-10,3892
41,2019-02-11,4597
42,2019-02-12,4512
43,2019-02-13,6018
44,2019-02-14,18434
45,2019-02-15,8281
46,2019-02-16,4585
47,2019-02-17,3668
48,2019-02-18,4593
49,2019-02-19,4580
50,2019-02-20,3868
51,2019-02-21,3892
52,2019-02-22,3767
53,2019-02-23,3379
54,2019-02-24,4904
55,2019-02-25,4126
56,2019-02-26,4271
57,2019-02-27,4514
58,2019-02-28,5451
59,2019-03-01,4929
60,2019-03-02,4808
61,2019-03-03,5417
62,2019-03-04,5443
63,2019-03-05,4913
64,2019-03-06,4466
65,2019-03-07,5082
66,2019-03-08,5128
67,2019-03-09,4347
68,2019-03-10,5450
69,2019-03-11,4551
70,2019-03-12,4299
71,2019-03-13,4336
72,2019-03-14,4293
73,2019-03-15,4038
74,2019-03-16,5196
75,2019-03-17,4524
76,2019-03-18,4161
77,2019-03-19,4429
78,2019-03-20,3948
79,2019-03-21,4272
80,2019-03-22,3802
81,2019-03-23,3431
82,2019-03-24,3643
83,2019-03-25,3453
84,2019-03-26,3577
85,2019-03-27,3339
86,2019-03-28,3128
87,2019-03-29,3780
88,2019-03-30,3693
89,2019-03-31,3803
90,2019-04-01,3820
91,2019-04-02,3442
92,2019-04-03,3500
93,2019-04-04,3770
94,2019-04-05,3589
95,2019-04-06,4001
96,2019-04-07,3939
97,2019-04-08,3853
98,2019-04-09,3551
99,2019-04-10,3675
100,2019-04-11,3400
101,2019-04-12,3167
102,2019-04-13,3158
103,2019-04-14,3383
104,2019-04-15,3123
105,2019-04-16,2958
106,2019-04-17,2893
107,2019-04-18,3154
108,2019-04-19,2997
109,2019-04-20,3308
110,2019-04-21,4344
111,2019-04-22,3365
112,2019-04-23,3056
113,2019-04-24,2879
114,2019-04-25,2939
115,2019-04-26,2759
116,2019-04-27,2680
117,2019-04-28,3114
118,2019-04-29,2968
119,2019-04-30,3225
120,2019-05-01,2972
121,2019-05-02,2957
122,2019-05-03,4136
123,2019-05-04,3745
124,2019-05-05,3359
125,2019-05-06,3356
126,2019-05-07,3329
127,2019-05-08,3490
128,2019-05-09,3253
129,2019-05-10,3380
130,2019-05-11,3149
131,2019-05-12,3180
132,2019-05-13,3333
133,2019-05-14,3338
134,2019-05-15,3343
135,2019-05-16,3476
136,2019-05-17,3280
137,2019-05-18,3169
138,2019-05-19,3874
139,2019-05-20,10976
140,2019-05-21,4987
141,2019-05-22,3498
142,2019-05-23,3122
143,2019-05-24,3227
144,2019-05-25,3214
145,2019-05-26,3133
146,2019-05-27,3330
147,2019-05-28,3003
148,2019-05-29,2862
149,2019-05-30,2740
150,2019-05-31,2688
151,2019-06-01,2696
152,2019-06-02,2602
153,2019-06-03,2488
154,2019-06-04,2432
155,2019-06-05,2638
156,2019-06-06,2575
157,2019-06-07,2476
