栓Q,Date,DecryptedData
0,2022-01-01,
1,2022-01-02,
2,2022-01-03,
3,2022-01-04,
4,2022-01-05,
5,2022-01-06,
6,2022-01-07,
7,2022-01-08,
8,2022-01-09,
9,2022-01-10,
10,2022-01-11,
11,2022-01-12,
12,2022-01-13,
13,2022-01-14,
14,2022-01-15,
15,2022-01-16,
16,2022-01-17,
17,2022-01-18,
18,2022-01-19,
19,2022-01-20,
20,2022-01-21,
21,2022-01-22,
22,2022-01-23,
23,2022-01-24,
24,2022-01-25,
25,2022-01-26,
26,2022-01-27,
27,2022-01-28,
28,2022-01-29,
29,2022-01-30,
30,2022-01-31,
31,2022-02-01,
32,2022-02-02,
33,2022-02-03,
34,2022-02-04,
35,2022-02-05,
36,2022-02-06,
37,2022-02-07,
38,2022-02-08,
39,2022-02-09,
40,2022-02-10,
41,2022-02-11,
42,2022-02-12,
43,2022-02-13,
44,2022-02-14,
45,2022-02-15,
46,2022-02-16,
47,2022-02-17,
48,2022-02-18,
49,2022-02-19,
50,2022-02-20,
51,2022-02-21,
52,2022-02-22,
53,2022-02-23,
54,2022-02-24,
55,2022-02-25,
56,2022-02-26,
57,2022-02-27,
58,2022-02-28,
59,2022-03-01,
60,2022-03-02,
61,2022-03-03,
62,2022-03-04,
63,2022-03-05,
64,2022-03-06,
65,2022-03-07,
66,2022-03-08,
67,2022-03-09,
68,2022-03-10,
69,2022-03-11,
70,2022-03-12,
71,2022-03-13,
72,2022-03-14,
73,2022-03-15,
74,2022-03-16,
75,2022-03-17,
76,2022-03-18,
77,2022-03-19,
78,2022-03-20,
79,2022-03-21,
80,2022-03-22,
81,2022-03-23,
82,2022-03-24,
83,2022-03-25,
84,2022-03-26,
85,2022-03-27,
86,2022-03-28,
87,2022-03-29,
88,2022-03-30,2705
89,2022-03-31,2650
90,2022-04-01,2684
91,2022-04-02,2591
92,2022-04-03,2482
93,2022-04-04,2688
94,2022-04-05,2715
95,2022-04-06,3134
96,2022-04-07,2676
97,2022-04-08,2880
98,2022-04-09,2473
99,2022-04-10,2557
100,2022-04-11,3544
101,2022-04-12,3416
102,2022-04-13,3442
103,2022-04-14,4799
104,2022-04-15,4930
105,2022-04-16,4333
106,2022-04-17,4703
107,2022-04-18,4912
108,2022-04-19,4533
109,2022-04-20,5388
110,2022-04-21,5952
111,2022-04-22,6324
112,2022-04-23,12304
113,2022-04-24,11926
114,2022-04-25,8785
115,2022-04-26,14167
116,2022-04-27,13781
117,2022-04-28,16809
118,2022-04-29,17259
119,2022-04-30,17596
120,2022-05-01,16074
121,2022-05-02,14305
122,2022-05-03,14064
123,2022-05-04,14771
124,2022-05-05,15104
125,2022-05-06,16330
126,2022-05-07,15532
127,2022-05-08,15506
128,2022-05-09,12523
129,2022-05-10,6927
130,2022-05-11,6758
131,2022-05-12,6158
132,2022-05-13,5953
133,2022-05-14,5360
134,2022-05-15,5460
135,2022-05-16,5938
136,2022-05-17,6335
137,2022-05-18,5534
138,2022-05-19,5517
139,2022-05-20,6278
140,2022-05-21,5664
141,2022-05-22,5507
142,2022-05-23,5032
143,2022-05-24,6778
