洪荒之力,Date,DecryptedData
0,2016-01-01,1832
1,2016-01-02,2237
2,2016-01-03,2203
3,2016-01-04,2240
4,2016-01-05,2219
5,2016-01-06,2306
6,2016-01-07,2207
7,2016-01-08,2023
8,2016-01-09,1847
9,2016-01-10,1936
10,2016-01-11,2154
11,2016-01-12,2405
12,2016-01-13,2308
13,2016-01-14,2268
14,2016-01-15,2286
15,2016-01-16,2255
16,2016-01-17,2107
17,2016-01-18,2164
18,2016-01-19,2120
19,2016-01-20,2058
20,2016-01-21,2255
21,2016-01-22,2354
22,2016-01-23,2280
23,2016-01-24,2347
24,2016-01-25,2152
25,2016-01-26,2045
26,2016-01-27,2175
27,2016-01-28,1960
28,2016-01-29,1984
29,2016-01-30,1698
30,2016-01-31,1667
31,2016-02-01,1769
32,2016-02-02,1697
33,2016-02-03,1797
34,2016-02-04,1595
35,2016-02-05,1397
36,2016-02-06,1316
37,2016-02-07,1191
38,2016-02-08,1322
39,2016-02-09,1281
40,2016-02-10,1305
41,2016-02-11,1294
42,2016-02-12,1316
43,2016-02-13,1392
44,2016-02-14,1607
45,2016-02-15,1604
46,2016-02-16,1616
47,2016-02-17,1736
48,2016-02-18,1756
49,2016-02-19,1760
50,2016-02-20,1508
51,2016-02-21,1533
52,2016-02-22,1773
53,2016-02-23,1882
54,2016-02-24,1803
55,2016-02-25,1799
56,2016-02-26,1651
57,2016-02-27,1571
58,2016-02-28,1479
59,2016-02-29,1579
60,2016-03-01,1652
61,2016-03-02,1654
62,2016-03-03,1626
63,2016-03-04,1637
64,2016-03-05,1597
65,2016-03-06,1553
66,2016-03-07,1684
67,2016-03-08,1651
68,2016-03-09,1599
69,2016-03-10,1592
70,2016-03-11,1568
71,2016-03-12,1345
72,2016-03-13,1455
73,2016-03-14,1525
74,2016-03-15,1504
75,2016-03-16,1548
76,2016-03-17,1501
77,2016-03-18,1558
78,2016-03-19,1595
79,2016-03-20,1459
80,2016-03-21,1618
81,2016-03-22,1551
82,2016-03-23,1571
83,2016-03-24,1511
84,2016-03-25,1464
85,2016-03-26,1381
86,2016-03-27,1382
87,2016-03-28,1468
88,2016-03-29,1387
89,2016-03-30,1429
90,2016-03-31,1386
91,2016-04-01,1337
92,2016-04-02,1348
93,2016-04-03,1303
94,2016-04-04,1349
95,2016-04-05,1372
96,2016-04-06,1421
97,2016-04-07,1413
98,2016-04-08,1450
99,2016-04-09,1482
100,2016-04-10,1586
101,2016-04-11,1457
102,2016-04-12,1509
103,2016-04-13,1528
104,2016-04-14,1418
105,2016-04-15,1441
106,2016-04-16,1328
107,2016-04-17,1080
108,2016-04-18,1434
109,2016-04-19,1175
110,2016-04-20,1436
111,2016-04-21,1429
112,2016-04-22,1564
113,2016-04-23,1610
114,2016-04-24,1728
115,2016-04-25,1633
116,2016-04-26,1608
117,2016-04-27,1587
