清真,Date,DecryptedData
0,2016-01-01,757
1,2016-01-02,803
2,2016-01-03,827
3,2016-01-04,877
4,2016-01-05,899
5,2016-01-06,877
6,2016-01-07,836
7,2016-01-08,849
8,2016-01-09,770
9,2016-01-10,793
10,2016-01-11,796
11,2016-01-12,810
12,2016-01-13,794
13,2016-01-14,816
14,2016-01-15,858
15,2016-01-16,761
16,2016-01-17,777
17,2016-01-18,783
18,2016-01-19,835
19,2016-01-20,802
20,2016-01-21,794
21,2016-01-22,722
22,2016-01-23,715
23,2016-01-24,719
24,2016-01-25,846
25,2016-01-26,903
26,2016-01-27,837
27,2016-01-28,764
28,2016-01-29,805
29,2016-01-30,697
30,2016-01-31,695
31,2016-02-01,837
32,2016-02-02,741
33,2016-02-03,808
34,2016-02-04,746
35,2016-02-05,843
36,2016-02-06,732
37,2016-02-07,603
38,2016-02-08,546
39,2016-02-09,669
40,2016-02-10,797
41,2016-02-11,799
42,2016-02-12,808
43,2016-02-13,801
44,2016-02-14,897
45,2016-02-15,883
46,2016-02-16,885
47,2016-02-17,815
48,2016-02-18,876
49,2016-02-19,808
50,2016-02-20,752
51,2016-02-21,783
52,2016-02-22,764
53,2016-02-23,754
54,2016-02-24,853
55,2016-02-25,938
56,2016-02-26,811
57,2016-02-27,864
58,2016-02-28,804
59,2016-02-29,834
60,2016-03-01,876
61,2016-03-02,838
62,2016-03-03,977
63,2016-03-04,927
64,2016-03-05,1129
65,2016-03-06,1225
66,2016-03-07,1101
67,2016-03-08,1061
68,2016-03-09,1034
69,2016-03-10,1174
70,2016-03-11,1076
71,2016-03-12,999
72,2016-03-13,940
73,2016-03-14,1001
74,2016-03-15,1016
75,2016-03-16,991
76,2016-03-17,1062
77,2016-03-18,959
78,2016-03-19,837
79,2016-03-20,1006
80,2016-03-21,1007
81,2016-03-22,1137
82,2016-03-23,1152
83,2016-03-24,1032
84,2016-03-25,1124
85,2016-03-26,963
86,2016-03-27,906
87,2016-03-28,943
88,2016-03-29,895
89,2016-03-30,912
90,2016-03-31,991
91,2016-04-01,867
92,2016-04-02,878
93,2016-04-03,901
94,2016-04-04,915
95,2016-04-05,863
96,2016-04-06,1006
97,2016-04-07,1016
98,2016-04-08,1000
99,2016-04-09,1052
100,2016-04-10,1176
101,2016-04-11,1118
102,2016-04-12,1092
103,2016-04-13,1045
104,2016-04-14,1033
105,2016-04-15,936
106,2016-04-16,957
107,2016-04-17,834
108,2016-04-18,1043
109,2016-04-19,1011
110,2016-04-20,1002
111,2016-04-21,1009
112,2016-04-22,1001
113,2016-04-23,1112
114,2016-04-24,1239
115,2016-04-25,1386
116,2016-04-26,1273
117,2016-04-27,1305
118,2016-04-28,1187
119,2016-04-29,1232
120,2016-04-30,2326
121,2016-05-01,1408
122,2016-05-02,1331
123,2016-05-03,1429
124,2016-05-04,1395
125,2016-05-05,1300
126,2016-05-06,1360
127,2016-05-07,1286
128,2016-05-08,1169
129,2016-05-09,1322
130,2016-05-10,1416
131,2016-05-11,1385
132,2016-05-12,1227
133,2016-05-13,1282
134,2016-05-14,1192
135,2016-05-15,1194
136,2016-05-16,1168
137,2016-05-17,1215
138,2016-05-18,1201
139,2016-05-19,1429
140,2016-05-20,1508
141,2016-05-21,1506
142,2016-05-22,2061
143,2016-05-23,3809
144,2016-05-24,4720
145,2016-05-25,5454
146,2016-05-26,5935
147,2016-05-27,4325
148,2016-05-28,3973
149,2016-05-29,3916
150,2016-05-30,4029
151,2016-05-31,4256
152,2016-06-01,4661
153,2016-06-02,3765
154,2016-06-03,3192
155,2016-06-04,3111
156,2016-06-05,3545
157,2016-06-06,3961
158,2016-06-07,3661
159,2016-06-08,3570
160,2016-06-09,3498
161,2016-06-10,3529
162,2016-06-11,3591
163,2016-06-12,3660
164,2016-06-13,5190
165,2016-06-14,4669
166,2016-06-15,4133
167,2016-06-16,3912
168,2016-06-17,3569
169,2016-06-18,3285
170,2016-06-19,3690
171,2016-06-20,3079
172,2016-06-21,3054
173,2016-06-22,2923
174,2016-06-23,2872
175,2016-06-24,2519
176,2016-06-25,2396
177,2016-06-26,2413
178,2016-06-27,2302
179,2016-06-28,2227
180,2016-06-29,2357
