爸爸去哪,Date,DecryptedData
0,2013-01-01,
1,2013-01-02,
2,2013-01-03,
3,2013-01-04,
4,2013-01-05,
5,2013-01-06,
6,2013-01-07,
7,2013-01-08,64
8,2013-01-09,57
9,2013-01-10,
10,2013-01-11,
11,2013-01-12,
12,2013-01-13,60
13,2013-01-14,125
14,2013-01-15,60
15,2013-01-16,
16,2013-01-17,57
17,2013-01-18,61
18,2013-01-19,
19,2013-01-20,61
20,2013-01-21,140
21,2013-01-22,118
22,2013-01-23,63
23,2013-01-24,57
24,2013-01-25,61
25,2013-01-26,64
26,2013-01-27,131
27,2013-01-28,138
28,2013-01-29,118
29,2013-01-30,
30,2013-01-31,
31,2013-02-01,
32,2013-02-02,63
33,2013-02-03,135
34,2013-02-04,135
35,2013-02-05,72
36,2013-02-06,78
37,2013-02-07,126
38,2013-02-08,146
39,2013-02-09,153
40,2013-02-10,174
41,2013-02-11,159
42,2013-02-12,133
43,2013-02-13,140
44,2013-02-14,80
45,2013-02-15,130
46,2013-02-16,148
47,2013-02-17,165
48,2013-02-18,209
49,2013-02-19,171
50,2013-02-20,129
51,2013-02-21,131
52,2013-02-22,74
53,2013-02-23,137
54,2013-02-24,160
55,2013-02-25,99
56,2013-02-26,135
57,2013-02-27,156
58,2013-02-28,83
59,2013-03-01,170
60,2013-03-02,163
61,2013-03-03,150
62,2013-03-04,217
63,2013-03-05,196
64,2013-03-06,209
65,2013-03-07,201
66,2013-03-08,207
67,2013-03-09,246
68,2013-03-10,312
69,2013-03-11,292
70,2013-03-12,294
71,2013-03-13,269
72,2013-03-14,262
73,2013-03-15,246
74,2013-03-16,254
75,2013-03-17,293
76,2013-03-18,334
77,2013-03-19,272
78,2013-03-20,246
79,2013-03-21,208
80,2013-03-22,237
81,2013-03-23,232
82,2013-03-24,293
83,2013-03-25,306
84,2013-03-26,254
85,2013-03-27,237
86,2013-03-28,214
87,2013-03-29,220
88,2013-03-30,228
89,2013-03-31,229
90,2013-04-01,349
91,2013-04-02,291
92,2013-04-03,243
93,2013-04-04,212
94,2013-04-05,215
95,2013-04-06,214
96,2013-04-07,234
97,2013-04-08,324
98,2013-04-09,289
99,2013-04-10,221
100,2013-04-11,209
101,2013-04-12,244
102,2013-04-13,238
103,2013-04-14,275
104,2013-04-15,363
105,2013-04-16,328
106,2013-04-17,283
107,2013-04-18,249
108,2013-04-19,252
109,2013-04-20,250
110,2013-04-21,262
111,2013-04-22,356
112,2013-04-23,261
113,2013-04-24,232
114,2013-04-25,219
115,2013-04-26,207
116,2013-04-27,218
117,2013-04-28,229
118,2013-04-29,402
119,2013-04-30,325
120,2013-05-01,272
121,2013-05-02,238
122,2013-05-03,184
123,2013-05-04,202
124,2013-05-05,243
125,2013-05-06,280
126,2013-05-07,276
127,2013-05-08,214
128,2013-05-09,218
129,2013-05-10,202
130,2013-05-11,188
131,2013-05-12,253
132,2013-05-13,365
133,2013-05-14,322
134,2013-05-15,227
135,2013-05-16,193
136,2013-05-17,202
137,2013-05-18,202
138,2013-05-19,263
139,2013-05-20,399
140,2013-05-21,362
141,2013-05-22,266
142,2013-05-23,222
143,2013-05-24,179
144,2013-05-25,234
145,2013-05-26,277
146,2013-05-27,421
147,2013-05-28,325
148,2013-05-29,274
149,2013-05-30,257
150,2013-05-31,256
151,2013-06-01,219
152,2013-06-02,254
153,2013-06-03,368
154,2013-06-04,298
155,2013-06-05,235
156,2013-06-06,226
157,2013-06-07,217
158,2013-06-08,190
159,2013-06-09,252
160,2013-06-10,378
161,2013-06-11,283
162,2013-06-12,221
163,2013-06-13,207
164,2013-06-14,205
165,2013-06-15,201
166,2013-06-16,250
167,2013-06-17,333
168,2013-06-18,291
169,2013-06-19,209
170,2013-06-20,200
171,2013-06-21,195
172,2013-06-22,193
173,2013-06-23,234
174,2013-06-24,360
175,2013-06-25,227
176,2013-06-26,197
177,2013-06-27,216
178,2013-06-28,191
179,2013-06-29,206
180,2013-06-30,214
181,2013-07-01,326
182,2013-07-02,270
183,2013-07-03,231
184,2013-07-04,189
185,2013-07-05,181
186,2013-07-06,158
187,2013-07-07,226
188,2013-07-08,352
189,2013-07-09,284
190,2013-07-10,249
191,2013-07-11,245
192,2013-07-12,224
193,2013-07-13,229
194,2013-07-14,232
195,2013-07-15,414
196,2013-07-16,273
197,2013-07-17,208
