狗粮,Date,DecryptedData
0,2016-01-01,1218
1,2016-01-02,1252
2,2016-01-03,1313
3,2016-01-04,1337
4,2016-01-05,1365
5,2016-01-06,1344
6,2016-01-07,1289
7,2016-01-08,1301
8,2016-01-09,1227
9,2016-01-10,1238
10,2016-01-11,1406
11,2016-01-12,1419
12,2016-01-13,1326
13,2016-01-14,1245
14,2016-01-15,1232
15,2016-01-16,1259
16,2016-01-17,1277
17,2016-01-18,1368
18,2016-01-19,1265
19,2016-01-20,1238
20,2016-01-21,1344
21,2016-01-22,1284
22,2016-01-23,1217
23,2016-01-24,1148
24,2016-01-25,1293
25,2016-01-26,1238
26,2016-01-27,1256
27,2016-01-28,1255
28,2016-01-29,1213
29,2016-01-30,1196
30,2016-01-31,1134
31,2016-02-01,1143
32,2016-02-02,1202
33,2016-02-03,1136
34,2016-02-04,1159
35,2016-02-05,1077
36,2016-02-06,1071
37,2016-02-07,1073
38,2016-02-08,1043
39,2016-02-09,1102
40,2016-02-10,1143
41,2016-02-11,1154
42,2016-02-12,1322
43,2016-02-13,2967
44,2016-02-14,7306
45,2016-02-15,1630
46,2016-02-16,1559
47,2016-02-17,1528
48,2016-02-18,1498
49,2016-02-19,1505
50,2016-02-20,1355
51,2016-02-21,1419
52,2016-02-22,1487
53,2016-02-23,1588
54,2016-02-24,1450
55,2016-02-25,1437
56,2016-02-26,1400
57,2016-02-27,1396
58,2016-02-28,1367
59,2016-02-29,1424
60,2016-03-01,1410
61,2016-03-02,1397
62,2016-03-03,1432
63,2016-03-04,1388
64,2016-03-05,1441
65,2016-03-06,1371
66,2016-03-07,1494
67,2016-03-08,1683
68,2016-03-09,1572
69,2016-03-10,1562
70,2016-03-11,1453
71,2016-03-12,1327
72,2016-03-13,1314
73,2016-03-14,1470
74,2016-03-15,1391
75,2016-03-16,1455
76,2016-03-17,1413
77,2016-03-18,1387
78,2016-03-19,1196
79,2016-03-20,1333
80,2016-03-21,1357
81,2016-03-22,1514
82,2016-03-23,1599
83,2016-03-24,1482
84,2016-03-25,1280
85,2016-03-26,1311
86,2016-03-27,1258
87,2016-03-28,1410
88,2016-03-29,1378
89,2016-03-30,1368
90,2016-03-31,1369
91,2016-04-01,1369
92,2016-04-02,1286
93,2016-04-03,1346
94,2016-04-04,1376
95,2016-04-05,1484
96,2016-04-06,1377
97,2016-04-07,1367
98,2016-04-08,1397
99,2016-04-09,1322
100,2016-04-10,1409
101,2016-04-11,1504
102,2016-04-12,1513
103,2016-04-13,1435
