羞耻play,Date,DecryptedData
0,2017-01-01,725
1,2017-01-02,696
2,2017-01-03,468
3,2017-01-04,513
4,2017-01-05,530
5,2017-01-06,553
6,2017-01-07,748
7,2017-01-08,734
8,2017-01-09,487
9,2017-01-10,544
10,2017-01-11,562
11,2017-01-12,567
12,2017-01-13,554
13,2017-01-14,572
14,2017-01-15,589
15,2017-01-16,595
16,2017-01-17,609
17,2017-01-18,655
18,2017-01-19,800
19,2017-01-20,772
20,2017-01-21,750
21,2017-01-22,878
22,2017-01-23,781
23,2017-01-24,830
24,2017-01-25,834
25,2017-01-26,781
26,2017-01-27,683
27,2017-01-28,866
28,2017-01-29,953
29,2017-01-30,840
30,2017-01-31,941
31,2017-02-01,973
32,2017-02-02,1014
33,2017-02-03,1030
34,2017-02-04,1033
35,2017-02-05,1002
36,2017-02-06,836
37,2017-02-07,793
38,2017-02-08,782
39,2017-02-09,726
40,2017-02-10,718
41,2017-02-11,651
42,2017-02-12,662
43,2017-02-13,566
44,2017-02-14,493
45,2017-02-15,545
46,2017-02-16,557
47,2017-02-17,592
48,2017-02-18,682
49,2017-02-19,658
50,2017-02-20,479
51,2017-02-21,510
52,2017-02-22,544
53,2017-02-23,432
54,2017-02-24,466
55,2017-02-25,695
56,2017-02-26,636
57,2017-02-27,443
58,2017-02-28,413
59,2017-03-01,432
60,2017-03-02,384
61,2017-03-03,408
62,2017-03-04,733
63,2017-03-05,662
64,2017-03-06,473
65,2017-03-07,415
66,2017-03-08,460
67,2017-03-09,452
68,2017-03-10,482
69,2017-03-11,687
70,2017-03-12,707
71,2017-03-13,456
72,2017-03-14,408
73,2017-03-15,423
74,2017-03-16,402
75,2017-03-17,464
76,2017-03-18,662
77,2017-03-19,630
78,2017-03-20,424
79,2017-03-21,441
80,2017-03-22,435
81,2017-03-23,401
82,2017-03-24,413
83,2017-03-25,579
84,2017-03-26,607
85,2017-03-27,376
86,2017-03-28,375
87,2017-03-29,384
88,2017-03-30,433
89,2017-03-31,391
90,2017-04-01,496
91,2017-04-02,621
92,2017-04-03,737
93,2017-04-04,661
94,2017-04-05,404
95,2017-04-06,451
96,2017-04-07,444
97,2017-04-08,604
98,2017-04-09,574
99,2017-04-10,376
100,2017-04-11,373
101,2017-04-12,451
102,2017-04-13,401
103,2017-04-14,415
104,2017-04-15,622
105,2017-04-16,588
106,2017-04-17,427
107,2017-04-18,410
108,2017-04-19,406
109,2017-04-20,439
110,2017-04-21,455
111,2017-04-22,621
112,2017-04-23,579
113,2017-04-24,432
114,2017-04-25,452
115,2017-04-26,399
116,2017-04-27,415
117,2017-04-28,475
118,2017-04-29,596
119,2017-04-30,631
120,2017-05-01,633
121,2017-05-02,405
122,2017-05-03,456
123,2017-05-04,466
124,2017-05-05,486
125,2017-05-06,633
126,2017-05-07,615
127,2017-05-08,401
128,2017-05-09,456
129,2017-05-10,448
130,2017-05-11,461
131,2017-05-12,487
132,2017-05-13,734
133,2017-05-14,722
134,2017-05-15,475
135,2017-05-16,458
136,2017-05-17,446
137,2017-05-18,454
138,2017-05-19,523
139,2017-05-20,637
140,2017-05-21,674
141,2017-05-22,470
142,2017-05-23,482
143,2017-05-24,468
