脑洞大开,Date,DecryptedData
0,2014-01-01,213
1,2014-01-02,263
2,2014-01-03,307
3,2014-01-04,267
4,2014-01-05,327
5,2014-01-06,280
6,2014-01-07,204
7,2014-01-08,285
8,2014-01-09,192
9,2014-01-10,213
10,2014-01-11,218
11,2014-01-12,223
12,2014-01-13,205
13,2014-01-14,235
14,2014-01-15,225
15,2014-01-16,248
16,2014-01-17,198
17,2014-01-18,208
18,2014-01-19,221
19,2014-01-20,211
20,2014-01-21,168
21,2014-01-22,204
22,2014-01-23,168
23,2014-01-24,158
24,2014-01-25,205
25,2014-01-26,228
26,2014-01-27,193
27,2014-01-28,206
28,2014-01-29,216
29,2014-01-30,204
30,2014-01-31,203
31,2014-02-01,250
32,2014-02-02,202
33,2014-02-03,228
34,2014-02-04,225
35,2014-02-05,305
36,2014-02-06,236
37,2014-02-07,223
38,2014-02-08,186
39,2014-02-09,260
40,2014-02-10,199
41,2014-02-11,274
42,2014-02-12,215
43,2014-02-13,209
44,2014-02-14,213
45,2014-02-15,207
46,2014-02-16,170
47,2014-02-17,229
48,2014-02-18,229
49,2014-02-19,282
50,2014-02-20,295
51,2014-02-21,258
52,2014-02-22,250
53,2014-02-23,313
54,2014-02-24,348
55,2014-02-25,273
56,2014-02-26,278
57,2014-02-27,249
58,2014-02-28,272
59,2014-03-01,285
60,2014-03-02,248
61,2014-03-03,259
62,2014-03-04,259
63,2014-03-05,328
64,2014-03-06,329
65,2014-03-07,269
66,2014-03-08,253
67,2014-03-09,258
68,2014-03-10,268
69,2014-03-11,284
70,2014-03-12,290
71,2014-03-13,386
72,2014-03-14,403
73,2014-03-15,354
74,2014-03-16,347
75,2014-03-17,339
76,2014-03-18,329
77,2014-03-19,337
78,2014-03-20,334
79,2014-03-21,356
80,2014-03-22,352
81,2014-03-23,331
82,2014-03-24,408
83,2014-03-25,465
84,2014-03-26,437
85,2014-03-27,391
86,2014-03-28,397
87,2014-03-29,351
88,2014-03-30,346
89,2014-03-31,366
90,2014-04-01,363
91,2014-04-02,369
92,2014-04-03,335
93,2014-04-04,362
94,2014-04-05,350
95,2014-04-06,424
96,2014-04-07,404
97,2014-04-08,421
98,2014-04-09,354
99,2014-04-10,440
100,2014-04-11,396
101,2014-04-12,408
102,2014-04-13,363
103,2014-04-14,408
104,2014-04-15,381
105,2014-04-16,391
106,2014-04-17,398
107,2014-04-18,400
108,2014-04-19,400
109,2014-04-20,395
110,2014-04-21,382
111,2014-04-22,349
112,2014-04-23,354
113,2014-04-24,389
114,2014-04-25,418
115,2014-04-26,371
116,2014-04-27,360
117,2014-04-28,342
118,2014-04-29,329
119,2014-04-30,310
120,2014-05-01,330
121,2014-05-02,312
122,2014-05-03,397
123,2014-05-04,382
124,2014-05-05,432
125,2014-05-06,390
126,2014-05-07,437
127,2014-05-08,398
128,2014-05-09,398
