节操碎一地,Date,DecryptedData
0,2014-01-01,73
1,2014-01-02,129
2,2014-01-03,130
3,2014-01-04,138
4,2014-01-05,129
5,2014-01-06,130
6,2014-01-07,134
7,2014-01-08,133
8,2014-01-09,134
9,2014-01-10,131
10,2014-01-11,131
11,2014-01-12,252
12,2014-01-13,125
13,2014-01-14,130
14,2014-01-15,140
15,2014-01-16,123
16,2014-01-17,152
17,2014-01-18,141
18,2014-01-19,140
19,2014-01-20,147
20,2014-01-21,141
21,2014-01-22,140
22,2014-01-23,169
23,2014-01-24,163
24,2014-01-25,135
25,2014-01-26,157
26,2014-01-27,153
27,2014-01-28,159
28,2014-01-29,136
29,2014-01-30,135
30,2014-01-31,134
31,2014-02-01,139
32,2014-02-02,135
33,2014-02-03,140
34,2014-02-04,140
35,2014-02-05,132
36,2014-02-06,136
37,2014-02-07,146
38,2014-02-08,150
39,2014-02-09,76
40,2014-02-10,153
41,2014-02-11,139
42,2014-02-12,132
43,2014-02-13,148
44,2014-02-14,143
45,2014-02-15,124
46,2014-02-16,134
47,2014-02-17,124
48,2014-02-18,138
49,2014-02-19,139
50,2014-02-20,134
51,2014-02-21,133
52,2014-02-22,136
53,2014-02-23,124
54,2014-02-24,129
55,2014-02-25,139
56,2014-02-26,150
57,2014-02-27,139
58,2014-02-28,141
59,2014-03-01,136
60,2014-03-02,132
61,2014-03-03,130
62,2014-03-04,133
63,2014-03-05,141
64,2014-03-06,142
65,2014-03-07,140
66,2014-03-08,146
67,2014-03-09,146
68,2014-03-10,130
69,2014-03-11,63
70,2014-03-12,133
71,2014-03-13,135
72,2014-03-14,162
73,2014-03-15,140
74,2014-03-16,138
75,2014-03-17,139
76,2014-03-18,133
77,2014-03-19,128
78,2014-03-20,146
79,2014-03-21,148
80,2014-03-22,139
81,2014-03-23,130
82,2014-03-24,141
83,2014-03-25,134
84,2014-03-26,133
85,2014-03-27,148
86,2014-03-28,130
87,2014-03-29,78
88,2014-03-30,130
89,2014-03-31,78
90,2014-04-01,139
91,2014-04-02,73
92,2014-04-03,143
93,2014-04-04,133
94,2014-04-05,130
95,2014-04-06,137
96,2014-04-07,154
97,2014-04-08,130
98,2014-04-09,130
99,2014-04-10,137
100,2014-04-11,128
101,2014-04-12,140
102,2014-04-13,132
103,2014-04-14,124
104,2014-04-15,133
105,2014-04-16,129
106,2014-04-17,131
107,2014-04-18,132
108,2014-04-19,132
109,2014-04-20,137
110,2014-04-21,131
111,2014-04-22,126
112,2014-04-23,134
113,2014-04-24,137
114,2014-04-25,70
115,2014-04-26,133
116,2014-04-27,125
117,2014-04-28,137
118,2014-04-29,69
119,2014-04-30,131
120,2014-05-01,65
121,2014-05-02,63
122,2014-05-03,134
123,2014-05-04,132
124,2014-05-05,125
125,2014-05-06,128
126,2014-05-07,156
127,2014-05-08,134
128,2014-05-09,127
129,2014-05-10,150
130,2014-05-11,134
131,2014-05-12,146
132,2014-05-13,134
133,2014-05-14,150
134,2014-05-15,71
135,2014-05-16,144
136,2014-05-17,139
137,2014-05-18,60
138,2014-05-19,128
139,2014-05-20,135
140,2014-05-21,129
141,2014-05-22,138
142,2014-05-23,126
143,2014-05-24,132
144,2014-05-25,134
145,2014-05-26,137
146,2014-05-27,145
147,2014-05-28,134
148,2014-05-29,132
149,2014-05-30,67
150,2014-05-31,70
151,2014-06-01,134
152,2014-06-02,131
153,2014-06-03,67
154,2014-06-04,140
155,2014-06-05,137
156,2014-06-06,141
157,2014-06-07,70
158,2014-06-08,137
159,2014-06-09,150
160,2014-06-10,79
161,2014-06-11,136
162,2014-06-12,133
163,2014-06-13,74
164,2014-06-14,135
165,2014-06-15,135
166,2014-06-16,136
167,2014-06-17,146
168,2014-06-18,134
169,2014-06-19,138
170,2014-06-20,134
171,2014-06-21,67
172,2014-06-22,132
173,2014-06-23,127
174,2014-06-24,129
175,2014-06-25,135
176,2014-06-26,134
177,2014-06-27,129
178,2014-06-28,139
179,2014-06-29,124
