财富密码,Date,DecryptedData
0,2020-01-01,78
1,2020-01-02,128
2,2020-01-03,136
3,2020-01-04,71
4,2020-01-05,66
5,2020-01-06,138
6,2020-01-07,129
7,2020-01-08,134
8,2020-01-09,130
9,2020-01-10,165
10,2020-01-11,79
11,2020-01-12,122
12,2020-01-13,129
13,2020-01-14,126
14,2020-01-15,127
15,2020-01-16,127
16,2020-01-17,61
17,2020-01-18,61
18,2020-01-19,127
19,2020-01-20,64
20,2020-01-21,63
21,2020-01-22,120
22,2020-01-23,61
23,2020-01-24,125
24,2020-01-25,61
25,2020-01-26,67
26,2020-01-27,61
27,2020-01-28,59
28,2020-01-29,66
29,2020-01-30,63
30,2020-01-31,126
31,2020-02-01,144
32,2020-02-02,128
33,2020-02-03,126
34,2020-02-04,126
35,2020-02-05,74
36,2020-02-06,125
37,2020-02-07,134
38,2020-02-08,71
39,2020-02-09,130
40,2020-02-10,131
41,2020-02-11,67
42,2020-02-12,127
43,2020-02-13,64
44,2020-02-14,126
45,2020-02-15,63
46,2020-02-16,128
47,2020-02-17,65
48,2020-02-18,70
49,2020-02-19,129
50,2020-02-20,134
51,2020-02-21,125
52,2020-02-22,66
53,2020-02-23,128
54,2020-02-24,134
55,2020-02-25,142
56,2020-02-26,130
57,2020-02-27,174
58,2020-02-28,162
59,2020-02-29,150
60,2020-03-01,150
61,2020-03-02,169
62,2020-03-03,176
63,2020-03-04,162
64,2020-03-05,172
65,2020-03-06,153
66,2020-03-07,171
67,2020-03-08,195
68,2020-03-09,228
69,2020-03-10,253
70,2020-03-11,196
71,2020-03-12,239
72,2020-03-13,190
73,2020-03-14,232
74,2020-03-15,255
75,2020-03-16,252
76,2020-03-17,270
77,2020-03-18,295
78,2020-03-19,329
79,2020-03-20,434
80,2020-03-21,632
81,2020-03-22,564
82,2020-03-23,626
83,2020-03-24,721
84,2020-03-25,1219
85,2020-03-26,914
86,2020-03-27,667
87,2020-03-28,548
88,2020-03-29,642
89,2020-03-30,797
90,2020-03-31,664
91,2020-04-01,709
92,2020-04-02,714
93,2020-04-03,638
