逆袭,Date,DecryptedData
0,2013-01-01,2066
1,2013-01-02,2081
2,2013-01-03,2129
3,2013-01-04,2061
4,2013-01-05,1863
5,2013-01-06,1902
6,2013-01-07,2037
7,2013-01-08,2001
8,2013-01-09,1925
9,2013-01-10,1952
10,2013-01-11,1834
11,2013-01-12,3136
12,2013-01-13,2721
13,2013-01-14,2712
14,2013-01-15,2271
15,2013-01-16,2292
16,2013-01-17,2308
17,2013-01-18,2044
18,2013-01-19,1963
19,2013-01-20,1862
20,2013-01-21,1839
21,2013-01-22,1962
22,2013-01-23,1860
23,2013-01-24,2040
24,2013-01-25,1979
25,2013-01-26,1863
26,2013-01-27,1851
27,2013-01-28,1839
28,2013-01-29,1998
29,2013-01-30,1889
30,2013-01-31,1832
31,2013-02-01,1817
32,2013-02-02,1923
33,2013-02-03,2151
34,2013-02-04,2130
35,2013-02-05,1910
36,2013-02-06,1924
37,2013-02-07,1874
38,2013-02-08,1769
39,2013-02-09,1711
40,2013-02-10,1805
41,2013-02-11,1719
42,2013-02-12,1745
43,2013-02-13,1787
44,2013-02-14,1808
45,2013-02-15,1814
46,2013-02-16,1875
47,2013-02-17,1905
48,2013-02-18,1884
49,2013-02-19,1927
50,2013-02-20,1932
51,2013-02-21,2023
52,2013-02-22,1893
53,2013-02-23,1968
54,2013-02-24,1884
55,2013-02-25,1844
56,2013-02-26,1811
57,2013-02-27,1802
58,2013-02-28,1791
59,2013-03-01,1781
60,2013-03-02,1808
61,2013-03-03,1808
62,2013-03-04,1761
63,2013-03-05,1781
64,2013-03-06,1783
65,2013-03-07,1805
66,2013-03-08,1884
67,2013-03-09,1999
68,2013-03-10,2000
69,2013-03-11,1901
70,2013-03-12,1792
71,2013-03-13,1826
72,2013-03-14,1804
73,2013-03-15,1783
74,2013-03-16,1818
75,2013-03-17,1852
76,2013-03-18,1779
77,2013-03-19,1774
78,2013-03-20,1785
79,2013-03-21,1761
80,2013-03-22,1788
81,2013-03-23,2058
82,2013-03-24,1879
83,2013-03-25,1797
84,2013-03-26,1768
85,2013-03-27,1686
86,2013-03-28,1735
87,2013-03-29,1718
88,2013-03-30,1669
89,2013-03-31,1682
90,2013-04-01,1682
91,2013-04-02,1698
92,2013-04-03,1646
93,2013-04-04,1742
94,2013-04-05,1788
95,2013-04-06,1790
96,2013-04-07,1786
97,2013-04-08,1760
98,2013-04-09,1742
99,2013-04-10,1689
100,2013-04-11,1697
101,2013-04-12,1729
102,2013-04-13,1828
103,2013-04-14,1793
104,2013-04-15,1717
105,2013-04-16,1734
106,2013-04-17,1678
107,2013-04-18,1749
108,2013-04-19,1787
109,2013-04-20,1729
110,2013-04-21,1558
111,2013-04-22,1583
112,2013-04-23,1507
113,2013-04-24,1490
114,2013-04-25,1626
115,2013-04-26,1606
116,2013-04-27,1519
117,2013-04-28,1632
118,2013-04-29,1616
119,2013-04-30,1642
120,2013-05-01,1725
121,2013-05-02,1657
122,2013-05-03,1575
123,2013-05-04,1677
124,2013-05-05,1768
125,2013-05-06,1700
126,2013-05-07,1738
127,2013-05-08,1765
128,2013-05-09,1704
129,2013-05-10,1775
130,2013-05-11,1812
131,2013-05-12,1774
132,2013-05-13,1743
133,2013-05-14,1714
134,2013-05-15,1646
135,2013-05-16,1740
136,2013-05-17,1623
137,2013-05-18,1772
138,2013-05-19,2425
139,2013-05-20,1791
140,2013-05-21,1756
141,2013-05-22,1744
142,2013-05-23,1839
143,2013-05-24,1902
144,2013-05-25,1946
145,2013-05-26,1915
146,2013-05-27,1765
147,2013-05-28,1747
148,2013-05-29,1723
149,2013-05-30,1712
150,2013-05-31,1735
151,2013-06-01,1840
152,2013-06-02,1834
153,2013-06-03,1766
154,2013-06-04,1793
155,2013-06-05,1871
156,2013-06-06,1867
157,2013-06-07,1835
158,2013-06-08,1861
159,2013-06-09,1832
160,2013-06-10,1741
161,2013-06-11,1726
162,2013-06-12,1727
163,2013-06-13,1729
164,2013-06-14,1764
165,2013-06-15,1789
166,2013-06-16,1773
167,2013-06-17,1747
168,2013-06-18,1683
169,2013-06-19,1747
170,2013-06-20,1743
171,2013-06-21,1771
172,2013-06-22,1835
173,2013-06-23,1822
174,2013-06-24,1733
175,2013-06-25,1669
176,2013-06-26,1693
177,2013-06-27,1789
178,2013-06-28,1754
179,2013-06-29,1761
180,2013-06-30,1768
181,2013-07-01,1782
182,2013-07-02,1795
183,2013-07-03,1824
184,2013-07-04,1864
185,2013-07-05,1815
186,2013-07-06,1825
187,2013-07-07,1835
188,2013-07-08,1805
189,2013-07-09,1791
190,2013-07-10,1830
191,2013-07-11,1789
192,2013-07-12,1818
193,2013-07-13,1834
194,2013-07-14,1936
195,2013-07-15,2030
196,2013-07-16,1876
197,2013-07-17,1860
198,2013-07-18,1836
199,2013-07-19,1804
200,2013-07-20,1765
201,2013-07-21,1765
202,2013-07-22,1845
203,2013-07-23,1849
204,2013-07-24,1831
205,2013-07-25,1767
206,2013-07-26,1786
207,2013-07-27,1796
208,2013-07-28,1801
209,2013-07-29,1831
210,2013-07-30,1790
211,2013-07-31,1783
212,2013-08-01,1780
213,2013-08-02,1804
214,2013-08-03,1758
215,2013-08-04,1799
216,2013-08-05,1775
217,2013-08-06,1765
218,2013-08-07,1761
219,2013-08-08,1759
220,2013-08-09,1747
221,2013-08-10,1753
222,2013-08-11,1727
223,2013-08-12,1806
224,2013-08-13,1891
225,2013-08-14,1781
226,2013-08-15,1826
227,2013-08-16,1771
228,2013-08-17,1740
229,2013-08-18,1655
230,2013-08-19,1859
231,2013-08-20,1894
232,2013-08-21,2273
233,2013-08-22,2359
234,2013-08-23,2094
235,2013-08-24,1937
236,2013-08-25,1937
237,2013-08-26,1909
238,2013-08-27,1957
239,2013-08-28,1925
240,2013-08-29,1918
241,2013-08-30,1909
242,2013-08-31,1864
243,2013-09-01,1847
244,2013-09-02,1803
245,2013-09-03,1769
246,2013-09-04,1760
247,2013-09-05,1883
248,2013-09-06,2534
249,2013-09-07,2363
250,2013-09-08,2310
251,2013-09-09,1923
252,2013-09-10,1904
253,2013-09-11,1846
254,2013-09-12,1799
255,2013-09-13,1768
256,2013-09-14,1812
257,2013-09-15,1816
258,2013-09-16,1742
259,2013-09-17,1703
260,2013-09-18,1764
261,2013-09-19,1835
262,2013-09-20,1823
263,2013-09-21,1787
264,2013-09-22,1751
265,2013-09-23,1715
266,2013-09-24,1617
267,2013-09-25,1535
268,2013-09-26,1524
269,2013-09-27,1620
270,2013-09-28,1644
271,2013-09-29,1611
272,2013-09-30,1719
273,2013-10-01,1761
274,2013-10-02,1773
275,2013-10-03,1761
276,2013-10-04,1754
277,2013-10-05,1792
278,2013-10-06,1782
279,2013-10-07,1773
280,2013-10-08,1672
281,2013-10-09,1676
282,2013-10-10,1643
283,2013-10-11,1650
284,2013-10-12,1743
285,2013-10-13,1756
286,2013-10-14,2111
287,2013-10-15,2341
288,2013-10-16,2210
289,2013-10-17,1924
290,2013-10-18,1886
291,2013-10-19,1975
292,2013-10-20,1921
293,2013-10-21,1830
294,2013-10-22,1771
295,2013-10-23,1782
296,2013-10-24,1971
297,2013-10-25,2084
298,2013-10-26,1913
299,2013-10-27,1939
300,2013-10-28,1766
301,2013-10-29,1829
302,2013-10-30,1785
303,2013-10-31,1767
304,2013-11-01,1784
305,2013-11-02,1854
306,2013-11-03,1858
307,2013-11-04,1713
308,2013-11-05,1678
309,2013-11-06,1665
310,2013-11-07,1699
311,2013-11-08,1759
312,2013-11-09,1811
313,2013-11-10,1824
314,2013-11-11,1608
315,2013-11-12,1662
316,2013-11-13,1790
317,2013-11-14,11383
318,2013-11-15,3200
319,2013-11-16,2267
320,2013-11-17,3397
321,2013-11-18,1808
322,2013-11-19,1771
323,2013-11-20,1744
324,2013-11-21,1668
325,2013-11-22,1761
326,2013-11-23,1792
327,2013-11-24,1834
328,2013-11-25,1701
329,2013-11-26,1552
330,2013-11-27,1545
331,2013-11-28,1611
332,2013-11-29,1619
333,2013-11-30,1727
334,2013-12-01,1570
335,2013-12-02,1421
336,2013-12-03,1441
337,2013-12-04,1481
338,2013-12-05,1794
339,2013-12-06,1673
340,2013-12-07,1712
341,2013-12-08,1695
342,2013-12-09,1439
343,2013-12-10,1466
344,2013-12-11,1470
345,2013-12-12,1434
346,2013-12-13,1828
347,2013-12-14,1889
348,2013-12-15,1911
349,2013-12-16,1844
350,2013-12-17,1785
351,2013-12-18,1745
352,2013-12-19,1984
353,2013-12-20,1961
354,2013-12-21,1877
355,2013-12-22,1838
356,2013-12-23,1864
357,2013-12-24,1760
358,2013-12-25,1737
359,2013-12-26,1747
360,2013-12-27,1781
361,2013-12-28,1777
362,2013-12-29,1825
