逗比,Date,DecryptedData
0,2014-01-01,3971
1,2014-01-02,4028
2,2014-01-03,4043
3,2014-01-04,4516
4,2014-01-05,4559
5,2014-01-06,4121
6,2014-01-07,3961
7,2014-01-08,3915
8,2014-01-09,4140
9,2014-01-10,3864
10,2014-01-11,3779
11,2014-01-12,3714
12,2014-01-13,3695
13,2014-01-14,4336
14,2014-01-15,3917
15,2014-01-16,3629
16,2014-01-17,3545
17,2014-01-18,3256
18,2014-01-19,3336
19,2014-01-20,3549
20,2014-01-21,3507
21,2014-01-22,3476
22,2014-01-23,3494
23,2014-01-24,3225
24,2014-01-25,3416
25,2014-01-26,3518
26,2014-01-27,3518
27,2014-01-28,3799
28,2014-01-29,3592
29,2014-01-30,3297
30,2014-01-31,3090
31,2014-02-01,3071
32,2014-02-02,3404
33,2014-02-03,3717
34,2014-02-04,3836
35,2014-02-05,3772
36,2014-02-06,3870
37,2014-02-07,4278
38,2014-02-08,4504
39,2014-02-09,4155
40,2014-02-10,4579
41,2014-02-11,5618
42,2014-02-12,6304
43,2014-02-13,5317
44,2014-02-14,4744
45,2014-02-15,4123
46,2014-02-16,4217
47,2014-02-17,4227
48,2014-02-18,4337
49,2014-02-19,4499
50,2014-02-20,4060
51,2014-02-21,4971
52,2014-02-22,4732
53,2014-02-23,4733
54,2014-02-24,4645
55,2014-02-25,4371
56,2014-02-26,4760
57,2014-02-27,4972
58,2014-02-28,4648
59,2014-03-01,4728
60,2014-03-02,4559
61,2014-03-03,4400
62,2014-03-04,4540
63,2014-03-05,4431
64,2014-03-06,4754
65,2014-03-07,5532
66,2014-03-08,5058
67,2014-03-09,5054
68,2014-03-10,4777
69,2014-03-11,5226
70,2014-03-12,6140
71,2014-03-13,6818
72,2014-03-14,6236
73,2014-03-15,6301
74,2014-03-16,6076
75,2014-03-17,5608
76,2014-03-18,5987
77,2014-03-19,5652
78,2014-03-20,5276
79,2014-03-21,5345
80,2014-03-22,5546
81,2014-03-23,5437
82,2014-03-24,5647
83,2014-03-25,6079
84,2014-03-26,5621
85,2014-03-27,5832
86,2014-03-28,6041
87,2014-03-29,6148
88,2014-03-30,6234
89,2014-03-31,5796
90,2014-04-01,6012
91,2014-04-02,6028
92,2014-04-03,8333
93,2014-04-04,10188
94,2014-04-05,7947
95,2014-04-06,8264
96,2014-04-07,7832
97,2014-04-08,7490
98,2014-04-09,7125
99,2014-04-10,7317
100,2014-04-11,7559
101,2014-04-12,6981
102,2014-04-13,6744
103,2014-04-14,6599
104,2014-04-15,7022
105,2014-04-16,6573
106,2014-04-17,6478
107,2014-04-18,6619
108,2014-04-19,6849
109,2014-04-20,7391
110,2014-04-21,7666
111,2014-04-22,6266
112,2014-04-23,6326
113,2014-04-24,6058
114,2014-04-25,6951
115,2014-04-26,7363
116,2014-04-27,7027
117,2014-04-28,6876
118,2014-04-29,6066
119,2014-04-30,5914
120,2014-05-01,5957
121,2014-05-02,7485
122,2014-05-03,7153
123,2014-05-04,7301
