逼格,Date,DecryptedData
0,2014-01-01,1149
1,2014-01-02,1253
2,2014-01-03,1227
3,2014-01-04,1109
4,2014-01-05,983
5,2014-01-06,1136
6,2014-01-07,979
7,2014-01-08,962
8,2014-01-09,1440
9,2014-01-10,1538
10,2014-01-11,1225
11,2014-01-12,1054
12,2014-01-13,1529
13,2014-01-14,1536
14,2014-01-15,1445
15,2014-01-16,1466
16,2014-01-17,1485
17,2014-01-18,1149
18,2014-01-19,1050
19,2014-01-20,1297
20,2014-01-21,1247
21,2014-01-22,1224
22,2014-01-23,1197
23,2014-01-24,928
24,2014-01-25,882
25,2014-01-26,1095
26,2014-01-27,1083
27,2014-01-28,1150
28,2014-01-29,1024
29,2014-01-30,1005
30,2014-01-31,806
31,2014-02-01,862
32,2014-02-02,963
33,2014-02-03,1080
34,2014-02-04,1075
35,2014-02-05,1031
36,2014-02-06,1190
37,2014-02-07,1355
38,2014-02-08,1314
39,2014-02-09,1123
40,2014-02-10,1277
41,2014-02-11,1312
42,2014-02-12,1305
43,2014-02-13,1288
44,2014-02-14,1209
45,2014-02-15,1063
46,2014-02-16,1200
47,2014-02-17,1267
48,2014-02-18,1312
49,2014-02-19,1743
50,2014-02-20,1674
51,2014-02-21,1623
52,2014-02-22,1403
53,2014-02-23,1393
54,2014-02-24,1483
55,2014-02-25,1394
56,2014-02-26,1574
57,2014-02-27,1480
58,2014-02-28,1534
59,2014-03-01,1423
60,2014-03-02,1249
61,2014-03-03,1540
62,2014-03-04,1834
63,2014-03-05,1737
64,2014-03-06,1695
65,2014-03-07,1480
66,2014-03-08,1205
67,2014-03-09,1460
68,2014-03-10,1662
69,2014-03-11,1671
70,2014-03-12,1703
71,2014-03-13,1637
72,2014-03-14,1489
73,2014-03-15,1293
74,2014-03-16,1357
75,2014-03-17,1504
76,2014-03-18,1546
77,2014-03-19,1716
78,2014-03-20,1529
79,2014-03-21,1512
80,2014-03-22,1368
81,2014-03-23,1357
82,2014-03-24,1565
83,2014-03-25,1796
84,2014-03-26,1770
85,2014-03-27,1741
86,2014-03-28,1721
87,2014-03-29,1532
88,2014-03-30,1482
89,2014-03-31,1609
90,2014-04-01,1683
91,2014-04-02,1548
92,2014-04-03,1561
93,2014-04-04,1506
94,2014-04-05,1287
95,2014-04-06,1419
96,2014-04-07,1525
97,2014-04-08,1673
98,2014-04-09,1690
99,2014-04-10,1704
100,2014-04-11,1809
101,2014-04-12,1766
102,2014-04-13,1701
103,2014-04-14,1865
104,2014-04-15,1831
105,2014-04-16,1780
106,2014-04-17,1772
107,2014-04-18,1811
108,2014-04-19,1696
109,2014-04-20,1694
110,2014-04-21,1761
111,2014-04-22,1733
112,2014-04-23,1794
113,2014-04-24,1818
114,2014-04-25,1739
115,2014-04-26,1813
116,2014-04-27,1781
117,2014-04-28,1803
118,2014-04-29,1770
119,2014-04-30,1748
120,2014-05-01,1635
121,2014-05-02,1805
122,2014-05-03,1753
123,2014-05-04,1857
124,2014-05-05,1790
125,2014-05-06,1798
126,2014-05-07,1817
127,2014-05-08,1762
128,2014-05-09,1795
129,2014-05-10,1787
130,2014-05-11,1812
131,2014-05-12,2095
132,2014-05-13,2166
133,2014-05-14,2372
134,2014-05-15,2022
135,2014-05-16,2568
136,2014-05-17,2287
137,2014-05-18,2500
138,2014-05-19,2009
139,2014-05-20,2200
140,2014-05-21,2742
141,2014-05-22,2802
142,2014-05-23,2538
143,2014-05-24,1982
144,2014-05-25,2044
145,2014-05-26,2049
146,2014-05-27,2656
147,2014-05-28,2638
148,2014-05-29,2416
149,2014-05-30,2174
150,2014-05-31,1599
151,2014-06-01,1544
152,2014-06-02,1871
153,2014-06-03,1917
154,2014-06-04,1909
155,2014-06-05,1996
156,2014-06-06,1964
157,2014-06-07,1870
158,2014-06-08,2311
