锦鲤,Date,DecryptedData
0,2018-01-01,3442
1,2018-01-02,3078
2,2018-01-03,2998
3,2018-01-04,2650
4,2018-01-05,2751
5,2018-01-06,3058
6,2018-01-07,3289
7,2018-01-08,3390
8,2018-01-09,5340
9,2018-01-10,3725
10,2018-01-11,3243
11,2018-01-12,3101
12,2018-01-13,3151
13,2018-01-14,3479
14,2018-01-15,3297
15,2018-01-16,3316
16,2018-01-17,3191
17,2018-01-18,3162
18,2018-01-19,3104
19,2018-01-20,2937
20,2018-01-21,3275
21,2018-01-22,3033
22,2018-01-23,3068
23,2018-01-24,2986
24,2018-01-25,2754
25,2018-01-26,2697
26,2018-01-27,2623
27,2018-01-28,2679
28,2018-01-29,2599
29,2018-01-30,2717
30,2018-01-31,2612
31,2018-02-01,2805
32,2018-02-02,3144
33,2018-02-03,3111
34,2018-02-04,2847
35,2018-02-05,2851
36,2018-02-06,2687
37,2018-02-07,2674
38,2018-02-08,2681
39,2018-02-09,2689
40,2018-02-10,2859
41,2018-02-11,3296
42,2018-02-12,4168
43,2018-02-13,3687
44,2018-02-14,3385
45,2018-02-15,3283
46,2018-02-16,3385
47,2018-02-17,5989
48,2018-02-18,4043
49,2018-02-19,3504
50,2018-02-20,3516
51,2018-02-21,3427
52,2018-02-22,3672
53,2018-02-23,3389
54,2018-02-24,3294
55,2018-02-25,3658
56,2018-02-26,3521
57,2018-02-27,3414
58,2018-02-28,3298
59,2018-03-01,3400
60,2018-03-02,3342
61,2018-03-03,3440
62,2018-03-04,3503
63,2018-03-05,3352
64,2018-03-06,3183
65,2018-03-07,3103
66,2018-03-08,3041
67,2018-03-09,3137
68,2018-03-10,3789
69,2018-03-11,4053
70,2018-03-12,3355
71,2018-03-13,3342
72,2018-03-14,3406
73,2018-03-15,3634
74,2018-03-16,3731
75,2018-03-17,3781
76,2018-03-18,3626
77,2018-03-19,3306
78,2018-03-20,3222
79,2018-03-21,3145
80,2018-03-22,3102
81,2018-03-23,3544
82,2018-03-24,4140
83,2018-03-25,4002
84,2018-03-26,3354
85,2018-03-27,3377
86,2018-03-28,3234
87,2018-03-29,3342
88,2018-03-30,3246
89,2018-03-31,3437
90,2018-04-01,3490
91,2018-04-02,3346
92,2018-04-03,3237
93,2018-04-04,3029
94,2018-04-05,3459
95,2018-04-06,3500
96,2018-04-07,3347
97,2018-04-08,3232
98,2018-04-09,4002
99,2018-04-10,3304
100,2018-04-11,3307
101,2018-04-12,3483
102,2018-04-13,3462
103,2018-04-14,3541
104,2018-04-15,3556
105,2018-04-16,3426
106,2018-04-17,3359
107,2018-04-18,3310
108,2018-04-19,3352
109,2018-04-20,3923
110,2018-04-21,3784
111,2018-04-22,3688
112,2018-04-23,3360
113,2018-04-24,3591
114,2018-04-25,3455
115,2018-04-26,3308
116,2018-04-27,3120
117,2018-04-28,2975
118,2018-04-29,3151
119,2018-04-30,3446
120,2018-05-01,3582
121,2018-05-02,3629
122,2018-05-03,3528
123,2018-05-04,3693
124,2018-05-05,3598
125,2018-05-06,3644
126,2018-05-07,3467
127,2018-05-08,3364
128,2018-05-09,3220
129,2018-05-10,3237
130,2018-05-11,3268
131,2018-05-12,3412
132,2018-05-13,3295
133,2018-05-14,3198
134,2018-05-15,3118
135,2018-05-16,3183
136,2018-05-17,3418
137,2018-05-18,3223
138,2018-05-19,3237
139,2018-05-20,3248
140,2018-05-21,3105
141,2018-05-22,2960
142,2018-05-23,3032
143,2018-05-24,3156
144,2018-05-25,3126
145,2018-05-26,3182
146,2018-05-27,3246
147,2018-05-28,2950
148,2018-05-29,2969
149,2018-05-30,3117
150,2018-05-31,2854
151,2018-06-01,2846
152,2018-06-02,2954
153,2018-06-03,3103
154,2018-06-04,3182
155,2018-06-05,3417
156,2018-06-06,4605
157,2018-06-07,4541
158,2018-06-08,3603
159,2018-06-09,3316
160,2018-06-10,3341
161,2018-06-11,3370
162,2018-06-12,3311
163,2018-06-13,3030
164,2018-06-14,3153
165,2018-06-15,3448
166,2018-06-16,2940
167,2018-06-17,2297
168,2018-06-18,2475
169,2018-06-19,2600
170,2018-06-20,2584
171,2018-06-21,2532
172,2018-06-22,2899
173,2018-06-23,2683
174,2018-06-24,2814
175,2018-06-25,2555
176,2018-06-26,2320
177,2018-06-27,2170
178,2018-06-28,2110
179,2018-06-29,2270
180,2018-06-30,2396
181,2018-07-01,2714
182,2018-07-02,2647
183,2018-07-03,2505
184,2018-07-04,2454
185,2018-07-05,2338
186,2018-07-06,2365
187,2018-07-07,2206
188,2018-07-08,2420
189,2018-07-09,2352
190,2018-07-10,2290
191,2018-07-11,2195
192,2018-07-12,2202
193,2018-07-13,2143
194,2018-07-14,2080
195,2018-07-15,1957
196,2018-07-16,2065
197,2018-07-17,2190
198,2018-07-18,2052
199,2018-07-19,2105
200,2018-07-20,2038
201,2018-07-21,1900
202,2018-07-22,2002
203,2018-07-23,2186
204,2018-07-24,2214
205,2018-07-25,2253
206,2018-07-26,2107
207,2018-07-27,2086
208,2018-07-28,2047
209,2018-07-29,2142
210,2018-07-30,2179
211,2018-07-31,2355
212,2018-08-01,2374
213,2018-08-02,2103
214,2018-08-03,2105
215,2018-08-04,1878
216,2018-08-05,2055
217,2018-08-06,2122
218,2018-08-07,2162
219,2018-08-08,1966
220,2018-08-09,2639
221,2018-08-10,2742
222,2018-08-11,2188
223,2018-08-12,2883
224,2018-08-13,2970
225,2018-08-14,3140
226,2018-08-15,2940
227,2018-08-16,2889
228,2018-08-17,2556
229,2018-08-18,3451
230,2018-08-19,3683
231,2018-08-20,3762
232,2018-08-21,3311
233,2018-08-22,3466
234,2018-08-23,3158
235,2018-08-24,2991
236,2018-08-25,2625
237,2018-08-26,2460
238,2018-08-27,2853
239,2018-08-28,2721
240,2018-08-29,2603
241,2018-08-30,2344
242,2018-08-31,2289
243,2018-09-01,2279
244,2018-09-02,2010
245,2018-09-03,2364
246,2018-09-04,2500
247,2018-09-05,2604
248,2018-09-06,2575
249,2018-09-07,2323
250,2018-09-08,2470
251,2018-09-09,2388
252,2018-09-10,2434
253,2018-09-11,2406
254,2018-09-12,2683
255,2018-09-13,2524
256,2018-09-14,2779
257,2018-09-15,3460
258,2018-09-16,2727
259,2018-09-17,2516
260,2018-09-18,2478
261,2018-09-19,2481
262,2018-09-20,2323
263,2018-09-21,2318
264,2018-09-22,2254
265,2018-09-23,2291
266,2018-09-24,2472
267,2018-09-25,2507
268,2018-09-26,2641
269,2018-09-27,2627
270,2018-09-28,2638
271,2018-09-29,2683
272,2018-09-30,2850
273,2018-10-01,2747
274,2018-10-02,2672
275,2018-10-03,2653
276,2018-10-04,3037
277,2018-10-05,3002
278,2018-10-06,2991
279,2018-10-07,8454
280,2018-10-08,12251
281,2018-10-09,18354
282,2018-10-10,24442
283,2018-10-11,19148
284,2018-10-12,43104
285,2018-10-13,42457
286,2018-10-14,48534
287,2018-10-15,63949
288,2018-10-16,42339
289,2018-10-17,39554
290,2018-10-18,36162
291,2018-10-19,27120
292,2018-10-20,17586
293,2018-10-21,14307
294,2018-10-22,16353
295,2018-10-23,15034
296,2018-10-24,32215
297,2018-10-25,40218
298,2018-10-26,30255
299,2018-10-27,15689
300,2018-10-28,13620
301,2018-10-29,17315
302,2018-10-30,14868
303,2018-10-31,19041
304,2018-11-01,16433
305,2018-11-02,14094
306,2018-11-03,12943
307,2018-11-04,13981
308,2018-11-05,16126
309,2018-11-06,15270
310,2018-11-07,14446
311,2018-11-08,13428
312,2018-11-09,33172
313,2018-11-10,18625
314,2018-11-11,18874
