集美,Date,DecryptedData
0,2020-01-01,591
1,2020-01-02,621
2,2020-01-03,562
3,2020-01-04,542
4,2020-01-05,596
5,2020-01-06,639
6,2020-01-07,741
7,2020-01-08,829
8,2020-01-09,938
9,2020-01-10,1032
10,2020-01-11,1012
11,2020-01-12,1043
12,2020-01-13,1063
13,2020-01-14,1078
14,2020-01-15,1129
15,2020-01-16,1177
16,2020-01-17,1285
17,2020-01-18,1164
18,2020-01-19,1410
19,2020-01-20,1622
20,2020-01-21,1757
21,2020-01-22,1677
22,2020-01-23,1832
23,2020-01-24,2069
24,2020-01-25,2220
25,2020-01-26,2448
26,2020-01-27,2759
27,2020-01-28,3930
28,2020-01-29,4286
29,2020-01-30,4943
30,2020-01-31,4851
31,2020-02-01,4724
32,2020-02-02,5117
33,2020-02-03,6895
34,2020-02-04,7904
35,2020-02-05,7898
36,2020-02-06,11761
37,2020-02-07,12968
38,2020-02-08,14061
39,2020-02-09,14162
40,2020-02-10,13783
41,2020-02-11,13787
42,2020-02-12,13091
43,2020-02-13,13282
44,2020-02-14,15029
45,2020-02-15,13546
46,2020-02-16,12503
47,2020-02-17,13409
48,2020-02-18,11719
49,2020-02-19,11256
50,2020-02-20,11737
51,2020-02-21,11685
52,2020-02-22,10970
53,2020-02-23,10914
54,2020-02-24,11055
55,2020-02-25,10537
56,2020-02-26,11432
57,2020-02-27,10837
58,2020-02-28,10521
59,2020-02-29,10480
60,2020-03-01,13623
61,2020-03-02,13661
62,2020-03-03,10341
63,2020-03-04,9067
64,2020-03-05,8806
65,2020-03-06,9544
66,2020-03-07,9265
67,2020-03-08,10024
68,2020-03-09,8703
69,2020-03-10,7957
70,2020-03-11,7419
71,2020-03-12,7243
72,2020-03-13,7714
73,2020-03-14,7244
74,2020-03-15,7103
75,2020-03-16,7143
76,2020-03-17,6925
77,2020-03-18,7009
78,2020-03-19,7154
79,2020-03-20,7007
80,2020-03-21,6735
81,2020-03-22,7046
82,2020-03-23,7743
83,2020-03-24,7228
84,2020-03-25,7390
85,2020-03-26,6722
86,2020-03-27,6537
87,2020-03-28,5439
88,2020-03-29,5456
89,2020-03-30,6319
90,2020-03-31,6303
91,2020-04-01,5685
92,2020-04-02,5294
93,2020-04-03,5343
94,2020-04-04,4780
95,2020-04-05,5016
96,2020-04-06,5169
97,2020-04-07,5651
98,2020-04-08,5156
99,2020-04-09,5600
100,2020-04-10,5604
101,2020-04-11,5381
102,2020-04-12,5171
103,2020-04-13,4912
104,2020-04-14,4887
105,2020-04-15,5364
106,2020-04-16,5165
107,2020-04-17,5361
108,2020-04-18,5052
109,2020-04-19,5178
110,2020-04-20,5265
111,2020-04-21,5021
112,2020-04-22,4907
113,2020-04-23,5408
114,2020-04-24,5657
115,2020-04-25,5295
116,2020-04-26,5298
117,2020-04-27,4799
118,2020-04-28,4663
119,2020-04-29,5395
120,2020-04-30,4957
121,2020-05-01,4383
122,2020-05-02,4373
123,2020-05-03,4365
124,2020-05-04,4854
125,2020-05-05,4622
126,2020-05-06,5062
127,2020-05-07,4408
128,2020-05-08,4427
129,2020-05-09,4415
130,2020-05-10,3971
131,2020-05-11,4250
132,2020-05-12,4516
133,2020-05-13,4195
