颜值,Date,DecryptedData
0,2015-01-01,2487
1,2015-01-02,2813
2,2015-01-03,2698
3,2015-01-04,2379
4,2015-01-05,3228
5,2015-01-06,3830
6,2015-01-07,3312
7,2015-01-08,2545
8,2015-01-09,3138
9,2015-01-10,3012
10,2015-01-11,2903
11,2015-01-12,2210
12,2015-01-13,1988
13,2015-01-14,2475
14,2015-01-15,2120
15,2015-01-16,2503
16,2015-01-17,2709
17,2015-01-18,2383
18,2015-01-19,2190
19,2015-01-20,2210
20,2015-01-21,2270
21,2015-01-22,2096
22,2015-01-23,2129
23,2015-01-24,2263
24,2015-01-25,2362
25,2015-01-26,2461
26,2015-01-27,2235
27,2015-01-28,2178
28,2015-01-29,2291
29,2015-01-30,2322
30,2015-01-31,2166
31,2015-02-01,2208
32,2015-02-02,2248
33,2015-02-03,2260
34,2015-02-04,2166
35,2015-02-05,2445
36,2015-02-06,2429
37,2015-02-07,3361
38,2015-02-08,2843
39,2015-02-09,2828
40,2015-02-10,3849
41,2015-02-11,3938
42,2015-02-12,3808
43,2015-02-13,3221
44,2015-02-14,2950
45,2015-02-15,3142
46,2015-02-16,3215
47,2015-02-17,3331
48,2015-02-18,3703
49,2015-02-19,5361
50,2015-02-20,4272
51,2015-02-21,3752
52,2015-02-22,3251
53,2015-02-23,3379
54,2015-02-24,2901
55,2015-02-25,2512
56,2015-02-26,2481
57,2015-02-27,3943
58,2015-02-28,4384
59,2015-03-01,3083
60,2015-03-02,2773
61,2015-03-03,2319
62,2015-03-04,2918
63,2015-03-05,4281
64,2015-03-06,4747
65,2015-03-07,4147
66,2015-03-08,3440
67,2015-03-09,2818
68,2015-03-10,2826
69,2015-03-11,2570
70,2015-03-12,2224
71,2015-03-13,2623
72,2015-03-14,3006
73,2015-03-15,3017
74,2015-03-16,3086
75,2015-03-17,2495
76,2015-03-18,2626
77,2015-03-19,2348
78,2015-03-20,2690
79,2015-03-21,3190
80,2015-03-22,3252
81,2015-03-23,2887
82,2015-03-24,3070
83,2015-03-25,2682
84,2015-03-26,2854
85,2015-03-27,2823
86,2015-03-28,2688
87,2015-03-29,2585
88,2015-03-30,2338
89,2015-03-31,2070
90,2015-04-01,2152
91,2015-04-02,2036
92,2015-04-03,2061
93,2015-04-04,2592
94,2015-04-05,2493
95,2015-04-06,2285
96,2015-04-07,2110
97,2015-04-08,2046
98,2015-04-09,2000
99,2015-04-10,2360
100,2015-04-11,2704
101,2015-04-12,2535
102,2015-04-13,2644
103,2015-04-14,3708
104,2015-04-15,2503
105,2015-04-16,2058
106,2015-04-17,2183
107,2015-04-18,3109
108,2015-04-19,2642
109,2015-04-20,2194
110,2015-04-21,1973
111,2015-04-22,1900
112,2015-04-23,1888
113,2015-04-24,1912
114,2015-04-25,2680
115,2015-04-26,2162
116,2015-04-27,1882
117,2015-04-28,1858
118,2015-04-29,1921
119,2015-04-30,2165
120,2015-05-01,2250
121,2015-05-02,2458
122,2015-05-03,2490
123,2015-05-04,2308
124,2015-05-05,2973
125,2015-05-06,5580
126,2015-05-07,4438
127,2015-05-08,3653
128,2015-05-09,3156
129,2015-05-10,3321
130,2015-05-11,3269
131,2015-05-12,2514
132,2015-05-13,2293
133,2015-05-14,2412
134,2015-05-15,2254
135,2015-05-16,3069
136,2015-05-17,2741
137,2015-05-18,2190
138,2015-05-19,2059
139,2015-05-20,1958
140,2015-05-21,1851
141,2015-05-22,1906
142,2015-05-23,2062
143,2015-05-24,2123
144,2015-05-25,1825
145,2015-05-26,1846
146,2015-05-27,1829
147,2015-05-28,1877
148,2015-05-29,1850
149,2015-05-30,1883
150,2015-05-31,1796
151,2015-06-01,1875
152,2015-06-02,1891
153,2015-06-03,1869
154,2015-06-04,1844
155,2015-06-05,2020
156,2015-06-06,1973
157,2015-06-07,1859
158,2015-06-08,1823
159,2015-06-09,1827
160,2015-06-10,1793
161,2015-06-11,1869
162,2015-06-12,1957
163,2015-06-13,2058
164,2015-06-14,2043
165,2015-06-15,1854
166,2015-06-16,1828
167,2015-06-17,1855
168,2015-06-18,1805
169,2015-06-19,1811
170,2015-06-20,2007
171,2015-06-21,2090
172,2015-06-22,1903
173,2015-06-23,1866
174,2015-06-24,1835
175,2015-06-25,2170
176,2015-06-26,2463
177,2015-06-27,2123
178,2015-06-28,2049
179,2015-06-29,1897
180,2015-06-30,1898
181,2015-07-01,2274
182,2015-07-02,2628
183,2015-07-03,2379
184,2015-07-04,2234
185,2015-07-05,1945
186,2015-07-06,1941
187,2015-07-07,1904
188,2015-07-08,1886
189,2015-07-09,1904
190,2015-07-10,2113
191,2015-07-11,2120
192,2015-07-12,2010
193,2015-07-13,1929
194,2015-07-14,1882
195,2015-07-15,1875
196,2015-07-16,2309
197,2015-07-17,3153
198,2015-07-18,2073
199,2015-07-19,2059
200,2015-07-20,1954
201,2015-07-21,2007
202,2015-07-22,1975
203,2015-07-23,1856
204,2015-07-24,1874
205,2015-07-25,1716
206,2015-07-26,2045
207,2015-07-27,1893
208,2015-07-28,1838
209,2015-07-29,1836
210,2015-07-30,2004
211,2015-07-31,1896
212,2015-08-01,1871
213,2015-08-02,1713
214,2015-08-03,1809
215,2015-08-04,1824
216,2015-08-05,1818
217,2015-08-06,1834
218,2015-08-07,2061
219,2015-08-08,1885
220,2015-08-09,1924
221,2015-08-10,1885
222,2015-08-11,1854
223,2015-08-12,1839
224,2015-08-13,1809
225,2015-08-14,1758
226,2015-08-15,1661
227,2015-08-16,1600
228,2015-08-17,1726
229,2015-08-18,1756
230,2015-08-19,1754
231,2015-08-20,1754
232,2015-08-21,1764
233,2015-08-22,1597
234,2015-08-23,1686
235,2015-08-24,1753
236,2015-08-25,1732
237,2015-08-26,1689
238,2015-08-27,1722
239,2015-08-28,1728
240,2015-08-29,1502
241,2015-08-30,1474
242,2015-08-31,1535
243,2015-09-01,1486
244,2015-09-02,1462
245,2015-09-03,1464
246,2015-09-04,1464
247,2015-09-05,1357
248,2015-09-06,1501
249,2015-09-07,1409
250,2015-09-08,1424
251,2015-09-09,1346
252,2015-09-10,1488
253,2015-09-11,1438
254,2015-09-12,1429
255,2015-09-13,1531
256,2015-09-14,1461
257,2015-09-15,1465
258,2015-09-16,1495
259,2015-09-17,1524
260,2015-09-18,1417
261,2015-09-19,1414
262,2015-09-20,1419
263,2015-09-21,1522
264,2015-09-22,1376
265,2015-09-23,1300
266,2015-09-24,1328
267,2015-09-25,1281
268,2015-09-26,1375
269,2015-09-27,1286
270,2015-09-28,1161
271,2015-09-29,1246
272,2015-09-30,1303
273,2015-10-01,1361
274,2015-10-02,1257
275,2015-10-03,1331
276,2015-10-04,1446
277,2015-10-05,1320
278,2015-10-06,1349
279,2015-10-07,1351
280,2015-10-08,1389
281,2015-10-09,1313
282,2015-10-10,1309
283,2015-10-11,1322
284,2015-10-12,1188
285,2015-10-13,1208
286,2015-10-14,1192
287,2015-10-15,1426
288,2015-10-16,1236
289,2015-10-17,1322
290,2015-10-18,1339
291,2015-10-19,1339
292,2015-10-20,1304
293,2015-10-21,1227
294,2015-10-22,1273
295,2015-10-23,1160
296,2015-10-24,1283
297,2015-10-25,1207
