风油精,Date,DecryptedData
0,2016-01-01,842
1,2016-01-02,835
2,2016-01-03,951
3,2016-01-04,1057
4,2016-01-05,1070
5,2016-01-06,1039
6,2016-01-07,1002
7,2016-01-08,946
8,2016-01-09,939
9,2016-01-10,916
10,2016-01-11,985
11,2016-01-12,939
12,2016-01-13,970
13,2016-01-14,989
14,2016-01-15,886
15,2016-01-16,888
16,2016-01-17,847
17,2016-01-18,951
18,2016-01-19,899
19,2016-01-20,969
20,2016-01-21,926
21,2016-01-22,912
22,2016-01-23,846
23,2016-01-24,878
24,2016-01-25,1169
25,2016-01-26,1112
26,2016-01-27,1127
27,2016-01-28,1118
28,2016-01-29,959
29,2016-01-30,842
30,2016-01-31,800
31,2016-02-01,906
32,2016-02-02,997
33,2016-02-03,841
34,2016-02-04,842
35,2016-02-05,809
36,2016-02-06,749
37,2016-02-07,622
38,2016-02-08,687
39,2016-02-09,704
40,2016-02-10,807
41,2016-02-11,813
42,2016-02-12,950
43,2016-02-13,907
44,2016-02-14,853
45,2016-02-15,847
46,2016-02-16,956
47,2016-02-17,889
48,2016-02-18,1053
49,2016-02-19,1024
50,2016-02-20,920
51,2016-02-21,989
52,2016-02-22,952
53,2016-02-23,965
54,2016-02-24,969
55,2016-02-25,925
56,2016-02-26,970
57,2016-02-27,976
58,2016-02-28,962
59,2016-02-29,1059
60,2016-03-01,1065
61,2016-03-02,1113
62,2016-03-03,1130
63,2016-03-04,1157
64,2016-03-05,1162
65,2016-03-06,1142
66,2016-03-07,1253
67,2016-03-08,1108
68,2016-03-09,1161
69,2016-03-10,1108
70,2016-03-11,1052
71,2016-03-12,1023
72,2016-03-13,1074
73,2016-03-14,1147
74,2016-03-15,1122
75,2016-03-16,1098
76,2016-03-17,1193
77,2016-03-18,1162
78,2016-03-19,1102
79,2016-03-20,1250
80,2016-03-21,1262
81,2016-03-22,1215
82,2016-03-23,1239
83,2016-03-24,1168
84,2016-03-25,1094
85,2016-03-26,1097
86,2016-03-27,1185
87,2016-03-28,1173
88,2016-03-29,1145
89,2016-03-30,1281
90,2016-03-31,1278
91,2016-04-01,1224
92,2016-04-02,1158
93,2016-04-03,1192
94,2016-04-04,1216
95,2016-04-05,1319
96,2016-04-06,1358
97,2016-04-07,1324
98,2016-04-08,1323
99,2016-04-09,1239
100,2016-04-10,1279
101,2016-04-11,1359
102,2016-04-12,1384
103,2016-04-13,1417
104,2016-04-14,1280
105,2016-04-15,1253
106,2016-04-16,1239
107,2016-04-17,1058
108,2016-04-18,1261
109,2016-04-19,1201
110,2016-04-20,1249
111,2016-04-21,1213
112,2016-04-22,1310
113,2016-04-23,1234
114,2016-04-24,1257
115,2016-04-25,1435
116,2016-04-26,1410
117,2016-04-27,1330
118,2016-04-28,1437
119,2016-04-29,1339
120,2016-04-30,1241
121,2016-05-01,1329
122,2016-05-02,1435
123,2016-05-03,1595
124,2016-05-04,1631
125,2016-05-05,1697
126,2016-05-06,1594
127,2016-05-07,1427
128,2016-05-08,1420
129,2016-05-09,1459
130,2016-05-10,1508
131,2016-05-11,1556
132,2016-05-12,1670
133,2016-05-13,1543
134,2016-05-14,1438
135,2016-05-15,1380
136,2016-05-16,1577
137,2016-05-17,1517
138,2016-05-18,1660
139,2016-05-19,1618
140,2016-05-20,1459
141,2016-05-21,1511
142,2016-05-22,1599
143,2016-05-23,1878
144,2016-05-24,1702
145,2016-05-25,1776
146,2016-05-26,1775
147,2016-05-27,1779
148,2016-05-28,1600
149,2016-05-29,1745
150,2016-05-30,2099
151,2016-05-31,2003
152,2016-06-01,1899
153,2016-06-02,1911
154,2016-06-03,1786
155,2016-06-04,1741
156,2016-06-05,1747
157,2016-06-06,2176
158,2016-06-07,2088
159,2016-06-08,1805
160,2016-06-09,1717
161,2016-06-10,2008
162,2016-06-11,2150
163,2016-06-12,2411
164,2016-06-13,2312
165,2016-06-14,2266
166,2016-06-15,2141
167,2016-06-16,2132
168,2016-06-17,2008
169,2016-06-18,1952
170,2016-06-19,1981
171,2016-06-20,2386
172,2016-06-21,2453
173,2016-06-22,2498
174,2016-06-23,2429
175,2016-06-24,2141
176,2016-06-25,1921
177,2016-06-26,1984
178,2016-06-27,2223
179,2016-06-28,2049
180,2016-06-29,2309
181,2016-06-30,2365
182,2016-07-01,2184
183,2016-07-02,2159
184,2016-07-03,2130
185,2016-07-04,2417
186,2016-07-05,2634
187,2016-07-06,2828
188,2016-07-07,3179
189,2016-07-08,3049
190,2016-07-09,2870
191,2016-07-10,2991
192,2016-07-11,2926
193,2016-07-12,2876
194,2016-07-13,2692
195,2016-07-14,2630
196,2016-07-15,2514
197,2016-07-16,2261
198,2016-07-17,2376
199,2016-07-18,2562
200,2016-07-19,2369
201,2016-07-20,2418
202,2016-07-21,2557
203,2016-07-22,4020
204,2016-07-23,7777
205,2016-07-24,8104
206,2016-07-25,10346
207,2016-07-26,71802
208,2016-07-27,92548
209,2016-07-28,79490
210,2016-07-29,66291
211,2016-07-30,63268
212,2016-07-31,65002
213,2016-08-01,61263
214,2016-08-02,74155
215,2016-08-03,71595
216,2016-08-04,97713
217,2016-08-05,62572
218,2016-08-06,46344
219,2016-08-07,41390
220,2016-08-08,37159
221,2016-08-09,33393
222,2016-08-10,29937
223,2016-08-11,28061
224,2016-08-12,25922
225,2016-08-13,21773
226,2016-08-14,19821
227,2016-08-15,18758
228,2016-08-16,17625
229,2016-08-17,17514
230,2016-08-18,16656
231,2016-08-19,16239
232,2016-08-20,16554
233,2016-08-21,13663
234,2016-08-22,13618
235,2016-08-23,12772
236,2016-08-24,12385
237,2016-08-25,11389
238,2016-08-26,10520
239,2016-08-27,10672
240,2016-08-28,9560
241,2016-08-29,9135
242,2016-08-30,9165
243,2016-08-31,8393
244,2016-09-01,8213
245,2016-09-02,8161
246,2016-09-03,7487
247,2016-09-04,6843
248,2016-09-05,6458
249,2016-09-06,5708
250,2016-09-07,5610
251,2016-09-08,5405
252,2016-09-09,5078
253,2016-09-10,5279
254,2016-09-11,5105
255,2016-09-12,4773
256,2016-09-13,4507
257,2016-09-14,4329
258,2016-09-15,5927
259,2016-09-16,7192
260,2016-09-17,5045
261,2016-09-18,4206
262,2016-09-19,4008
263,2016-09-20,3691
264,2016-09-21,3847
265,2016-09-22,3716
266,2016-09-23,3712
267,2016-09-24,3976
268,2016-09-25,4042
269,2016-09-26,3962
270,2016-09-27,3643
271,2016-09-28,3439
272,2016-09-29,3168
273,2016-09-30,3291
274,2016-10-01,3423
275,2016-10-02,3691
276,2016-10-03,4147
277,2016-10-04,4091
278,2016-10-05,4334
279,2016-10-06,3973
280,2016-10-07,3579
281,2016-10-08,3139
282,2016-10-09,3008
283,2016-10-10,2805
284,2016-10-11,2829
285,2016-10-12,3292
286,2016-10-13,2991
287,2016-10-14,2942
288,2016-10-15,3072
289,2016-10-16,3008
290,2016-10-17,2687
291,2016-10-18,2759
292,2016-10-19,2852
293,2016-10-20,2848
294,2016-10-21,2825
295,2016-10-22,2861
296,2016-10-23,2761
297,2016-10-24,2574
298,2016-10-25,2508
299,2016-10-26,2912
300,2016-10-27,2699
301,2016-10-28,3120
302,2016-10-29,4033
303,2016-10-30,5718
304,2016-10-31,4203
305,2016-11-01,3501
306,2016-11-02,2822
307,2016-11-03,3177
308,2016-11-04,2794
309,2016-11-05,3014
310,2016-11-06,4380
311,2016-11-07,3278
312,2016-11-08,3101
313,2016-11-09,2541
314,2016-11-10,2302
315,2016-11-11,2083
316,2016-11-12,2400
317,2016-11-13,2574
318,2016-11-14,2347
319,2016-11-15,2619
320,2016-11-16,3632
321,2016-11-17,5408
322,2016-11-18,2987
323,2016-11-19,2836
324,2016-11-20,3197
325,2016-11-21,2901
326,2016-11-22,2444
327,2016-11-23,2290
328,2016-11-24,2129
329,2016-11-25,2179
330,2016-11-26,2528
331,2016-11-27,2632
332,2016-11-28,2514
333,2016-11-29,2621
334,2016-11-30,2518
335,2016-12-01,2346
336,2016-12-02,2516
337,2016-12-03,2915
338,2016-12-04,2774
339,2016-12-05,2604
340,2016-12-06,2603
341,2016-12-07,2434
342,2016-12-08,2356
343,2016-12-09,2348
344,2016-12-10,2359
345,2016-12-11,2260
346,2016-12-12,2093
347,2016-12-13,2263
348,2016-12-14,2292
349,2016-12-15,2219
350,2016-12-16,2072
351,2016-12-17,2185
352,2016-12-18,2336
353,2016-12-19,2280
354,2016-12-20,2289
355,2016-12-21,2183
356,2016-12-22,2167
357,2016-12-23,2503
358,2016-12-24,2506
359,2016-12-25,2467
360,2016-12-26,2415
361,2016-12-27,2143
362,2016-12-28,2036
363,2016-12-29,2040
364,2016-12-30,1847
365,2016-12-31,1745
