饭圈,Date,DecryptedData
0,2019-01-01,475
1,2019-01-02,504
2,2019-01-03,353
3,2019-01-04,470
4,2019-01-05,434
5,2019-01-06,1157
6,2019-01-07,1290
7,2019-01-08,733
8,2019-01-09,541
9,2019-01-10,446
10,2019-01-11,551
11,2019-01-12,467
12,2019-01-13,482
13,2019-01-14,489
14,2019-01-15,516
15,2019-01-16,464
16,2019-01-17,460
17,2019-01-18,499
18,2019-01-19,428
19,2019-01-20,463
20,2019-01-21,547
21,2019-01-22,535
22,2019-01-23,716
23,2019-01-24,561
24,2019-01-25,503
25,2019-01-26,467
26,2019-01-27,465
27,2019-01-28,496
28,2019-01-29,518
29,2019-01-30,512
30,2019-01-31,564
31,2019-02-01,505
32,2019-02-02,509
33,2019-02-03,504
34,2019-02-04,556
35,2019-02-05,352
36,2019-02-06,491
37,2019-02-07,604
38,2019-02-08,925
39,2019-02-09,705
40,2019-02-10,820
41,2019-02-11,689
42,2019-02-12,817
43,2019-02-13,842
44,2019-02-14,789
45,2019-02-15,687
46,2019-02-16,637
47,2019-02-17,868
48,2019-02-18,960
49,2019-02-19,719
50,2019-02-20,559
51,2019-02-21,632
52,2019-02-22,609
53,2019-02-23,747
54,2019-02-24,617
55,2019-02-25,533
56,2019-02-26,651
57,2019-02-27,518
58,2019-02-28,522
59,2019-03-01,523
60,2019-03-02,513
61,2019-03-03,590
62,2019-03-04,679
63,2019-03-05,821
64,2019-03-06,643
65,2019-03-07,572
66,2019-03-08,551
67,2019-03-09,703
68,2019-03-10,608
69,2019-03-11,644
70,2019-03-12,709
71,2019-03-13,634
72,2019-03-14,698
73,2019-03-15,592
74,2019-03-16,597
75,2019-03-17,593
76,2019-03-18,552
77,2019-03-19,590
78,2019-03-20,570
79,2019-03-21,616
80,2019-03-22,1095
81,2019-03-23,867
82,2019-03-24,1071
83,2019-03-25,1106
84,2019-03-26,870
85,2019-03-27,802
86,2019-03-28,695
87,2019-03-29,630
88,2019-03-30,723
89,2019-03-31,670
90,2019-04-01,539
91,2019-04-02,551
92,2019-04-03,551
93,2019-04-04,556
94,2019-04-05,520
95,2019-04-06,623
96,2019-04-07,938
97,2019-04-08,806
98,2019-04-09,806
99,2019-04-10,885
100,2019-04-11,830
101,2019-04-12,797
102,2019-04-13,783
103,2019-04-14,838
104,2019-04-15,744
105,2019-04-16,1211
106,2019-04-17,1338
107,2019-04-18,1222
108,2019-04-19,892
109,2019-04-20,769
110,2019-04-21,832
111,2019-04-22,903
112,2019-04-23,723
113,2019-04-24,612
114,2019-04-25,635
115,2019-04-26,672
116,2019-04-27,675
117,2019-04-28,618
118,2019-04-29,696
119,2019-04-30,616
120,2019-05-01,586
121,2019-05-02,566
122,2019-05-03,703
123,2019-05-04,666
124,2019-05-05,640
125,2019-05-06,632
126,2019-05-07,669
127,2019-05-08,648
128,2019-05-09,600
129,2019-05-10,612
130,2019-05-11,595
131,2019-05-12,656
132,2019-05-13,1019
133,2019-05-14,967
134,2019-05-15,991
135,2019-05-16,921
136,2019-05-17,932
137,2019-05-18,917
138,2019-05-19,881
139,2019-05-20,690
140,2019-05-21,800
141,2019-05-22,809
142,2019-05-23,760
143,2019-05-24,732
144,2019-05-25,737
145,2019-05-26,848
146,2019-05-27,757
147,2019-05-28,734
148,2019-05-29,672
149,2019-05-30,713
150,2019-05-31,546
151,2019-06-01,543
152,2019-06-02,567
153,2019-06-03,630
154,2019-06-04,674
155,2019-06-05,706
156,2019-06-06,595
157,2019-06-07,528
158,2019-06-08,638
159,2019-06-09,662
160,2019-06-10,809
161,2019-06-11,831
162,2019-06-12,720
163,2019-06-13,670
164,2019-06-14,746
165,2019-06-15,643
166,2019-06-16,603
167,2019-06-17,658
168,2019-06-18,558
169,2019-06-19,623
170,2019-06-20,810
171,2019-06-21,593
172,2019-06-22,653
173,2019-06-23,665
174,2019-06-24,637
175,2019-06-25,643
176,2019-06-26,616
177,2019-06-27,671
178,2019-06-28,571
179,2019-06-29,595
180,2019-06-30,605
181,2019-07-01,581
182,2019-07-02,601
183,2019-07-03,712
184,2019-07-04,645
185,2019-07-05,661
186,2019-07-06,572
187,2019-07-07,650
188,2019-07-08,637
189,2019-07-09,669
190,2019-07-10,651
191,2019-07-11,610
192,2019-07-12,730
193,2019-07-13,644
194,2019-07-14,720
195,2019-07-15,697
196,2019-07-16,858
197,2019-07-17,1198
198,2019-07-18,1685
199,2019-07-19,1514
200,2019-07-20,1162
201,2019-07-21,1564
202,2019-07-22,1752
203,2019-07-23,1300
204,2019-07-24,1290
205,2019-07-25,1131
206,2019-07-26,1081
207,2019-07-27,988
208,2019-07-28,966
209,2019-07-29,1000
210,2019-07-30,1331
211,2019-07-31,1278
212,2019-08-01,1150
213,2019-08-02,1094
214,2019-08-03,1162
215,2019-08-04,1121
216,2019-08-05,1139
217,2019-08-06,1159
218,2019-08-07,963
219,2019-08-08,988
220,2019-08-09,999
221,2019-08-10,1137
222,2019-08-11,1067
223,2019-08-12,1084
224,2019-08-13,1122
