倒逼,Date,DecryptedData
0,2013-01-01,151
1,2013-01-02,167
2,2013-01-03,156
3,2013-01-04,176
4,2013-01-05,198
5,2013-01-06,214
6,2013-01-07,195
7,2013-01-08,194
8,2013-01-09,244
9,2013-01-10,193
10,2013-01-11,238
11,2013-01-12,155
12,2013-01-13,153
13,2013-01-14,210
14,2013-01-15,196
15,2013-01-16,184
16,2013-01-17,202
17,2013-01-18,188
18,2013-01-19,152
19,2013-01-20,142
20,2013-01-21,177
21,2013-01-22,190
22,2013-01-23,179
23,2013-01-24,206
24,2013-01-25,176
25,2013-01-26,159
26,2013-01-27,165
27,2013-01-28,186
28,2013-01-29,188
29,2013-01-30,218
30,2013-01-31,175
31,2013-02-01,191
32,2013-02-02,142
33,2013-02-03,143
34,2013-02-04,218
35,2013-02-05,189
36,2013-02-06,159
37,2013-02-07,146
38,2013-02-08,141
39,2013-02-09,131
40,2013-02-10,126
41,2013-02-11,131
42,2013-02-12,125
43,2013-02-13,129
44,2013-02-14,74
45,2013-02-15,128
46,2013-02-16,142
47,2013-02-17,174
48,2013-02-18,181
49,2013-02-19,191
50,2013-02-20,153
51,2013-02-21,197
52,2013-02-22,190
53,2013-02-23,146
54,2013-02-24,162
55,2013-02-25,222
56,2013-02-26,179
57,2013-02-27,205
58,2013-02-28,199
59,2013-03-01,167
60,2013-03-02,188
61,2013-03-03,150
62,2013-03-04,254
63,2013-03-05,265
64,2013-03-06,241
65,2013-03-07,237
66,2013-03-08,197
67,2013-03-09,165
68,2013-03-10,176
69,2013-03-11,216
70,2013-03-12,284
71,2013-03-13,250
72,2013-03-14,181
73,2013-03-15,192
74,2013-03-16,191
75,2013-03-17,352
76,2013-03-18,280
77,2013-03-19,231
78,2013-03-20,231
79,2013-03-21,204
80,2013-03-22,219
81,2013-03-23,182
82,2013-03-24,192
83,2013-03-25,234
84,2013-03-26,177
85,2013-03-27,201
86,2013-03-28,223
87,2013-03-29,210
88,2013-03-30,205
89,2013-03-31,202
90,2013-04-01,251
91,2013-04-02,216
92,2013-04-03,226
93,2013-04-04,157
94,2013-04-05,177
95,2013-04-06,177
96,2013-04-07,194
97,2013-04-08,222
98,2013-04-09,240
99,2013-04-10,227
100,2013-04-11,257
101,2013-04-12,254
102,2013-04-13,164
103,2013-04-14,157
104,2013-04-15,212
105,2013-04-16,203
106,2013-04-17,185
107,2013-04-18,192
108,2013-04-19,185
109,2013-04-20,153
110,2013-04-21,174
111,2013-04-22,212
112,2013-04-23,192
113,2013-04-24,193
114,2013-04-25,197
115,2013-04-26,165
116,2013-04-27,171
117,2013-04-28,163
118,2013-04-29,145
119,2013-04-30,142
120,2013-05-01,152
121,2013-05-02,190
122,2013-05-03,156
123,2013-05-04,137
124,2013-05-05,146
125,2013-05-06,183
126,2013-05-07,180
127,2013-05-08,195
128,2013-05-09,200
129,2013-05-10,186
130,2013-05-11,154
131,2013-05-12,162
132,2013-05-13,178
133,2013-05-14,211
134,2013-05-15,185
135,2013-05-16,171
136,2013-05-17,198
137,2013-05-18,162
138,2013-05-19,178
139,2013-05-20,196
140,2013-05-21,174
141,2013-05-22,190
142,2013-05-23,223
143,2013-05-24,198
144,2013-05-25,158
145,2013-05-26,171
146,2013-05-27,262
147,2013-05-28,225
148,2013-05-29,202
149,2013-05-30,214
150,2013-05-31,177
151,2013-06-01,142
152,2013-06-02,174
153,2013-06-03,192
154,2013-06-04,188
155,2013-06-05,199
156,2013-06-06,189
157,2013-06-07,165
158,2013-06-08,169
159,2013-06-09,168
160,2013-06-10,143
161,2013-06-11,137
162,2013-06-12,146
163,2013-06-13,179
164,2013-06-14,223
165,2013-06-15,194
166,2013-06-16,150
167,2013-06-17,207
168,2013-06-18,199
169,2013-06-19,205
170,2013-06-20,173
171,2013-06-21,213
172,2013-06-22,158
173,2013-06-23,178
174,2013-06-24,214
175,2013-06-25,227
176,2013-06-26,208
177,2013-06-27,210
178,2013-06-28,190
179,2013-06-29,141
180,2013-06-30,152
181,2013-07-01,184
182,2013-07-02,176
183,2013-07-03,202
184,2013-07-04,192
185,2013-07-05,167
186,2013-07-06,153
187,2013-07-07,151
188,2013-07-08,210
189,2013-07-09,182
190,2013-07-10,214
191,2013-07-11,193
192,2013-07-12,181
193,2013-07-13,152
194,2013-07-14,145
195,2013-07-15,194
196,2013-07-16,188
197,2013-07-17,169
198,2013-07-18,167
199,2013-07-19,180
200,2013-07-20,132
201,2013-07-21,144
202,2013-07-22,172
203,2013-07-23,228
204,2013-07-24,306
205,2013-07-25,248
206,2013-07-26,183
207,2013-07-27,171
208,2013-07-28,184
209,2013-07-29,182
210,2013-07-30,222
211,2013-07-31,222
212,2013-08-01,205
213,2013-08-02,352
214,2013-08-03,200
215,2013-08-04,158
216,2013-08-05,207
217,2013-08-06,191
218,2013-08-07,195
219,2013-08-08,226
220,2013-08-09,174
221,2013-08-10,143
222,2013-08-11,165
223,2013-08-12,208
224,2013-08-13,190
225,2013-08-14,190
226,2013-08-15,187
227,2013-08-16,182
228,2013-08-17,170
229,2013-08-18,149
230,2013-08-19,201
231,2013-08-20,189
232,2013-08-21,192
233,2013-08-22,188
234,2013-08-23,181
235,2013-08-24,150
236,2013-08-25,165
237,2013-08-26,165
238,2013-08-27,184
239,2013-08-28,217
240,2013-08-29,203
241,2013-08-30,196
242,2013-08-31,165
243,2013-09-01,160
244,2013-09-02,195
245,2013-09-03,177
246,2013-09-04,189
247,2013-09-05,185
248,2013-09-06,173
249,2013-09-07,164
250,2013-09-08,179
251,2013-09-09,204
252,2013-09-10,209
253,2013-09-11,167
254,2013-09-12,181
255,2013-09-13,188
256,2013-09-14,167
257,2013-09-15,171
258,2013-09-16,216
259,2013-09-17,208
260,2013-09-18,191
261,2013-09-19,175
262,2013-09-20,168
263,2013-09-21,197
264,2013-09-22,193
265,2013-09-23,228
266,2013-09-24,251
267,2013-09-25,202
268,2013-09-26,216
269,2013-09-27,171
270,2013-09-28,218
271,2013-09-29,224
272,2013-09-30,232
273,2013-10-01,182
274,2013-10-02,163
275,2013-10-03,150
276,2013-10-04,173
277,2013-10-05,167
278,2013-10-06,159
279,2013-10-07,164
280,2013-10-08,211
281,2013-10-09,205
282,2013-10-10,205
283,2013-10-11,201
284,2013-10-12,210
285,2013-10-13,155
286,2013-10-14,251
287,2013-10-15,217
288,2013-10-16,221
289,2013-10-17,241
290,2013-10-18,211
291,2013-10-19,204
292,2013-10-20,162
293,2013-10-21,216
294,2013-10-22,227
295,2013-10-23,225
296,2013-10-24,205
297,2013-10-25,202
298,2013-10-26,171
299,2013-10-27,171
300,2013-10-28,207
301,2013-10-29,226
302,2013-10-30,214
303,2013-10-31,198
304,2013-11-01,199
305,2013-11-02,188
306,2013-11-03,169
307,2013-11-04,220
308,2013-11-05,219
309,2013-11-06,248
310,2013-11-07,207
311,2013-11-08,221
312,2013-11-09,156
313,2013-11-10,213
314,2013-11-11,211
315,2013-11-12,252
316,2013-11-13,255
317,2013-11-14,1398
318,2013-11-15,444
319,2013-11-16,318
320,2013-11-17,305
321,2013-11-18,324
322,2013-11-19,350
323,2013-11-20,301
324,2013-11-21,285
325,2013-11-22,341
326,2013-11-23,250
327,2013-11-24,236
328,2013-11-25,258
329,2013-11-26,278
330,2013-11-27,249
331,2013-11-28,244
332,2013-11-29,194
333,2013-11-30,183
334,2013-12-01,183
335,2013-12-02,238
336,2013-12-03,262
337,2013-12-04,214
338,2013-12-05,234
339,2013-12-06,210
340,2013-12-07,163
341,2013-12-08,233
342,2013-12-09,222
343,2013-12-10,278
344,2013-12-11,251
345,2013-12-12,239
346,2013-12-13,261
347,2013-12-14,178
348,2013-12-15,197
349,2013-12-16,231
350,2013-12-17,246
351,2013-12-18,1560
352,2013-12-19,9012
353,2013-12-20,6362
354,2013-12-21,2373
355,2013-12-22,1839
356,2013-12-23,1710
357,2013-12-24,1156
358,2013-12-25,980
359,2013-12-26,830
360,2013-12-27,690
361,2013-12-28,511
