十动然拒,Date,DecryptedData
0,2013-01-01,774
1,2013-01-02,21926
2,2013-01-03,12802
3,2013-01-04,6068
4,2013-01-05,4073
5,2013-01-06,3028
6,2013-01-07,2522
7,2013-01-08,2318
8,2013-01-09,2187
9,2013-01-10,2083
10,2013-01-11,1762
11,2013-01-12,1673
12,2013-01-13,1630
13,2013-01-14,1491
14,2013-01-15,1377
15,2013-01-16,1428
16,2013-01-17,1227
17,2013-01-18,1094
18,2013-01-19,1030
19,2013-01-20,1062
20,2013-01-21,1064
21,2013-01-22,1133
22,2013-01-23,1003
23,2013-01-24,1030
24,2013-01-25,964
25,2013-01-26,792
26,2013-01-27,777
27,2013-01-28,852
28,2013-01-29,850
29,2013-01-30,905
30,2013-01-31,869
31,2013-02-01,910
32,2013-02-02,752
33,2013-02-03,903
34,2013-02-04,812
35,2013-02-05,734
36,2013-02-06,840
37,2013-02-07,1492
38,2013-02-08,918
39,2013-02-09,546
40,2013-02-10,433
41,2013-02-11,545
42,2013-02-12,515
43,2013-02-13,576
44,2013-02-14,765
45,2013-02-15,784
46,2013-02-16,799
47,2013-02-17,770
48,2013-02-18,714
49,2013-02-19,776
50,2013-02-20,1120
51,2013-02-21,865
52,2013-02-22,677
53,2013-02-23,584
54,2013-02-24,690
55,2013-02-25,774
56,2013-02-26,608
57,2013-02-27,535
58,2013-02-28,617
59,2013-03-01,589
60,2013-03-02,645
61,2013-03-03,623
62,2013-03-04,586
63,2013-03-05,571
64,2013-03-06,579
65,2013-03-07,531
66,2013-03-08,565
67,2013-03-09,635
68,2013-03-10,540
69,2013-03-11,618
70,2013-03-12,669
71,2013-03-13,589
72,2013-03-14,582
73,2013-03-15,586
74,2013-03-16,535
75,2013-03-17,499
76,2013-03-18,493
77,2013-03-19,817
78,2013-03-20,993
79,2013-03-21,684
80,2013-03-22,3240
81,2013-03-23,3411
82,2013-03-24,3946
83,2013-03-25,2133
84,2013-03-26,2446
85,2013-03-27,1384
86,2013-03-28,1097
