奇葩,Date,DecryptedData
0,2013-01-01,3367
1,2013-01-02,4639
2,2013-01-03,5146
3,2013-01-04,5035
4,2013-01-05,4852
5,2013-01-06,4667
6,2013-01-07,5015
7,2013-01-08,4827
8,2013-01-09,4452
9,2013-01-10,5046
10,2013-01-11,4856
11,2013-01-12,4287
12,2013-01-13,4377
13,2013-01-14,4891
14,2013-01-15,4837
15,2013-01-16,4438
16,2013-01-17,4955
17,2013-01-18,4312
18,2013-01-19,4138
19,2013-01-20,4339
20,2013-01-21,4547
21,2013-01-22,4065
22,2013-01-23,4129
23,2013-01-24,3974
24,2013-01-25,3854
25,2013-01-26,3828
26,2013-01-27,6139
27,2013-01-28,5019
28,2013-01-29,4416
29,2013-01-30,4238
30,2013-01-31,4096
31,2013-02-01,4100
32,2013-02-02,3807
33,2013-02-03,3801
34,2013-02-04,3916
35,2013-02-05,3960
36,2013-02-06,3411
37,2013-02-07,3412
38,2013-02-08,3060
39,2013-02-09,2256
40,2013-02-10,2382
41,2013-02-11,2364
42,2013-02-12,2436
43,2013-02-13,2333
44,2013-02-14,2465
45,2013-02-15,2558
46,2013-02-16,2653
47,2013-02-17,2757
48,2013-02-18,3055
49,2013-02-19,3482
50,2013-02-20,3258
51,2013-02-21,3751
52,2013-02-22,3333
53,2013-02-23,2893
54,2013-02-24,3328
55,2013-02-25,3199
56,2013-02-26,3119
57,2013-02-27,3247
58,2013-02-28,3406
59,2013-03-01,3384
60,2013-03-02,3198
61,2013-03-03,3243
62,2013-03-04,3351
63,2013-03-05,3389
64,2013-03-06,3416
65,2013-03-07,3425
66,2013-03-08,3108
67,2013-03-09,3357
68,2013-03-10,3417
69,2013-03-11,3623
70,2013-03-12,3647
71,2013-03-13,3804
72,2013-03-14,3968
73,2013-03-15,3395
74,2013-03-16,3408
75,2013-03-17,3385
76,2013-03-18,3688
77,2013-03-19,3857
78,2013-03-20,4198
79,2013-03-21,4123
80,2013-03-22,4201
81,2013-03-23,3835
82,2013-03-24,3851
83,2013-03-25,3907
84,2013-03-26,3722
85,2013-03-27,3700
86,2013-03-28,4277
87,2013-03-29,3836
88,2013-03-30,3861
89,2013-03-31,3770
90,2013-04-01,3675
91,2013-04-02,3673
92,2013-04-03,4600
93,2013-04-04,4017
94,2013-04-05,4073
95,2013-04-06,3726
96,2013-04-07,3539
97,2013-04-08,3599
98,2013-04-09,3600
99,2013-04-10,3546
100,2013-04-11,3389
101,2013-04-12,3429
102,2013-04-13,3237
103,2013-04-14,3100
104,2013-04-15,3168
105,2013-04-16,3115
106,2013-04-17,2983
107,2013-04-18,3624
108,2013-04-19,3513
109,2013-04-20,3024
110,2013-04-21,2739
111,2013-04-22,2714
112,2013-04-23,2807
113,2013-04-24,2856
114,2013-04-25,2859
115,2013-04-26,2843
116,2013-04-27,2776
117,2013-04-28,3048
118,2013-04-29,2856
119,2013-04-30,2752
120,2013-05-01,3002
121,2013-05-02,3179
122,2013-05-03,3419
123,2013-05-04,3193
124,2013-05-05,3038
125,2013-05-06,3006
126,2013-05-07,3015
127,2013-05-08,3035
128,2013-05-09,2909
129,2013-05-10,2904
130,2013-05-11,2936
131,2013-05-12,2750
132,2013-05-13,2822
133,2013-05-14,2827
134,2013-05-15,2911
135,2013-05-16,3067
136,2013-05-17,3490
137,2013-05-18,3450
138,2013-05-19,2886
139,2013-05-20,2852
140,2013-05-21,3017
141,2013-05-22,2930
142,2013-05-23,2989
143,2013-05-24,2871
144,2013-05-25,2771
145,2013-05-26,2925
146,2013-05-27,2845
147,2013-05-28,2844
148,2013-05-29,3015
149,2013-05-30,2836
150,2013-05-31,2574
151,2013-06-01,2593
152,2013-06-02,3338
153,2013-06-03,3391
154,2013-06-04,3394
155,2013-06-05,3328
156,2013-06-06,3435
157,2013-06-07,3702
158,2013-06-08,4097
159,2013-06-09,3660
160,2013-06-10,3137
161,2013-06-11,3111
162,2013-06-12,2719
163,2013-06-13,2835
164,2013-06-14,2825
165,2013-06-15,2905
166,2013-06-16,2830
167,2013-06-17,2889
168,2013-06-18,2778
169,2013-06-19,2744
170,2013-06-20,2768
171,2013-06-21,3002
172,2013-06-22,2716
173,2013-06-23,2571
174,2013-06-24,2682
175,2013-06-25,2719
176,2013-06-26,2631
177,2013-06-27,2667
178,2013-06-28,2544
179,2013-06-29,2444
180,2013-06-30,2419
181,2013-07-01,2589
182,2013-07-02,2766
183,2013-07-03,2918
184,2013-07-04,2792
185,2013-07-05,2792
186,2013-07-06,2565
187,2013-07-07,2537
188,2013-07-08,2664
189,2013-07-09,3076
190,2013-07-10,2850
191,2013-07-11,2752
192,2013-07-12,2589
193,2013-07-13,2279
194,2013-07-14,2465
195,2013-07-15,2857
196,2013-07-16,2613
197,2013-07-17,2584
198,2013-07-18,2716
199,2013-07-19,2542
200,2013-07-20,2459
201,2013-07-21,2624
202,2013-07-22,2574
203,2013-07-23,2736
204,2013-07-24,2700
205,2013-07-25,2553
206,2013-07-26,2560
207,2013-07-27,2322
208,2013-07-28,2217
209,2013-07-29,2473
210,2013-07-30,2655
211,2013-07-31,2482
212,2013-08-01,2365
213,2013-08-02,2452
214,2013-08-03,2126
215,2013-08-04,2187
216,2013-08-05,2280
217,2013-08-06,2284
218,2013-08-07,2466
219,2013-08-08,2485
220,2013-08-09,2366
221,2013-08-10,2185
222,2013-08-11,2144
223,2013-08-12,2331
224,2013-08-13,2162
225,2013-08-14,2370
226,2013-08-15,2291
227,2013-08-16,2441
228,2013-08-17,2173
229,2013-08-18,2200
230,2013-08-19,2305
231,2013-08-20,2359
232,2013-08-21,2395
233,2013-08-22,2415
234,2013-08-23,2263
235,2013-08-24,2266
236,2013-08-25,2093
237,2013-08-26,2089
238,2013-08-27,2203
239,2013-08-28,2167
240,2013-08-29,2235
241,2013-08-30,2068
242,2013-08-31,1976
243,2013-09-01,1962
244,2013-09-02,1950
245,2013-09-03,2105
246,2013-09-04,2052
247,2013-09-05,2085
248,2013-09-06,2119
249,2013-09-07,2138
250,2013-09-08,2310
251,2013-09-09,2073
252,2013-09-10,2177
