快到碗里来,Date,DecryptedData
0,2013-01-01,3490
1,2013-01-02,2984
2,2013-01-03,2955
3,2013-01-04,2827
4,2013-01-05,2782
5,2013-01-06,2699
6,2013-01-07,2885
7,2013-01-08,3243
8,2013-01-09,2651
9,2013-01-10,2872
10,2013-01-11,2514
11,2013-01-12,2545
12,2013-01-13,2606
13,2013-01-14,2580
14,2013-01-15,2604
15,2013-01-16,2713
16,2013-01-17,2836
17,2013-01-18,2626
18,2013-01-19,2607
19,2013-01-20,2897
20,2013-01-21,3038
21,2013-01-22,3122
22,2013-01-23,2820
23,2013-01-24,2649
24,2013-01-25,2431
25,2013-01-26,2220
26,2013-01-27,2222
27,2013-01-28,2476
28,2013-01-29,2567
29,2013-01-30,2557
30,2013-01-31,2513
31,2013-02-01,2450
32,2013-02-02,2621
33,2013-02-03,2736
34,2013-02-04,2789
35,2013-02-05,2603
36,2013-02-06,2387
37,2013-02-07,2387
38,2013-02-08,2114
39,2013-02-09,1954
40,2013-02-10,1962
41,2013-02-11,1900
42,2013-02-12,1864
43,2013-02-13,1876
44,2013-02-14,2092
45,2013-02-15,2066
46,2013-02-16,2061
47,2013-02-17,2254
48,2013-02-18,2637
49,2013-02-19,2743
50,2013-02-20,2563
51,2013-02-21,2529
52,2013-02-22,2325
53,2013-02-23,2202
54,2013-02-24,2639
55,2013-02-25,2290
56,2013-02-26,2092
57,2013-02-27,2014
58,2013-02-28,1929
59,2013-03-01,2061
60,2013-03-02,2272
61,2013-03-03,2093
62,2013-03-04,1954
63,2013-03-05,1982
64,2013-03-06,2159
65,2013-03-07,2096
66,2013-03-08,2003
67,2013-03-09,2025
68,2013-03-10,2124
69,2013-03-11,1984
70,2013-03-12,1995
71,2013-03-13,2001
72,2013-03-14,1953
73,2013-03-15,1970
74,2013-03-16,2116
75,2013-03-17,2477
76,2013-03-18,3779
77,2013-03-19,3668
78,2013-03-20,3129
79,2013-03-21,2680
80,2013-03-22,2182
81,2013-03-23,2035
82,2013-03-24,2135
83,2013-03-25,2143
84,2013-03-26,2166
85,2013-03-27,1951
86,2013-03-28,2055
87,2013-03-29,2092
88,2013-03-30,1939
89,2013-03-31,1923
90,2013-04-01,2115
91,2013-04-02,2058
92,2013-04-03,1996
93,2013-04-04,2061
94,2013-04-05,2270
95,2013-04-06,2125
96,2013-04-07,2159
97,2013-04-08,1968
98,2013-04-09,2037
99,2013-04-10,1968
100,2013-04-11,2135
101,2013-04-12,1982
102,2013-04-13,1964
103,2013-04-14,2087
104,2013-04-15,1970
105,2013-04-16,1909
106,2013-04-17,1970
107,2013-04-18,2025
108,2013-04-19,1935
109,2013-04-20,1893
110,2013-04-21,1874
111,2013-04-22,1837
112,2013-04-23,1820
113,2013-04-24,1808
114,2013-04-25,1830
115,2013-04-26,1832
116,2013-04-27,1835
117,2013-04-28,1908
118,2013-04-29,1770
119,2013-04-30,1766
120,2013-05-01,1755
121,2013-05-02,1789
122,2013-05-03,1773
123,2013-05-04,1770
124,2013-05-05,1798
125,2013-05-06,1840
126,2013-05-07,1815
127,2013-05-08,1814
