涨姿势,Date,DecryptedData
0,2013-01-01,149
1,2013-01-02,141
2,2013-01-03,152
3,2013-01-04,143
4,2013-01-05,133
5,2013-01-06,149
6,2013-01-07,135
7,2013-01-08,141
8,2013-01-09,158
9,2013-01-10,147
10,2013-01-11,149
11,2013-01-12,137
12,2013-01-13,135
13,2013-01-14,132
14,2013-01-15,140
15,2013-01-16,141
16,2013-01-17,138
17,2013-01-18,144
18,2013-01-19,143
19,2013-01-20,148
20,2013-01-21,152
21,2013-01-22,143
22,2013-01-23,144
23,2013-01-24,131
24,2013-01-25,147
25,2013-01-26,137
26,2013-01-27,133
27,2013-01-28,145
28,2013-01-29,160
29,2013-01-30,127
30,2013-01-31,158
31,2013-02-01,140
32,2013-02-02,127
33,2013-02-03,155
34,2013-02-04,167
35,2013-02-05,147
36,2013-02-06,174
37,2013-02-07,205
38,2013-02-08,182
39,2013-02-09,147
40,2013-02-10,147
41,2013-02-11,153
42,2013-02-12,156
43,2013-02-13,139
44,2013-02-14,73
45,2013-02-15,154
46,2013-02-16,171
47,2013-02-17,194
48,2013-02-18,163
49,2013-02-19,148
50,2013-02-20,166
51,2013-02-21,237
52,2013-02-22,310
53,2013-02-23,269
54,2013-02-24,206
55,2013-02-25,196
56,2013-02-26,203
57,2013-02-27,164
58,2013-02-28,226
59,2013-03-01,312
60,2013-03-02,262
61,2013-03-03,242
62,2013-03-04,229
63,2013-03-05,230
64,2013-03-06,244
65,2013-03-07,259
66,2013-03-08,221
67,2013-03-09,271
68,2013-03-10,204
69,2013-03-11,250
70,2013-03-12,255
71,2013-03-13,338
72,2013-03-14,283
73,2013-03-15,260
74,2013-03-16,251
75,2013-03-17,230
76,2013-03-18,263
77,2013-03-19,251
78,2013-03-20,249
79,2013-03-21,244
80,2013-03-22,209
81,2013-03-23,264
82,2013-03-24,227
83,2013-03-25,194
84,2013-03-26,216
85,2013-03-27,234
86,2013-03-28,250
87,2013-03-29,246
88,2013-03-30,198
89,2013-03-31,206
90,2013-04-01,176
91,2013-04-02,217
92,2013-04-03,246
93,2013-04-04,397
94,2013-04-05,346
95,2013-04-06,290
96,2013-04-07,270
