深藏功与名,Date,DecryptedData
0,2013-01-01,871
1,2013-01-02,1031
2,2013-01-03,1217
3,2013-01-04,1278
4,2013-01-05,1253
5,2013-01-06,1174
6,2013-01-07,1286
7,2013-01-08,1186
8,2013-01-09,1123
9,2013-01-10,1323
10,2013-01-11,1379
11,2013-01-12,1210
12,2013-01-13,1043
13,2013-01-14,1110
14,2013-01-15,1132
15,2013-01-16,1188
16,2013-01-17,1103
17,2013-01-18,1184
18,2013-01-19,1015
19,2013-01-20,1128
20,2013-01-21,1318
21,2013-01-22,1219
22,2013-01-23,1210
23,2013-01-24,1309
24,2013-01-25,1619
25,2013-01-26,1718
26,2013-01-27,1470
27,2013-01-28,1470
28,2013-01-29,1401
29,2013-01-30,1545
30,2013-01-31,1517
31,2013-02-01,1402
32,2013-02-02,1337
33,2013-02-03,1302
34,2013-02-04,1472
35,2013-02-05,1525
36,2013-02-06,1656
37,2013-02-07,1716
38,2013-02-08,1413
39,2013-02-09,1132
40,2013-02-10,1082
41,2013-02-11,1104
42,2013-02-12,1014
43,2013-02-13,1017
44,2013-02-14,1164
45,2013-02-15,1111
46,2013-02-16,1349
47,2013-02-17,1421
48,2013-02-18,1482
49,2013-02-19,1525
50,2013-02-20,1510
51,2013-02-21,1380
52,2013-02-22,1436
53,2013-02-23,1204
54,2013-02-24,1099
55,2013-02-25,1095
56,2013-02-26,1195
57,2013-02-27,1195
58,2013-02-28,1250
59,2013-03-01,1353
60,2013-03-02,1265
61,2013-03-03,1263
62,2013-03-04,1245
63,2013-03-05,1466
64,2013-03-06,1615
65,2013-03-07,1847
66,2013-03-08,1715
67,2013-03-09,1454
68,2013-03-10,1546
69,2013-03-11,1538
70,2013-03-12,1623
71,2013-03-13,1780
72,2013-03-14,1760
73,2013-03-15,1720
74,2013-03-16,1541
75,2013-03-17,1635
76,2013-03-18,1717
77,2013-03-19,1527
78,2013-03-20,1532
79,2013-03-21,1536
80,2013-03-22,1526
81,2013-03-23,1388
82,2013-03-24,1451
83,2013-03-25,1388
84,2013-03-26,1706
85,2013-03-27,1619
86,2013-03-28,1602
