点赞,Date,DecryptedData
0,2013-01-01,70
1,2013-01-02,61
2,2013-01-03,76
3,2013-01-04,68
4,2013-01-05,66
5,2013-01-06,68
6,2013-01-07,70
7,2013-01-08,72
8,2013-01-09,64
9,2013-01-10,63
10,2013-01-11,68
11,2013-01-12,
12,2013-01-13,64
13,2013-01-14,63
14,2013-01-15,70
15,2013-01-16,63
16,2013-01-17,68
17,2013-01-18,63
18,2013-01-19,64
19,2013-01-20,61
20,2013-01-21,66
21,2013-01-22,64
22,2013-01-23,68
23,2013-01-24,72
24,2013-01-25,64
25,2013-01-26,68
26,2013-01-27,70
27,2013-01-28,70
28,2013-01-29,66
29,2013-01-30,68
30,2013-01-31,66
31,2013-02-01,63
32,2013-02-02,66
33,2013-02-03,72
34,2013-02-04,83
35,2013-02-05,80
36,2013-02-06,76
37,2013-02-07,80
38,2013-02-08,68
39,2013-02-09,95
40,2013-02-10,76
41,2013-02-11,82
42,2013-02-12,80
43,2013-02-13,68
44,2013-02-14,63
45,2013-02-15,76
46,2013-02-16,82
47,2013-02-17,91
48,2013-02-18,82
49,2013-02-19,83
50,2013-02-20,78
51,2013-02-21,85
52,2013-02-22,82
53,2013-02-23,70
54,2013-02-24,76
55,2013-02-25,64
56,2013-02-26,82
57,2013-02-27,83
58,2013-02-28,74
59,2013-03-01,76
60,2013-03-02,80
61,2013-03-03,74
62,2013-03-04,72
63,2013-03-05,72
64,2013-03-06,82
65,2013-03-07,76
66,2013-03-08,87
67,2013-03-09,76
68,2013-03-10,78
69,2013-03-11,64
70,2013-03-12,78
71,2013-03-13,83
72,2013-03-14,70
73,2013-03-15,72
74,2013-03-16,87
75,2013-03-17,106
76,2013-03-18,99
77,2013-03-19,83
78,2013-03-20,93
79,2013-03-21,93
80,2013-03-22,106
81,2013-03-23,89
82,2013-03-24,95
83,2013-03-25,82
84,2013-03-26,72
85,2013-03-27,87
86,2013-03-28,82
87,2013-03-29,146
88,2013-03-30,83
89,2013-03-31,80
90,2013-04-01,95
91,2013-04-02,91
92,2013-04-03,74
93,2013-04-04,76
94,2013-04-05,82
95,2013-04-06,87
96,2013-04-07,78
97,2013-04-08,91
98,2013-04-09,89
99,2013-04-10,80
100,2013-04-11,93
101,2013-04-12,78
102,2013-04-13,80
103,2013-04-14,97
104,2013-04-15,85
105,2013-04-16,72
106,2013-04-17,91
107,2013-04-18,89
108,2013-04-19,106
109,2013-04-20,72
110,2013-04-21,95
111,2013-04-22,101
112,2013-04-23,70
113,2013-04-24,87
114,2013-04-25,97
115,2013-04-26,87
116,2013-04-27,91
117,2013-04-28,78
118,2013-04-29,74
119,2013-04-30,82
120,2013-05-01,78
121,2013-05-02,106
122,2013-05-03,89
123,2013-05-04,83
124,2013-05-05,89
125,2013-05-06,80
126,2013-05-07,82
