赶脚,Date,DecryptedData
0,2013-01-01,534
1,2013-01-02,593
2,2013-01-03,701
3,2013-01-04,577
4,2013-01-05,574
5,2013-01-06,783
6,2013-01-07,595
7,2013-01-08,589
8,2013-01-09,516
9,2013-01-10,555
10,2013-01-11,597
11,2013-01-12,616
12,2013-01-13,564
13,2013-01-14,555
14,2013-01-15,618
15,2013-01-16,595
16,2013-01-17,588
17,2013-01-18,620
18,2013-01-19,567
19,2013-01-20,594
20,2013-01-21,552
21,2013-01-22,623
22,2013-01-23,624
23,2013-01-24,598
24,2013-01-25,600
25,2013-01-26,668
26,2013-01-27,599
27,2013-01-28,728
28,2013-01-29,736
29,2013-01-30,728
30,2013-01-31,699
31,2013-02-01,733
32,2013-02-02,694
33,2013-02-03,748
34,2013-02-04,721
35,2013-02-05,774
36,2013-02-06,681
37,2013-02-07,703
38,2013-02-08,717
39,2013-02-09,638
40,2013-02-10,586
41,2013-02-11,562
42,2013-02-12,576
43,2013-02-13,642
44,2013-02-14,625
45,2013-02-15,664
46,2013-02-16,721
47,2013-02-17,715
48,2013-02-18,710
49,2013-02-19,731
50,2013-02-20,727
51,2013-02-21,637
52,2013-02-22,745
53,2013-02-23,696
54,2013-02-24,668
55,2013-02-25,569
56,2013-02-26,623
57,2013-02-27,602
58,2013-02-28,606
59,2013-03-01,638
60,2013-03-02,680
61,2013-03-03,697
62,2013-03-04,602
63,2013-03-05,514
64,2013-03-06,487
65,2013-03-07,568
66,2013-03-08,613
67,2013-03-09,665
68,2013-03-10,735
69,2013-03-11,601
70,2013-03-12,576
71,2013-03-13,572
72,2013-03-14,594
73,2013-03-15,615
74,2013-03-16,680
75,2013-03-17,698
76,2013-03-18,686
77,2013-03-19,620
78,2013-03-20,642
79,2013-03-21,677
80,2013-03-22,683
81,2013-03-23,654
82,2013-03-24,756
83,2013-03-25,594
84,2013-03-26,638
85,2013-03-27,664
86,2013-03-28,694
87,2013-03-29,667
88,2013-03-30,653
89,2013-03-31,702
90,2013-04-01,560
91,2013-04-02,625
92,2013-04-03,646
93,2013-04-04,701
94,2013-04-05,830
95,2013-04-06,724
96,2013-04-07,701
97,2013-04-08,804
98,2013-04-09,763
99,2013-04-10,662
100,2013-04-11,683
101,2013-04-12,705
102,2013-04-13,648
103,2013-04-14,767
104,2013-04-15,624
105,2013-04-16,658
106,2013-04-17,668
107,2013-04-18,627
108,2013-04-19,656
109,2013-04-20,701
110,2013-04-21,601
111,2013-04-22,558
112,2013-04-23,556
113,2013-04-24,600
114,2013-04-25,637
115,2013-04-26,586
116,2013-04-27,638
117,2013-04-28,657
118,2013-04-29,652
119,2013-04-30,732
120,2013-05-01,792
121,2013-05-02,670
122,2013-05-03,687
123,2013-05-04,706
124,2013-05-05,693
125,2013-05-06,681
126,2013-05-07,705
127,2013-05-08,731
128,2013-05-09,628
129,2013-05-10,644
130,2013-05-11,665
131,2013-05-12,645
132,2013-05-13,632
133,2013-05-14,709
134,2013-05-15,749
135,2013-05-16,654
136,2013-05-17,699
137,2013-05-18,645
138,2013-05-19,709
